Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,15938.29,15558.91,15367.96,15837.19,16316.05,15585.37,16850.84,17647.32,17892.42,18387.65,19366.19,19686.17,20212.34,19019.89,20697.96,20793.96,20723.38,19156.99,19431.2,19818.98,19711.35,20478.32,20821.19,19651.62,20096.66,19557.63,19566.39,21265.59,20114.44
Austria,4320.62,4354.37,4165.9,4195.44,4147.84,4243.98,4274,4300.24,4347.66,4338.88,4319.46,4194.98,4199.39,4189.91,3603.3,3601.5,3610.45,3624.9,3805.05,3583.36,3388.64,3481.3,3449.44,3434.52,3518.7,3528.5,3620.06,3561.8,3526.08
Belarus,16618.17,16151.48,14444.04,14591.44,12452.75,11609.83,12420.87,12809.86,15650.26,12246.62,12425.25,12433.77,11120.48,11719.51,12115.27,12499.48,13198.86,13097.92,13819.73,14108.89,13968.81,14746.26,14450,14368.04,14097.27,13810.95,13971.94,14435.1,14019.84
Belgium,10072.88,9940.16,9664.4,9937.78,10343.06,10825.7,11264.77,11041.48,10926.85,10932.61,10211.42,9815.23,9464.95,8568.45,8753.83,8508.14,7504.65,6979.09,6972.9,7071.59,7587.12,6374.29,6306.83,6146.26,6181.75,6035.06,5762.55,5978.51,5702.29
Bulgaria,9154.9,7166.47,6051.12,5464.44,5314.78,5145.59,5010.64,4766.53,3930.76,4093.26,4166.83,4247.14,4177.03,4010.52,4612.46,4449.01,3975.63,4013.35,4247.37,3854.56,4337.75,3991.73,4066.37,4463.95,4925.23,5035.81,5360,5342.27,5239.79
Canada,38864.88,37379.77,37932.8,37921.08,40876.99,41412.66,43528.07,42263.78,38492.86,36320.47,35852.67,34832.89,34692.81,36159.95,38343.73,37212.33,34931.97,35662.65,37409.18,34228.17,33391.61,33610.41,34988.37,36918.91,35711.46,36490.29,37239.85,36556.53,37944.54
Croatia,2913.47,2756.15,2745,2344.86,2378.57,2301.28,2272.35,2456,2129.17,2332.76,2429.11,2405.63,2370.61,2268.54,2484.04,2478.44,2494.86,2548.67,2853.51,2211.45,2449.83,2524.57,2317.71,1721.74,1656.26,1850.32,1595.35,1730.57,1685.85
Cyprus,292.49,293.8,324.33,343.6,337.3,379.16,354.32,348.18,372.44,364.08,349.97,381.51,385.89,382.33,343.71,316.77,329.73,324.4,312.04,304.37,321.21,308.55,303.41,280.19,275.5,283.05,290.4,295.58,297
Czechia,9386.21,8048.61,7206.18,6459.26,6344.63,6640.72,6399.9,6371.22,6255.13,6057.87,6481.38,6729.45,6331.09,5862.67,6545.58,6358.15,6236.99,6293.72,6367.47,5523.5,5401.23,6039.32,5894.47,5670.86,5770.81,6172.24,6503.63,6420.31,6072.34
Denmark,8170.03,8014.56,7761.47,7527.22,7443.11,7374.65,7027.35,7059.02,7108.6,7176.86,7115.79,6918.09,6853.77,6731.06,6298.4,5662.26,5528.14,5707.87,5699.29,5500.3,5404.16,5397.77,5306.47,5301.2,5398.92,5408.65,5559.23,5620.14,5420.93
Estonia,1468.78,1431.64,1188.45,930.75,839.21,766.76,724.42,733.38,755.93,666.43,682.57,670.35,647.73,696.51,734.36,736.88,725.06,790.66,845.64,798.96,813.13,817.42,868.42,870.14,899.31,924.1,899.43,923.86,912.19
European Union,380749.44,362510.38,348296.82,338563.19,341241.75,343822.54,349939.07,346965.73,325237.07,305081.28,303953.14,301460.51,289748.18,287321.88,292931.59,285768.88,274604.88,275383.06,265155.55,249087.02,239061.27,235137.52,232607.85,233021,236197.23,236647.08,235792.56,240270.24,235383.81
Finland,6356.06,5916.81,5488,5653.94,5765.75,5902.75,5939.95,5953.75,5777.65,5726.72,5801.01,5697.29,5737.95,5869.94,5956.19,6046.22,5841.14,5910.68,6066.75,5202.25,4808.35,4668.63,4660.7,4699.46,4759.14,4764.81,4777.34,4819.6,4768.97
France,66380.59,66928.91,66582.51,65768.98,65846.09,67373.32,68891.34,68822.63,62148.39,56292.76,55215.22,54870.29,52126,50238.79,48632.27,47689.11,46399.28,46566.48,45787.29,44248.76,41992.93,40527.32,40739.47,40515.59,41735.97,41567.89,40505.74,42013.07,40322.26
Germany,62522.84,60357.53,61607.76,58959.57,60066.06,59500.66,60865.34,57964.74,45219.72,41707.08,41763.06,43207.46,42368.97,43033.12,45209.79,43278.88,42827.01,44707.96,45106.7,44221.5,36235.58,37539.21,36863.34,37406.74,38050.34,38667.07,37834.3,37540.91,35518.29
Greece,7465.11,7327.43,7169.49,6614.09,6497.04,6702.68,6874.26,6713.92,6636.37,6592.31,6370.03,6235.9,6194,6122.61,6128.22,5957.52,5788.94,5892.65,5652.57,5291.31,5489.52,5245.24,4817.3,4517.96,4310.8,4248.15,4302.04,4365.16,4284.88
Hungary,8376.09,5696.8,4443.89,4627.48,5580.56,4749.68,5332.33,5329.16,5236.79,5065.27,5405.13,5854.9,5169.67,5092.94,5884.21,5617.17,5343.93,4796.1,4095.2,3801.62,3727.61,3918.95,3855.72,4196.83,4429.95,4532.27,4802.04,4801.38,4858.7
Iceland,378.4,367.86,350.36,357.63,361,354.17,368.94,362.13,361.51,369.98,349.16,344.07,318.25,311.4,311.23,312.1,322.32,334.6,341.68,316.73,305.51,302.1,307.15,302.44,331.04,313.2,311.48,322.36,305.47
Ireland,7728.69,7482.96,7400.92,7524.64,7785.18,8084.72,8199.48,8091.59,8512.69,8268.92,7958.07,7468.01,7123.93,7011.96,6915.69,6762.02,6497.75,6322.83,6265.73,6092.48,6345.59,5938.67,6097.94,6536.82,6356.32,6354.99,6465.8,6748.96,6953.7
Italy,26036.24,27051.85,26587.14,27030.97,26503.94,27578.52,27694.55,28675.84,28951.21,29508.26,28648.16,28842.86,28230.24,28081.28,28881.98,28032.24,23123.39,22407.56,20904.29,19755.63,19078.12,18556.81,19049.93,18289.46,17833.83,17859.26,18099.53,18007.03,17694.85
