Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Japan,31875.88,31580.54,31752.76,31615.37,32871.02,33178.79,34309.23,35116.49,33533.05,27386.6,29905.55,26288.3,25735.58,25577.4,25407.78,24962.61,24837.32,24202.34,23386.66,22743,22195.35,21789.83,21470.79,21496.23,21101.09,20737.14,20195.8,20417.8,19999.98
Kazakhstan,17750.15,16922.55,17684.41,16427.95,14000.87,12852.71,12785.88,13490.18,14775.68,16970.28,18911.51,18449.29,18064.06,17753.44,17218.15,16786.8,16541.09,16389.18,15473.16,15238.96,15297.47,15684.08,15526.48,15776.03,16333.8,16469.27,16588.8,17045.13,17326.92
Latvia,3189.47,3076.3,2513.71,2081.04,1846.22,1686.92,1680.38,1675.89,1621.78,1551.48,1558.71,1636.01,1599.95,1646.23,1630.78,1668.88,1670.13,1720.65,1697.22,1719.92,1748.09,1748.12,1813.36,1837.8,1877.42,1921.7,1916.71,1933.33,1873.76
Liechtenstein,10.17,10.39,10.3,10.06,10.03,9.94,9.86,9.9,9.57,9.32,9.22,9.23,9.38,9.39,9.06,9.19,9.37,9.45,9.63,9.53,9.29,9.67,9.53,9.24,9.13,9.18,9.02,8.97,9.13
Lithuania,5238.61,5367.69,3676.56,3207.56,2856.86,2806.65,3262.52,3376.32,3614.33,3564.5,3765.72,3880.62,4114.36,4219.49,4445.16,4710.75,4658.95,5458,5195.08,3119.57,3013.85,3356.46,3178.41,2948.72,3085.43,3105.46,3033.2,3068.37,2955.35
Luxembourg,310.5,321.49,329.31,323.07,318.17,318.23,320.79,317.84,314.37,318.99,318.68,299.88,296.54,274.77,299.73,282.69,281.3,286.24,292.53,289.51,297.15,300.09,295.55,296.08,299.36,297.59,308.34,312.14,313.13
Malta,56.61,56.99,57.96,60.9,60.57,62,59.36,60.3,62.2,59.87,61.43,60.12,59.18,58.96,58.64,58.2,58.85,59.22,56.39,52.66,52.51,45.72,45.9,45.01,45.71,45.42,44.58,42.19,42.77
Monaco,2.23,2.53,2.67,2.81,2.88,2.8,2.93,3.04,2.95,2.95,3.16,3.32,3.17,3.04,2.9,2.79,3.03,3.9,3.83,4.1,4.13,3.97,3.95,4.07,3.7,3.64,3.42,2.89,3.1
Netherlands,18032.66,18205,18458.3,18731.83,18250.77,18161.14,18206.09,17942.87,17363.06,16673.17,16145.37,15162.22,14355.6,14232.25,14679.32,14589.14,14545.99,12893.92,9121.79,8921.11,8628.94,8413.97,8250.49,8430.43,8558.25,8808.21,8476.75,8657.64,8349.12
New Zealand,4927.11,5006.25,5041.35,5252.47,5487.06,5729.9,5800.27,5889.66,5833.31,5865.99,6176.74,6551.88,6822.82,7003.27,7046.62,7089.35,7021.6,6770.14,6764.42,6667.82,6873.63,7061.1,7209.71,7230.13,7371.56,7450.75,7469.27,7498.68,7592.45
Norway,4112.29,3955.6,3420.68,3620.45,3689.03,3716.9,3734,3724.5,3814.53,4027.94,3827.6,3756.14,3998.19,3850.85,3995.03,4064.43,3730.7,3556.28,3114.11,2564.03,2474.66,2469.02,2474.06,2446.84,2454.43,2491.42,2424.09,2380.63,2349.12
Poland,28594.97,24281.85,22568.76,23593.37,23598.2,24613.8,24582.31,24664.26,24563.99,24042.04,24243.28,24590.51,23151.56,22858.75,23493.4,23737.73,24177.08,25007.29,24560.59,21338.16,20915.01,21244.43,21331.2,21495.4,21045.78,20317.55,20976.16,21970,22106.01
Portugal,3885.3,3846.46,3812,3726.1,3710.32,3870.13,4064.52,4111.04,4136.63,4242.94,4436.92,4305.99,4205.79,3859.41,4021.48,3845.71,3712.96,3882.43,3791.59,3483.61,3460.79,3196.64,3213.8,3223.44,3347.06,3238.08,3165.75,3249.92,3216.74
Romania,15881.74,11191.15,11208.78,11874.04,11050.82,11739.31,11225.93,10897.26,9685.8,9130.75,9614.32,9468.32,8730.49,9430.4,10707.92,10548.54,9397.83,9395.92,8199.8,7563.47,7792.69,8138.51,7431.57,7602.83,7322.68,7450.66,7512.6,7852.58,8618.21
Russian Federation,146044.14,136089.36,123504.48,112740.87,98666.13,91131.71,85502.73,82862.02,75243.47,73621.5,75643.73,75943,76548.32,74677.19,74031.89,73603.57,73605.33,75403.1,78106.9,78130.11,75000.19,79118.91,76729.47,78340.72,79372.07,81146.13,84612.34,86252.43,85932.16
Slovakia,4313.62,3391.56,2774.56,2308.36,2767.71,2899.94,3082.87,3082.01,2775.43,2337.69,2550.45,2819.07,2757.69,2741.65,2981.11,2920.54,3145.34,3011.86,2965.63,2637.84,2442.79,2083.65,2009.15,1994.54,2116.21,2057.75,2130.4,2016.83,2098.54
Slovenia,754.35,700.9,761.47,725.78,781.28,829.81,859.97,876.57,875.64,871.2,903.36,891.6,818.96,790.68,767.41,771.23,783.06,790.59,752.36,744.67,735.56,747.13,750.22,722.45,730.36,752.78,760.72,735.2,753.48
Spain,18292.27,17651.73,17157.86,15977.58,17570.67,17417.6,19618.47,19231.33,19818.5,20814.05,21806.25,20812.79,20023.12,21237.38,20504.54,19784.19,19775.13,19935.21,18039.86,17869.93,18197.72,17225.52,16552.79,17262.36,17915.72,18138.8,17898.07,18529.65,18413.54
Sweden,5740.26,5618.14,5463.88,5674.21,5705.99,5583.88,5596.06,5600.59,5638.95,5421.42,5332.71,5213.17,5094.19,5059.41,5068.02,4962.56,4906.28,4745.24,4825.64,4654.49,4823.49,4522.11,4483,4523.21,4576.55,4597.77,4576.74,4757.28,4503.64
Switzerland,3326.81,3312.4,3258.71,3351.65,3300.5,3333.12,3258.8,3240.39,3173.37,3144.79,3307.49,3247.34,3274.36,3077.79,3004.85,3116.87,3009.66,3105.14,2979.06,2868.55,3012.86,2941.79,3001.28,2901.27,2881.23,2910.24,2889,3082.52,2879.65
Turkey,24828.99,24625.36,25137.41,25936.82,23460.85,23744.44,24433.03,23914.56,25251.07,25551.97,24681.83,23182.92,23147.86,24686.81,25209.55,26058.64,28148.78,27395.16,25932.05,28253.7,29601.83,30673.42,31812.16,33826.18,34280.03,35025.53,37403.48,38841.75,38923.81
Ukraine,53433.96,48270.18,44718.9,41918.64,35995.86,32819.57,28453.13,29215.52,25943.07,23780.98,23781.09,25092.78,25542.76,22842.01,25322.89,25639.23,25990.83,25610.02,30788.82,26788.07,27372.77,33334.16,31882.74,35394.98,35294.24,32996.22,36291.39,34854.86,38647.64
United Kingdom of Great Britain and Northern Ireland,46210.68,46429.76,41516.64,37282.1,37919.92,36660.33,36650.56,36903.91,36864.3,27341.83,26685.86,25163.45,23534.37,23110.38,23652.46,22746.43,21607.75,21659.08,21018.25,19565.44,19905.22,19118.33,18983.26,18914.22,19506.5,19012.32,18940.06,19306.37,19209.71
United States of America,434624.27,424828.29,424348.14,452370.54,437560.06,449257.54,460856.92,446662.74,446989.5,436401.29,423309.7,438522.34,436646.47,437143.96,446697.2,432632.75,428713.77,439932.89,423646.18,422461.46,431423.77,421855.67,392262.99,439175.24,449265.17,443821.3,426067.4,421258.93,434528.56
