Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Kazakhstan,102913.07,100329.12,95722.53,86665.5,74388.51,64836.59,61232.21,61939.93,63569.72,61782.5,71154.88,36815.64,36956.22,41243.12,42916.81,42466.83,45409.79,47091.1,49908.93,48628.98,52636.87,53555.1,53742.15,55071.51,54406.12,52891.49,53764.13,55295.31,57938.42
Latvia,4057.49,4008.05,3595.16,2800.77,2627.46,2626.61,2591.82,2561.33,2474.18,2368.75,2349.99,2399.92,2400.16,2293.39,2257.25,2280.77,2274.15,2280,2241.96,2278.42,2222.26,2183.63,2237.17,2273.7,2362.21,2297.91,2361.18,2431.62,2428.04
Liechtenstein,19.25,19.17,18.74,17.93,18.03,18.02,18.35,18.06,17.94,17.26,16.83,17.68,17.88,18.05,18.14,18.64,19.4,19.64,19.85,19.68,19.11,19.47,19.92,19.11,18.55,18.38,18.49,17.99,18.17
Lithuania,7009.01,6798.17,5933.4,5181.23,4671.86,4439.08,4360.22,4370.94,4253.35,4004.36,3864.72,3789.79,3844.75,3900.54,3920.06,3910.47,3921.05,3873.09,3808.37,3713.44,3685.65,3526.51,3533.96,3466.36,3474.64,3425.86,3333.25,3277.33,3064.94
Luxembourg,581.65,594.13,578.37,583.07,570.56,586.38,595.28,590,587.62,592.55,585.41,590.72,590.2,579.59,576.28,575.2,571.39,580.19,590.5,591.86,591.66,567.31,559.25,563.56,576.5,582.38,586.33,593.66,587.66
Malta,105.29,111.89,119,126.28,132.27,137.03,143.96,150.8,157.17,164.16,174.65,179.42,186.24,193.14,202.78,213.98,221.64,227.81,147.24,162.11,180.44,168.28,166.5,156.18,172.43,181.91,190.77,190.85,199.85
Monaco,2.2,2.04,1.89,1.58,1.33,1.21,1.22,1.09,1.14,1.37,1.43,1.28,1.3,1.27,1.59,1.74,1.95,1.85,1.9,1.02,1.25,1.16,1.3,1.27,1.31,1.35,1.33,1.36,1.33
Netherlands,31847.46,32253.05,31864.35,31434.26,30419.19,29699.35,29009.49,27378.42,26641.67,25383.13,24279.77,23617.27,22489.22,21715.29,21332.01,19874.89,19432.95,19481.98,19709.86,19489.4,19406.3,18859.74,18438.68,18425.89,18008.61,18202.94,18329.37,18012.52,17309.1
New Zealand,32381.96,32490.46,32117.16,32347.04,33196.49,33591.49,34203.48,34877.02,34349.34,34548.31,35421.77,35804.69,35614.27,35751.21,35711.64,35971.93,36190.75,35292.42,34205.1,34386.44,34417.87,34509.46,34977.17,35059.53,35294.49,34783.96,34366.17,34347.24,34361.57
Norway,6177.17,6123.74,6198.24,6323.71,6406.34,6356.49,6402.87,6422.98,6223.43,6115.26,6125.47,6117.13,5992.65,5965.16,5849.25,5703.11,5558.09,5638.8,5496.36,5534.95,5541.52,5388.38,5363.35,5297.83,5239.46,5206.61,5100.83,5018.83,4957.43
Poland,69832.05,64927.23,63282.49,61255.42,60506.93,59003.16,58161.04,57861.26,55727.39,54516.53,53123.02,54881.43,53287.18,53448.91,53092.32,53499.17,53718.66,52843.2,52666.56,51354.55,51164.93,50003.52,49771.2,49886.16,49259.53,49831.25,49281.17,49243.3,48769.92
Portugal,9890.24,10112.88,9887.04,9930.49,10118.97,10478.5,10482.33,10558.03,11132.7,11084.42,11455,11377.21,11416.34,12062.46,11401.34,11906,11142.42,10832.19,10567.24,10511.07,10419.69,10200.75,10077.65,9902.65,9480.98,9359.49,9470.42,10426.94,9221.11
Romania,60018.02,51333.71,47198.08,45512.1,45140.14,46098.11,45916.43,49814.84,47293.87,45866.76,36332.95,34867.54,37268.55,38509.43,37110.35,37662.17,37056.38,36111.07,35183.69,33463.06,31036.91,30200.84,30699.06,30159.26,30027.15,29545.79,29012.58,28708.53,28185.75
Russian Federation,484925.25,461225.65,433022.25,414637.15,386771.69,370124.56,358999.5,343965.26,337831.49,331306.65,337300,343382.77,345709.11,359696.39,362300.67,368750.8,378253.43,380954.17,385268.47,362881.63,374694.93,382865.86,387227.04,385496.23,386492.04,385827.96,389737.5,407642.66,426101.22
Slovakia,7265.21,6965.78,6335.45,6099.52,5890.02,5930.88,5850.14,5649.73,5588.12,5601.93,5343.6,5210.1,5134.81,5014.76,5084.61,5130.64,4950.57,4900.17,4966.1,4726.39,4815.86,4884.32,4522.11,4618.07,4362.29,4554.04,4597.98,4637.55,4462.95
Slovenia,2545.54,2449.96,2466.34,2359.32,2352.5,2377.51,2335.5,2351.62,2405.02,2406.26,2498.88,2476.25,2547.28,2515.09,2457.73,2432.25,2382.73,2405.07,2283.83,2189.89,2157.89,2150.34,2106.42,2047.88,1946.85,2003.84,2042.77,1995.32,1936.24
Spain,35922.92,34896.91,35357.52,35188.14,36868.22,37279.94,38919.45,39831.1,40380.66,41415.56,43060.63,43305.6,43478.93,43969.34,43459.25,42575.51,41853.4,42532.7,41003.14,42561.59,40612.37,40799.83,39788.39,38590.01,37986.75,39370.02,39442.48,39751.18,39887.03
Sweden,7891.07,7886.94,8021.85,7997.17,7936.03,7839.77,7847.42,7786.89,7668.53,7474,7309.02,7236.88,6991.8,6780.86,6803.28,6613.11,6504.58,6230.93,5965.75,5793.49,5668.75,5512.2,5335.23,5266.51,5169.81,5038.05,4957.26,4913.45,4875.18
Switzerland,6073.69,5989.45,5905.88,5796.29,5748.05,5748.87,5686.05,5551.9,5465.42,5376.71,5321.41,5361.92,5322.48,5243.44,5202.53,5217.75,5234.98,5218.65,5286.5,5194.39,5167.31,5114.04,5083.78,5019.69,5016.8,4987.24,4946.16,4882.39,4878.24
Turkey,42481.21,43330.23,43261.57,43052.49,42901.12,42547.2,42941.17,42158.8,42352.94,43711.6,43717.25,42840.31,40918.84,42910.22,43522.94,45175.02,46642.42,49062.13,50096.27,49623.13,51342.38,53719.74,57164.53,55547.08,57325.69,51380.91,53918.43,54288.81,57593.12
Ukraine,182610.41,174728.97,166803.41,158366.98,148957.2,138689.97,134736.56,129410.29,125694.96,126955.62,117969.12,116526.82,109073.87,109696.89,106540.9,102461.05,100108.19,100015.3,93273.64,85195.82,84605.29,86021.33,80513.81,75194.19,68800.6,61294,66005.93,63682.32,67536.62
United Kingdom of Great Britain and Northern Ireland,133078.44,133831.93,133506.66,131920.87,125024,126553.66,125667.89,123366.02,119835.57,114272.5,109070.68,104172.48,101722.12,96565.86,92183.53,87409.08,82963.6,79090.33,73489.23,68955.26,64283.81,61598.39,60112.09,56082.21,53980.58,53148.85,51582.32,51999.18,51971.53
United States of America,778811.81,783454.49,781672.7,769761.49,776699.92,768983.16,762285.89,745552.68,730994.56,714073.33,708732.12,700397.82,701007.84,697913.1,692524.1,688369.48,690109.93,698134.85,697690.84,688389.54,688873.13,663034.76,659505.19,648816.64,648558.35,654619.21,631547.45,645551.68,649702.77
