Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,424998.38,426015.21,430216.38,430612.56,430653.33,439004.9,446681.85,458841.6,472629.67,478199.84,489373.84,496982.31,500807.89,502301.78,520315.18,526206.97,530787.99,536888.6,540669,544285.46,540571.41,542511.92,544732.76,535006.81,530411.02,538618.78,548862.55,556612.27,558047.22
Austria,78492.61,82157.14,75524,75771.05,76016.83,79382.99,82605.5,82175.96,81511.96,79931.07,80261.99,84151.51,85906.92,91545.24,91139.81,92427.27,90022.83,87337.77,86747.76,80163.13,84612.84,82286.89,79528.79,79971.98,76346.01,78509.78,79467.29,82023.36,78950.34
Belarus,137766.41,129185.87,118221.92,105280.61,88379.27,81851.22,83443.71,84415.87,85898.56,79655.96,79588.94,79623.44,78345.45,80496.12,85276.39,86694.06,90609.15,90175.18,93988.59,90091.83,92278.15,91896.01,92826.79,93891.18,93037.12,88445.26,90043.58,91112.5,91992.61
Belgium,146474.44,149200.59,148800.49,147803.49,152422.9,154557.13,158245.5,149780.55,154956.92,148706.17,149762.73,148168.51,148214.39,148479.74,149337.49,146318.83,143462.42,139864.28,139777.61,127133.29,134401.13,123864.84,121001.9,121025.22,115288.3,119487.52,118238.29,118071,118522.5
Bulgaria,101794.34,83349.88,77727.07,76742.25,73107.41,74614.54,74782.9,71967.78,67955.96,60709.3,59580.03,62640.66,59963.84,64510.04,63592.41,64117.73,64678.35,68555.8,67142.57,58154.08,60726.73,65995.81,60940.95,55666.99,58679.25,61920.68,59345.03,61682.76,57815.59
Canada,603221.87,594872.98,612470.51,615048.51,636374.33,653057.98,674575.22,686114.63,693059.08,707363.77,730681.59,719697.17,723948.36,740245.8,741584.48,729747.17,720516.11,742313.66,722567.97,680493.57,690530.62,702412.98,710108.3,720877.45,721353.74,720380.18,706196.41,713838.21,729349.27
Croatia,31875.85,25034.42,23037.6,23009.78,22116.19,22739.43,23288.23,24534.4,24923.52,26053.24,25708.82,26894.15,28007.78,29468.13,29465.49,29920.38,30299.87,31726.83,30822.85,28468.42,28033.73,27707.92,25887.46,24463.77,23697.28,24125.31,24275.34,25032.08,23792.8
Cyprus,5690.44,6207.65,6662.69,6944.99,7204.88,7143.86,7490.33,7581.99,7909.48,8187.1,8457.56,8401.04,8634.01,9023.85,9235.4,9390.6,9600.37,9943.99,10094.96,9849.21,9518.12,9167.14,8631.48,7915.92,8291.26,8345.5,8794.1,8974.4,8811.61
Czechia,197202.55,178986.52,172533.93,164898.96,157406.67,156526.03,159559.05,154994.17,148844.49,139281.76,149457.61,149497.29,145776.8,148967.36,150048.22,147905.91,149080.89,150918.18,146084.37,137219.22,139900.21,138359.07,134202.23,128984.26,126856.68,128303.74,130134.22,129059,127449.6
Denmark,71000.02,81630.67,75643.54,77804.11,81684.72,78731.96,91922.97,82464.94,78486.88,76046.63,71773.41,73508.24,72974.28,78060.17,71947.75,67541.34,75268.34,70696.82,67108.81,64354.79,64654.77,59421.5,54837.72,56561.6,52361.36,49742.09,51798.27,49678.02,49694.48
Estonia,40277.31,37156.12,27157.9,21206.14,21900.77,20109.1,20797.26,20423.99,18916.39,17585.33,17246.55,17619.03,17067.92,18971.86,19305.7,19012.24,18295.81,22023.1,19872.67,16519.6,21019.06,21058.29,19966.95,21848.04,21056.79,18109.74,19640.42,20923.49,19974.14
European Union,5647955.14,5553233.1,5380780.54,5280942.21,5255169.21,5305288.86,5417759.58,5323929.53,5283300.86,5174379.45,5167525.55,5216692.82,5183908.31,5272804.75,5275527.89,5240044.44,5226844.16,5178377.11,5062456.1,4691786.36,4796603.75,4636541.21,4574654.62,4477092.02,4300747.77,4335347.18,4308422.08,4323066.7,4224358.28
Finland,71065.26,68854.17,67416.61,69684.06,75215.37,71656.56,77633.33,76321.12,72626.36,72016.77,70145.35,75475.58,77909.24,85532.07,81839.01,69837.08,81207.9,79544.79,71452.38,67834.7,75649.74,67899.41,62419.24,62856.36,58700.07,55086.25,58039.64,55336.72,56359.07
France,551404.78,578699.48,566925.42,544411.47,538971.27,546666.86,564234.85,557026.92,570706.96,562824.23,556689.81,561632.97,555016.01,559892.55,558006.76,559561.38,547350.92,536920.91,529131.49,510222.31,516993.59,488626.08,489044.21,490340.67,460180.56,464049.06,465667.52,470593.2,452209.68
