Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,617651.01,600167.62,541653.06,523798.09,513392.85,497942.11,506901.91,512169.15,506334.19,523390.83,545376.96,575947.69,567392.57,582724.35,586675.69,617215.61,614851.49,634603.3,623356.95,616191.52,593537.55,573028.92,555333.35,540628,539739.53,538821.14,526148.36,529486.52,537446.39
Austria,66504.17,65467.12,63861.46,63813.98,64186.68,66244.58,72056.17,63114.93,64323.18,60437.86,63870.54,64917.44,71680.04,86710.98,81987.78,81805.13,84864.13,81939.91,82590.02,75714.32,78835.78,76282.06,74181.27,75575.74,71743.12,74070.77,75196.41,77171.5,73797.67
Belgium,143236.76,146429.49,146209.35,145194.99,150068.4,151968.67,155700.37,147453.34,152075.89,146584.75,148008,146468.25,146502.84,146811.36,147757.42,144751.4,141906.32,138513.32,138677.69,126006.95,133699.28,123247.44,120288.66,119793.69,114076.77,118225.17,117213.35,117048.77,117507.87
Bulgaria,82470.44,64028.44,58967.59,57795.53,54127.8,55621.14,56229.57,53373.7,48747.59,42668.94,41258.07,52468.41,49402.59,54322.32,52609.31,51613.24,50755.21,53630.24,53896.37,44829,48066.69,56217.53,51743.63,47764.77,49506.46,53239.29,50702.97,53286.09,49354.98
Canada,543595.16,529595.35,554711.82,563910.48,583387.17,613088.47,626626.57,636971.81,637059.93,662079.77,698890.37,671941.15,689952.39,700255.35,724247.32,717041.01,698870.13,717804.03,692864.93,638859.45,665287.1,677026.21,682044.68,695629.59,696633.14,702226.15,687668.62,697424.49,716488.59
Croatia,25454.4,17361.95,15228.57,14928.9,13741.31,13784.87,14668.8,16426.18,17081.77,17521.1,18758.46,19064.67,19885.91,22175.61,21878.36,22114.17,22711.15,24934.19,23668.7,21360.83,21107.73,21984.34,20609.98,18403.46,17611.01,19003.17,19095.63,20542.48,18698.57
Czechia,191515.91,170075.59,162948.65,155685.36,150453.99,149128.03,151793.43,148179.27,141928.78,132132.56,141415.19,141165.1,137820.57,142515.92,143123.43,140573.09,144078.76,148181.68,140092.99,130151.28,133660.3,131087.25,126769.01,122196.08,120187.28,122490.97,125450.67,126743.71,133243.75
Denmark,77456.85,87382.5,82635.21,83596.43,86591.42,83718.47,96384.8,87226.88,83209.42,81054.78,77013.87,79033.38,79553.62,84408.06,77969.29,73483.82,81389.05,74366.44,66247.08,67664.2,65200.89,58435.17,55521.11,58479.9,53944.81,54901.41,57965.18,54164.74,56289.23
Estonia,38650.99,35654.01,26162.13,19202.18,20405.56,18294.27,18909.61,18274.75,16051.01,15306.51,14041.71,14149.65,14066.9,14059.36,15716.84,18455.57,16662.58,20354.68,17843.68,13720.8,17279.56,16967.22,16330.69,18640.57,19498.76,15893.72,17201.14,19088.86,17983.96
Finland,56299.6,41673.38,46336.71,48453.57,60652.79,57594.82,56256.32,59012.07,57077.5,54180.01,51247.53,54701.48,56065.66,63196.83,58336.4,45406.62,50669.8,56988.94,50170.72,33981.95,53187.36,45165.26,36969.32,43814.86,37357.49,36216.82,41286.18,38154.24,46091.24
France,529805.82,556569.92,547055.03,521700.79,518771.49,524186.64,535479.64,528089.93,539819.76,528808.66,539836.04,532792.09,517809.65,519705.18,514585.56,515183.83,501034.64,490224.41,482184.43,473139.59,480111.14,453545.88,453090.87,452186.14,428656.17,437780.59,436879.5,444278.82,426828.06
Germany,1220646.04,1176277.47,1125372.1,1116533.3,1094322.98,1090862.61,1108763.19,1072584.6,1047010.7,1012088.51,1008120.1,1025013.72,1031138.57,1026955.34,1007867.77,979846.18,983705.58,957397.6,955803.6,887961.03,922674.52,900566.23,895339.8,914157.78,874325.02,878734.01,881479.57,867667.61,831436.95
