Party,Kyoto target 2008-2012,Kyoto target 2013-2020,1990 with LULUCF,1990 without LULUCF,target1,target1no,target2,target2no
Australia,8,-0.5,617651.01,424998.38,49412.0808,33999.8704,-3088.25505,-2124.9919
Austria,-13,-20,66504.17,78492.61,-8645.5421,-10204.0393,-13300.834,-15698.522
Belgium,-8,-20,143236.76,146474.44,-11458.9408,-11717.9552,-28647.352,-29294.888
Bulgaria,-8,-20,82470.44,101794.34,-6597.6352,-8143.5472,-16494.088,-20358.868
Canada,-6,-6,543595.16,603221.87,-32615.7096,-36193.3122,-32615.7096,-36193.3122
Croatia,-5,-20,25454.4,31875.85,-1272.72,-1593.7925,-5090.88,-6375.17
Czechia,-8,-20,191515.91,197202.55,-15321.2728,-15776.204,-38303.182,-39440.51
Denmark,-21,-20,77456.85,71000.02,-16265.9385,-14910.0042,-15491.37,-14200.004
Estonia,-8,-20,38650.99,40277.31,-3092.0792,-3222.1848,-7730.198,-8055.462
Finland,0,-20,56299.6,71065.26,0,0,-11259.92,-14213.052
France,0,-20,529805.82,551404.78,0,0,-105961.164,-110280.956
Germany,-21,-20,1220646.04,1249458.56,-256335.6684,-262386.2976,-244129.208,-249891.712
Greece,25,-20,101201,103308.91,25300.25,25827.2275,-20240.2,-20661.782
Hungary,-6,-20,91333.81,93950.88,-5480.0286,-5637.0528,-18266.762,-18790.176
Iceland,10,-20,13076.41,3732.87,1307.641,373.287,-2615.282,-746.574
Ireland,13,-20,60388.94,55468.3,7850.5622,7210.879,-12077.788,-11093.66
Italy,-6,-20,512495.82,516051.74,-30749.7492,-30963.1044,-102499.164,-103210.348
Japan,-6,-6,1207821.34,1270039.97,-72469.2804,-76202.3982,-72469.2804,-76202.3982
Latvia,-8,-20,16079.86,26288.57,-1286.3888,-2103.0856,-3215.972,-5257.714
Liechtenstein,-8,-16,235.34,228.39,-18.8272,-18.2712,-37.6544,-36.5424
Lithuania,-8,-20,42438.19,48016.43,-3395.0552,-3841.3144,-8487.638,-9603.286
Luxembourg,-28,-20,12842.31,12741.06,-3595.8468,-3567.4968,-2568.462,-2548.212
Monaco,-8,-22,102.74,102.74,-8.2192,-8.2192,-22.6028,-22.6028
Netherlands,-6,-20,227232.61,220740.87,-13633.9566,-13244.4522,-45446.522,-44148.174
New Zealand,0,0,35293.89,63590.93,0,0,0,0
Norway,1,-16,41367.37,51459.02,413.6737,514.5902,-6618.7792,-8233.4432
Poland,-6,-20,442646.59,475080.32,-26558.7954,-28504.8192,-88529.318,-95016.064
Portugal,27,-20,59707.07,58558.61,16120.9089,15810.8247,-11941.414,-11711.722
Romania,-8,-20,229076.81,247994.3,-18326.1448,-19839.544,-45815.362,-49598.86
Russian Federation,0,0,3109544.28,3187507.08,0,0,0,0
Slovakia,-8,-20,63841.08,73517.13,-5107.2864,-5881.3704,-12768.216,-14703.426
Slovenia,-8,-20,14249.31,18609.59,-1139.9448,-1488.7672,-2849.862,-3721.918
Spain,15,-20,253435.42,289383.33,38015.313,43407.4995,-50687.084,-57876.666
Sweden,4,-20,36697.11,71184.93,1467.8844,2847.3972,-7339.422,-14236.986
Switzerland,-8,-15.8,51844.22,53778.9,-4147.5376,-4302.312,-8191.38676,-8497.0662
Ukraine,0,-24,882880.8,942072.46,0,0,-211891.392,-226097.3904
United Kingdom of Great Britain and Northern Ireland,-13,-20,797944.51,797812.04,-103732.7863,-103715.5652,-159588.902,-159562.408
United States of America,-7,-7,5583629.72,6437000.13,-390854.0804,-450590.0091,-390854.0804,-450590.0091
