Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,278424.66,279872.66,284912.44,289235.19,294014.96,305410.17,312361.59,320795.09,334684.52,344063.77,350195.02,357669.18,362209.55,369726.02,383205.12,386513.45,392680.65,399842.46,404417.41,407463.33,405502.8,404172.76,406506.24,397943.18,394116.89,401554.76,411031.53,415097.43,415953.95
Austria,62124.7,65725.53,60204.07,60635.42,61002.44,64065.26,67421.59,67232.78,66875.15,65562.72,66162.89,70102.6,71918.76,77554.25,77674.39,79192.43,76898.33,74262.59,73588.4,67493.95,72011.84,69898.24,67209.1,67745.69,64084.43,66283.24,67112.27,69628.86,66719.68
Belarus,103689.71,96647.13,88662.01,76380.05,62367.89,57375.45,58214.8,58720.59,57372.47,54984.5,54877.36,54967.87,55077.7,56484.95,60076.47,61367.1,64157.16,63569.93,65694.82,61402.7,63156.39,62106.74,63008.35,63743.45,63083.64,58633.06,60284.85,60742.93,61871.68
Belgium,120309.34,123382.08,122507.84,121444.2,124816.9,125956.47,129496.58,124001.76,130227.11,124718.9,126735.3,126084.68,126878.58,128275.26,128805.29,125661.69,123905.76,120496.16,120202.86,107743.37,114561.03,105046.06,102428.75,102674.4,96811.32,100981.34,99806.94,99456.28,100207.84
Bulgaria,76698.98,61232.6,57010.43,57675.64,56083.53,57716.37,58108.02,55861.27,53275.22,46369.98,45305.03,49014.14,46258.57,50509.67,49570.73,50656.43,51895.22,55740.84,54079.56,45773.77,47862.93,53178.04,48349.01,42649.51,45169.33,48194.28,45353.72,47505.16,43551.6
Canada,462117.35,452494.72,467037.42,467406.41,482436.58,494920.25,510736.66,524789.17,533639.79,549553.21,572162.1,564946.4,570844.78,587178.15,585703.1,576434.46,570950.38,594220.57,575586.91,542549.6,555549.85,566740.99,569737.01,576327.01,575942.18,575906.94,564032.53,572834.39,586504.63
Croatia,23329.25,17182.3,16506.08,16959.78,16214.22,16926.34,17515.27,18575.88,19278.9,20115.46,19694.45,20806.74,21912.74,23268.21,22916.83,23330.1,23529.45,24843.81,23628.58,21837.8,21050.86,20682.44,19114.78,18454.62,17704.99,17840.75,18105.04,18737.69,17718.65
Cyprus,4656.89,5146.61,5522.91,5766.97,6011.11,5882.27,6233.23,6321.03,6614.65,6882.47,7145.88,7021.41,7210.78,7605.55,7840.94,8031.3,8223.17,8538.92,8707.25,8453.8,8089.01,7759.47,7234.89,6554.36,6934.59,6960.13,7368.23,7515.69,7332.76
Czechia,164204.21,148894.13,144619.02,138637.29,132376.14,131608.26,134962.55,130733.07,125317.67,116623.43,127066.45,126957.56,123895.62,127382.8,128113.81,125671.94,126449.45,128264.33,122941.37,115193.74,117500.71,115060.26,110955.16,106427.46,104049.88,104815.38,106629.02,105641.73,104411.21
Denmark,54845.67,65428.35,59595.59,61682.6,65699.57,62655.77,75987.01,66603.08,62395.89,59842.62,55609.69,57322.68,56895.54,62055.93,56499.81,52932,60858.69,56102.04,52640.37,50184.69,50678.31,45652.28,41218.24,43079.33,38866.73,36493.99,38301.02,36213.25,36246.2
Estonia,36907.24,33901.77,24370.46,18910.36,19734.05,18048.83,18759.52,18317.28,16817.25,15653.35,15244.19,15576.73,15090.49,16937.23,17201.01,16921.62,16208.81,19838.56,17668.12,14339.01,18784.96,18855.12,17684.98,19551.95,18755.95,15813.4,17377.65,18635.87,17710.95
European Union,4466227.83,4413593.53,4271808.7,4187802.39,4169946.81,4212988.6,4317840.99,4227943.48,4224534.87,4158896.77,4177734.74,4243023.94,4228876.18,4324440.22,4336433.66,4313650.09,4319665.14,4272760.08,4172947.61,3832105.82,3951411.91,3803658.29,3745971.33,3655077.46,3480937.32,3518768,3500042.74,3513036.18,3432017.5
Finland,56971.87,55230.4,54285.53,56352.55,61716.2,58145.44,64062.41,62722.99,59373.26,58894.77,57038.25,62536.21,65059.79,72657.82,68960.75,57042.9,68384.42,66760.3,58609.62,55924.37,64099.45,56665.65,51222.15,51750.96,47643.86,44113.71,47227.55,44673.06,45849.35
France,403307.24,428927.11,418231.02,397655.36,393368.86,400239.12,415941.02,408989.96,428344.36,424600.51,419232.28,424005.85,419347.5,426145.7,427117.58,430528.28,419737.02,409033.41,401422.87,385421.58,393717.82,367051.08,368311.77,370548.99,339492.92,344096.98,347095.62,352178.98,338327.1
Germany,1052348.54,1014199.72,965889.81,956233.11,939630.28,939176.7,959124.13,931230.07,923275.91,895642.93,899780.2,916366.14,899821.05,900866.41,886965.97,866388.55,877997.39,851383.3,854706.33,790195.72,832669.74,809426.95,813893.12,831316.28,792684.87,795816.36,800510.29,786654.55,755362.34
