Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,124383.18,124308.87,123741.41,120117.92,116834.94,115158.28,115355.76,118199.04,117153.72,113023.54,116699.19,115299.17,113507.39,108063.87,110200.45,111908.88,111344.13,111065.16,109353.59,108388.54,106258.99,108278.93,107907.07,107218.47,105070.91,105368.8,105873.93,108170.7,109532.21
Austria,10391.46,10266.59,9981.65,9897.41,9607.56,9530.41,9227.63,8925.4,8745.77,8564.76,8393.11,8234.66,8093.62,8030.28,8033.79,7799.94,7700.23,7595.13,7469.49,7393.14,7308.66,7108.46,7006.74,6907.1,6777.45,6702.06,6642.61,6626.11,6438.63
Belarus,17458.52,16387.26,15115.87,14309.12,13558.63,12865.93,12808.03,12885.36,12875.76,12424.76,12286.23,12221.68,12147.15,12291.48,13084.41,12827.12,13252.68,13506.79,14472.79,14578.79,15150.85,15040.7,15365.98,15777.19,15853.79,15998.74,15784.06,15931.56,16097.62
Belgium,12278.87,12241.89,12162.45,12108.73,12153.76,12229.27,12070.45,11957.69,11790.17,11531.02,11085.55,10630.72,10197.28,9629.38,9581.24,9337.62,9239.85,9183.55,8989.35,8927.7,8879.63,8613.15,8471.53,8312.56,8191.49,8196.5,8167.04,7998.01,7915.49
Bulgaria,15936.77,14946.9,14661.37,13597.77,11703.38,11744.36,11653.21,11325.21,10729.11,10218.33,10068.65,9326.84,9459.67,9898.42,9281.17,8808.96,8501.91,8406.99,8180.58,7877.06,7844.18,8056.33,7686.29,7564.7,7459.82,7450.42,7213.21,7001.14,6753.67
Canada,90484.95,92223.16,96534.41,99891.59,103723.73,107642.18,111229.57,109737.31,110472.38,111548.9,112024.26,110153.73,108324.71,106786.3,107090.89,105737.33,104730.63,103092.87,100190.83,93922.01,91559.36,91386.64,94060.47,95502.21,97277.55,95542.42,92507.16,91893.04,91424.11
Croatia,4382.44,4234.89,3776.11,3694.61,3512.75,3471.37,3439.27,3419.16,3401.57,3470.94,3425.73,3508.63,3527.08,3706.88,3811.73,3833.01,3969.98,3994.55,3990.74,4069.52,4145.18,4095.33,4048.49,3812.17,3854.51,3946.53,4085.02,4069.11,3888.72
Cyprus,661.43,673.09,691.22,715.69,728.93,750.07,767,771.18,772.64,776.03,792.52,824.17,848.41,840.21,835.49,818.5,820.19,823.4,821.71,824.02,831.91,837.1,826.52,820.46,820.84,832.43,858.37,875.26,884.55
Czechia,23527.89,21959.71,20623.32,19715.85,18598.24,18174.55,18026.77,17618.19,16932.6,16203.87,15378.58,15134.85,14713.11,14724.33,14302.91,14675.19,14907.95,14472.89,14594.55,14245.75,14445.97,14477.98,14460.44,13879.72,13878.48,13943.88,13478.72,13280.21,13154.94
Denmark,7941.91,8126.7,8196.32,8386.3,8266.49,8339.08,8447.79,8328.22,8380.69,8270.36,8194.99,8435.6,8373.84,8398.56,8219.21,7979.28,7874.9,7850.52,7734.27,7603.82,7667.57,7508.19,7400.8,7308.4,7274.5,7201.29,7252.96,7280.57,7368.5
Estonia,1901.29,1822.66,1581.39,1343.62,1301.62,1261.98,1275.42,1329.17,1288.11,1199.28,1238.03,1273.1,1229.5,1231.97,1249.96,1217.74,1206.18,1222.52,1207.16,1222.71,1243.7,1200.65,1218.33,1216.18,1181.3,1146.79,1125.24,1129.42,1117.41
European Union,728946.9,707433.06,692025.17,683170.56,667016.32,665787.59,662074.47,655916.71,640348.36,628325.21,606071.42,595314.22,583879.91,575652.26,558072.24,546372.78,533854.37,525152.37,514020.66,501782.25,490884.9,480728.3,476423.38,466765.27,459501.62,459247.55,453520.72,452761.63,446029.33
Finland,7684.62,7666.52,7617.08,7657.23,7627.48,7420.03,7341.62,7258.97,6992.47,6819.21,6561.35,6426.33,6202.64,5997.03,5813.21,5564.71,5638.59,5506.26,5363.36,5296.74,5354.96,5183.2,5128.19,4989.56,4892.21,4856.62,4728.34,4605.28,4540.85
France,69877.3,70584.19,70409.65,70784.48,70887.15,71487.89,70710.22,69606.82,69720.84,69778.22,70147.72,70014.93,68315.59,67232.12,65747.95,64652.81,63920.07,63494.36,63548.04,62456.82,62197.36,61006.37,59676.21,59160.7,58986.97,58308.52,57747.17,57378.98,56500
Germany,121192.51,115019.18,111435.38,112044.55,108086.09,105613.35,103245.92,98735.21,93625.8,92729.81,88605.55,85044.77,80969.35,77513.79,72528.79,69368.14,65595.35,63569.23,62652.96,60184.94,59181.2,58067.17,58804.79,58219.39,56991.08,56767.56,55506.92,54738.29,52641.89
Greece,11042.24,11040.95,11116.92,11151.49,11271.24,11427.51,11595.16,11548.54,11772.09,11753.05,11735.94,11055.63,11164.36,11261.48,11287.54,11382.32,11459.9,11326.62,11229.8,10861.7,11068.17,10935.66,10772.7,10532.9,10323.79,10151.66,9804.96,10059.23,10091.07
