Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,20237.42,19591.23,19072.39,19399.01,19848.26,19133.16,20736.52,21407.06,21542.65,22475.35,23690.54,23956.12,24540.3,23608.42,24718.81,25059.1,25055.2,23689.94,23844.39,24304.94,24408.14,25464.17,25421.42,23955.85,24622.09,23685.22,23322.76,25084.06,23564.4
Austria,4464.52,4500.38,4314.46,4346.41,4296.79,4389.96,4417.03,4440.32,4484.93,4475.2,4455.02,4329.69,4333.88,4323.97,3736.17,3733.77,3742.97,3757.57,3939.01,3717.96,3523.32,3615.66,3584.27,3568.77,3652.9,3664.57,3756.05,3697.29,3660.71
Belarus,16635.12,16165.51,14571.65,14609.95,12473.42,11639.1,12455.23,12825.39,15665.97,12271.81,12445.07,12447.74,11181.07,11748.5,12132.23,12516.36,13221.81,13115.64,13837.03,14130.77,13985.28,14762.06,14465.4,14383.39,14113.72,13868.34,13988.24,14450.95,14081.5
Belgium,10083.68,9955.09,9682.72,9960.89,10369.53,10852.71,11518.81,11078.98,10969.8,10976.94,10259.32,9867.62,9523.57,8630.56,8818.97,8577.66,7578.58,7057.72,7055.63,7158.76,7679.62,6542.44,6407,6247.26,6283.58,6137.76,5864.63,6080.02,5803.26
Bulgaria,9391.64,7399.83,6289.23,5720.03,5568.01,5370.84,5237.38,4992.55,4167.81,4346.83,4499.45,4523.63,4434.99,4268.85,4867.09,4710.85,4247.96,4355.2,4550.6,4164.41,4689.81,4373.68,4493.39,4941.41,5401.28,5537.1,5864.6,5844.71,5736.43
Canada,39304.38,37766.72,38439.81,38491.78,41395.07,41991.66,44081.54,42754.61,38994.04,36831.26,36358.75,35273.95,35123.43,36613.01,38798.15,37687.69,35350.2,36071.58,37793.24,34559.16,33751.37,33965.97,35350.92,37303.13,36062.34,36848.2,37581.58,36890.54,38265.7
Croatia,2961.56,2804.47,2800.7,2412.2,2429.4,2348.29,2324.57,2507.83,2199.72,2374.82,2533.56,2461.57,2423.1,2349.92,2545.93,2545.84,2570.26,2649.63,2947.23,2309.84,2553.89,2650.21,2465.44,1844.11,1777.4,1981.13,1722.8,1900.44,1807.9
Cyprus,292.51,293.85,324.35,343.74,337.67,379.3,354.56,348.53,373.61,364.09,352.49,382.35,385.92,382.44,343.92,316.84,329.91,326.1,312.1,304.48,321.6,308.88,303.78,280.32,275.64,283.1,294.61,295.71,297.26
Czechia,9426.24,8080.88,7241.18,6496.97,6381.74,6674.6,6443.49,6419.18,6295.72,6093.93,6515.16,6763.42,6367.13,5908.33,6586.18,6396.99,6283.98,6352.57,6414.88,5564.77,5444.58,6062.56,5919.69,5693.53,5796.18,6199.22,6517.16,6434.7,6090.38
Denmark,8197.59,8041.92,7789.04,7554.98,7471.05,7402.77,7055.62,7087.42,7137.15,7205.49,7144.51,6946.9,6882.65,6759.99,6327.81,5691.99,5558.18,5738.2,5729.9,5531.19,5435.91,5430.39,5340.8,5336.25,5434.91,5449.63,5599.93,5658.09,5462.19
Estonia,1725.17,1688.14,1445.45,1187.79,1096.53,1024.34,982.44,991.87,1014.61,925.82,942.66,930.99,909.6,959.17,998.14,1002.23,993.46,1060.75,1118.35,1074,1090.04,1095.66,1148.15,1151.11,1181.43,1207.44,1183.76,1208.49,1197.34
European Union,395986.58,377948.31,363618.6,353963.77,357050.31,359227.75,365223.58,362161.92,340643.2,320223.6,319492.39,316623.67,304875.59,302899.65,308111.21,301185.82,289826.8,290803.94,280234.43,264305.15,254164.47,250330.42,248081.22,247991.36,251307.18,251875.31,252102.77,256055.96,250844.03
Finland,8486.89,8045.06,7611.99,7776.78,7899.58,8036.44,8078.37,8099.74,7927.25,7876.04,7950.36,7849.29,7885.13,8012.46,8093.17,8178.43,7974.56,8038.29,8200.67,7319.35,6915.2,6765.82,6735.65,6758.86,6800.71,6785.82,6784.42,6836.96,6789.07
France,69651.95,70154.48,69838.08,69025.44,69093.6,70606.41,72093.25,72039.77,65360.62,59473.93,58448.7,58032.27,55271.96,53426.69,51726.15,50793.9,49490.54,49674.19,48912.47,47407.01,45171.26,43703.29,43899.28,43636.62,44868.1,44706.6,43652.74,45176.58,43461.21
Germany,63306.55,61204.94,62437.48,59763.12,60856.28,60279.51,61638.1,58728.15,45976.29,42458.18,42509.66,44002.08,43213.73,43932.31,46157.85,44279.19,43852.71,45759.31,46186.58,45339.57,37392.15,38741.22,38114,38677.79,39343.26,39984.5,39175.75,38916.2,36935.35
Greece,7471.57,7332.35,7180.16,6624.82,6507.87,6711.38,6882.33,6725.42,6656.77,6601.51,6396.57,6249.06,6205.95,6135.47,6142.69,5972.28,5805.38,5934.76,5672.69,5312.11,5507.02,5262.18,4836.65,4534.51,4326.42,4263.67,4319,4380.89,4300.57
Hungary,8415.8,5731.39,4484.5,4679.72,5639.49,4801.54,5383.34,5384.49,5294.26,5117.64,5469.07,5915.69,5231.98,5155.59,5943.4,5684.17,5397.91,4859.03,4148.9,3863.73,3776.39,3978.45,3930.84,4247.9,4486.19,4587.56,4846.78,4851.41,4900.5
Iceland,378.64,368.2,350.81,358.13,361.56,354.81,369.65,362.9,362.37,370.91,350.27,345.24,319.52,312.75,312.65,313.59,329.39,336.25,343.46,318.5,307.29,303.92,308.93,304.25,332.83,315.21,313.21,324.49,307.31
Ireland,7871.94,7647.29,7530.3,7666.97,7936.81,8275.12,8382.7,8292.66,8703.75,8452.64,8160.3,7704.96,7384.25,7322.74,7204.12,7060.24,6793.84,6622.77,6591.78,6446.37,6799.48,6345,6493.17,6965.31,6781.84,6780.99,6866.22,7211.93,7358.25
Italy,26960.83,28037.86,27576.58,28138.34,27559.72,28507.32,28442.15,29460.81,29787.15,30204.03,29383.31,29527.7,28867.5,28776.48,29541.52,28690.36,23767.13,23288.79,21586.24,20397.09,19507.3,19013.96,19590.42,18624,18193.55,18186.63,18531.91,18528.87,18167.85
Japan,32094.57,31797.08,31967.47,31829.87,33083.58,33387.63,34516.59,35321.72,33734.7,27586.91,30104.8,26486.69,25933.25,25771.29,25599.99,25152.39,25024.52,24388.34,23573.02,22926.7,22377.14,21971.45,21653.63,21679.42,21286.61,20922.1,20381.3,20606.93,20190.1
Kazakhstan,17755.63,16931.32,17690.04,16433.1,14019.11,12939.45,12814.19,13780.43,14826.87,17057.21,18965.39,18527.72,18125.47,17896.83,17297.15,16840.38,16637.55,16480.31,15489.05,15248.5,15317.65,15694.19,15534.05,15777.43,16347.86,16502.23,16592.56,17134.65,17406.13
Latvia,3732.4,3641.16,3088.52,2648.1,2413.54,2255.9,2251.22,2247.79,2195.59,2129.33,2135.6,2210.2,2178.95,2224.16,2209.01,2244.93,2254.18,2298.93,2276.21,2300.63,2333.13,2331.63,2402,2431.84,2462.96,2515.98,2520.11,2545.95,2500.07
Liechtenstein,10.48,10.69,10.61,10.37,10.34,10.24,10.16,10.21,9.9,9.66,9.57,9.59,9.75,9.77,9.45,9.59,9.77,9.85,10.04,9.94,9.71,10.09,9.95,9.66,9.55,9.6,9.45,9.39,9.54
Lithuania,5367.19,5496.46,3810.18,3338.55,3001.41,2942.01,3396.42,3508.11,3743.05,3700.88,3895.13,4006.3,4237.52,4347.82,4581.81,4838.2,4804.75,5591.56,5338.03,3281.25,3171.48,3512.28,3328.92,3105.71,3243.98,3264.47,3202.39,3245.19,3126.55
Luxembourg,331.82,342.81,350.63,344.39,339.49,339.55,342.12,339.16,335.7,340.32,339.69,320.56,316.91,294.82,319.47,302.11,300.41,305.03,310.61,306.87,313.85,316.1,310.87,310.66,313.17,310.62,320.58,323.66,323.93
Malta,57.45,57.84,58.8,61.66,61.36,62.75,60.11,61.05,62.93,60.58,62.11,60.73,59.72,59.5,59.17,58.73,59.37,59.73,56.9,53.16,52.96,46.18,46.36,45.47,46.17,45.88,45.04,42.65,43.23
Monaco,2.24,2.54,2.69,2.82,2.89,2.81,2.95,3.05,2.96,2.96,3.17,3.33,3.2,3.06,2.92,2.8,3.04,3.91,3.84,4.1,4.14,3.98,3.96,4.09,3.72,3.66,3.43,2.9,3.11
Netherlands,18039.49,18217.38,18476.23,18755.3,18279.79,18195.71,18246.21,17988.54,17414.27,16729.93,16207.68,15230.07,14429,14311.19,14761.82,14675.33,14635.99,12987.85,9219.78,9024.61,8734.14,8521.49,8360.94,8536.47,8660.34,8906.8,8572.26,8755.08,8448.78
New Zealand,5142.54,5215.84,5252.96,5473.36,5722.35,5968.16,6047.17,6144.31,6083.32,6103.73,6418.32,6788.6,7053.71,7230.29,7269.47,7315.88,7248.04,7015.76,6966.55,6867.64,7069.18,7251.76,7397.48,7407.16,7526.53,7597.24,7599.74,7609.02,7691.65
Norway,4364.33,4214.92,3684.63,3887.28,3959.28,3990.29,4010.61,4006.39,4098.53,4315.79,4118.67,4050.21,4296.52,4152.16,4296.28,4368.9,4040.16,3865.29,3430.23,2883.31,2798.4,2792.43,2798.39,2770.91,2776.92,2814.25,2754.32,2711.46,2678.86
Poland,29118.64,24789.11,23166.68,24116.23,24125.5,25133.86,25083.79,25130.72,25020.25,24494.76,24655.12,24995.24,23532,23252.94,23846.01,24080.95,24516.15,25345.8,24897.67,21680.51,21264.6,21591.18,21718.87,21873.29,21600.75,20887.82,22390.3,22583.85,22794.73
Portugal,4462.01,4423.5,4315.91,4207.68,4191.24,4387.62,4543.56,4564.12,4659.61,4706.18,4929.81,4780.96,4681.89,4457.18,4485.16,4408.77,4133.89,4260.86,4142.83,3859.82,3858.73,3572.71,3614.02,3636.99,3704.4,3605.02,3560.79,3818.02,3548.58
Romania,17213.5,12573.96,12640.15,13351.07,12570.81,13299.62,12823.9,12530.15,11350.99,10825.6,11337.08,11214.47,10498.96,11216.82,12510.28,12364.36,11224.66,11231.34,10039.93,9406.43,9635.42,9981.78,9275.86,9445.7,9165.49,9293.81,9355.52,9695.9,10450.36
Russian Federation,156659.55,151707.45,139215.41,128484.52,113811.75,105920.61,102104.75,97693.12,94213.42,88812.41,91733.51,91628.68,93151.01,92595.01,89063.3,91016.03,93198,94395.46,97693.31,101341.4,87006.93,91479.61,89365.01,90288.26,93160.21,97734.99,99282.79,101867.71,105991.2
Slovakia,4410.16,3475.67,2859.14,2398.18,2842.95,2966.36,3147.04,3139.42,2828.71,2415.81,2605.12,2861.29,2801.17,2794.23,3017.36,2961.77,3179.02,3050.35,2996.09,2672.14,2472.57,2115.75,2055.12,2022.85,2149.89,2095.46,2165.77,2053.57,2135.72
Slovenia,811.76,758.19,818.34,784.25,839.05,886.15,916,932.42,931.78,925.91,957.08,945.1,871.52,846.72,818.84,822.28,836.11,839.58,799.78,790.9,780.18,790.75,793.91,762.14,767.71,787.98,794.83,767.31,783.27
Spain,18663.52,18120.99,17442.75,16244.27,18271.9,17811.38,19903.42,19597.67,20239.22,21178.74,22344.42,21207.42,20442.88,21710.84,20970.63,20327.61,20277.88,20304.24,18376.66,18299.49,18525.93,17610.99,17078.87,17555.7,18180.98,18480.96,18341.35,18833.59,18702.09
Sweden,7016.11,6879.75,6721.25,6937.41,6971.05,6858.05,6869.25,6875.92,6917.26,6710.93,6631.32,6513.76,6392.88,6362.95,6366.26,6276.96,6211.12,6043.74,6099.45,5895.31,6080.32,5724.49,5637.59,5683.62,5756.41,5807.8,5814.46,5995.08,5755.52
Switzerland,3381.17,3357.96,3303.86,3396.67,3347.6,3381.52,3306.01,3297.41,3220.06,3189.83,3352.8,3292.15,3322.67,3126.76,3049.44,3161.75,3055.33,3151.98,3024.57,2914.18,3058.21,2988.45,3046.75,2949.06,2929.16,2957.74,2937.94,3128.89,2924.95
Turkey,24879.2,24655.34,25184.2,25997.08,23608.59,23779.36,24496.9,23947.41,25286.16,25585.99,24797.89,23222.66,23196.69,24729.77,25245.54,26085.77,28200.26,27469.04,26088.96,28301,29644.1,30720.52,31889.21,33910.24,34325.46,35074.88,37478.25,38915.55,39040.92
Ukraine,53627.02,48461.22,44919.07,42139.51,36238.42,33077.33,28731.49,29472.91,26221.73,24065.52,24059.05,25387.86,25838.88,23135.38,25615.6,25939.36,26297.51,25977.63,31115.91,27113.37,27569.09,33516.46,32077.17,35562.01,35475.69,33146.62,36418.55,34993.43,38817.81
