Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,448317.78,431158.24,376007.7,362173.23,357075.12,344939.13,351916.46,353554.6,348811.04,367521.44,383109.43,413915.49,405815.42,427467.74,427307.91,455631.99,454306.52,473917.98,464466.2,456181.87,436759.38,411353.85,397625.43,382088.47,380450.84,380067.27,368327.44,366765.31,376135.02
Austria,49968.1,48865.59,48368.87,48503.32,48999.42,50757.01,56705.38,48007.84,49525.08,45909.38,49612.01,50709.98,57533.17,72561.72,68365.67,68414.16,71583.15,68708.18,69272.81,62886.62,66076.2,63735.17,61702.84,63191.2,59323.42,61684.05,62681.56,64617.65,61408.43
Belarus,83099.84,72754.27,66517.16,58906.14,35115.74,29042.73,30798.92,33171.41,32879.37,23544.15,22296.49,23495.56,26733.63,32018.65,33995.06,32996.5,32539.07,31296.16,33767.26,23748.55,23769.03,25227.8,31691.52,29340.11,33715.61,31893.24,39796.87,47646.17,39166.31
Belgium,117060.29,120595.48,119897.88,118812.02,122435.46,123340.97,126670.18,121636.76,127302.7,122553.06,124932.67,124332,125108.15,126544.61,127160.09,124024.74,122275.73,119066.54,119020.21,106529.85,113766.68,104251.75,101615.34,101341.88,95497.97,99616.29,98679.92,98332.54,99092.24
Bulgaria,57135.92,41676.61,38000.64,38431.07,36808.58,38496.43,39322.95,37039.37,33813.59,28056.75,26515.72,38518.47,35424.22,40051.74,38330.35,37886.74,37691.13,40372.38,40517.47,32133.56,34835.64,43001.15,38694.31,34262.11,35518.34,38998.82,36192.31,38595.43,34590.97
Canada,401195.2,386057.59,407793.77,414593.15,427933.55,453239.38,461174.45,474219.32,476190.54,502794.17,538913.12,515925.72,535622.37,545882.6,567069.6,562365.76,548114.48,568550.44,544797.52,499977.38,529270.93,540352.55,540634.49,550003.18,550240.86,556745.39,544550.73,555467.57,572738.49
Croatia,16858.48,9458.32,8626.2,8777.16,7777.01,7917.23,8827.09,10398.2,11321.5,11535.35,12542.73,12902.32,13731.97,15854.75,15264.88,15453.76,15859.28,17918.45,16371.13,14626.74,14019.04,14814.6,13650.69,12270,11497.24,12573.83,12788.96,14008.98,12501.06
Cyprus,4437.85,4934.35,5304.46,5532.86,5786.88,5642.94,5987.86,6094.1,6428.45,6590.04,7101.13,6831.38,6934.01,7320.14,7556.49,7727.76,7840.76,8292.49,8289.27,8024.38,7689.38,7323.53,6812.1,6114.09,6498.37,6528.04,7302.23,7095.96,6932.54
Czechia,158433.39,139918.15,134960.98,129343.28,125343.36,124137.04,127097.19,123805.83,118310.57,109393.37,118948.93,118549.32,115857.8,120825.52,121095.78,118250.33,121338.08,125388.72,116839.69,108031.08,111160.96,107739.37,103468.09,99591.73,97325.98,98943.96,101920.16,103298.37,110164.42
Denmark,61018.67,70896.12,66301.91,67188.3,70318.41,67353.19,80158.54,71073.52,66825.69,64556.91,60555.15,62551.67,63177.61,68105.46,62220.8,58572.87,66676.08,59466.69,51472,53185.81,50915.09,44351.85,41583.12,44673.32,40123.12,41326.14,44135.48,40366.04,42498.42
