Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,169893.12,151285.58,91095.26,72938.04,63060.16,39528.96,39554.88,32759.52,14126.53,23457.67,32914.4,56246.31,43605.88,57741.72,44102.78,69118.54,61625.87,74075.52,60048.79,48718.54,31256.58,7181.09,-8880.81,-15854.71,-13666.05,-21487.49,-42704.09,-48332.12,-39818.92
Austria,-12156.6,-16859.95,-11835.2,-12132.1,-12003.02,-13308.25,-10716.21,-19224.94,-17350.07,-19653.34,-16550.88,-19392.62,-14385.6,-4992.53,-9308.73,-10778.27,-5315.18,-5554.41,-4315.59,-4607.33,-5935.64,-6163.08,-5506.26,-4554.49,-4761.01,-4599.19,-4430.71,-5011.21,-5311.24
Belarus,-20589.87,-23892.86,-22144.85,-17473.91,-27252.14,-28332.72,-27415.88,-25549.19,-24493.1,-31440.35,-32580.87,-31472.31,-28344.07,-24466.3,-26081.41,-28370.59,-31618.09,-32273.77,-31927.56,-37654.15,-39387.36,-36878.95,-31316.83,-34403.33,-29368.03,-26739.82,-20487.99,-13096.76,-22705.37
Belgium,-3249.05,-2786.6,-2609.96,-2632.18,-2381.45,-2615.51,-2826.4,-2365,-2924.41,-2165.84,-1802.62,-1752.68,-1770.43,-1730.66,-1645.21,-1636.95,-1630.03,-1429.62,-1182.65,-1213.52,-794.35,-794.31,-813.42,-1332.52,-1313.36,-1365.05,-1127.02,-1123.74,-1115.6
Bulgaria,-19563.06,-19555.99,-19009.79,-19244.57,-19274.95,-19219.93,-18785.07,-18821.9,-19461.63,-18313.23,-18789.31,-10495.66,-10834.35,-10457.93,-11240.38,-12769.69,-14204.09,-15368.46,-13562.09,-13640.21,-13027.29,-10176.89,-9654.69,-8387.4,-9650.99,-9195.46,-9161.42,-8909.74,-8960.63
Canada,-60922.15,-66437.14,-59243.65,-52813.26,-54503.03,-41680.88,-49562.21,-50569.85,-57449.26,-46759.04,-33248.98,-49020.68,-35222.41,-41295.55,-18633.5,-14068.71,-22835.9,-25670.13,-30789.38,-42572.22,-26278.92,-26388.44,-29102.52,-26323.83,-25701.32,-19161.55,-19481.8,-17366.82,-13766.15
Croatia,-6470.77,-7723.98,-7879.88,-8182.62,-8437.21,-9009.11,-8688.18,-8177.68,-7957.41,-8580.1,-7151.72,-7904.41,-8180.76,-7413.46,-7651.95,-7876.34,-7670.18,-6925.36,-7257.45,-7211.07,-7031.82,-5867.84,-5464.09,-6184.62,-6207.74,-5266.92,-5316.08,-4728.71,-5217.58
Cyprus,-219.04,-212.25,-218.45,-234.12,-224.23,-239.33,-245.37,-226.93,-186.2,-292.43,-44.75,-190.03,-276.76,-285.41,-284.45,-303.54,-382.41,-246.43,-417.98,-429.41,-399.63,-435.94,-422.79,-440.27,-436.22,-432.09,-66,-419.73,-400.22
Czechia,-5770.81,-8975.98,-9658.04,-9294.01,-7032.78,-7471.22,-7865.35,-6927.23,-7007.1,-7230.06,-8117.52,-8408.24,-8037.82,-6557.28,-7018.04,-7421.61,-5111.38,-2875.61,-6101.68,-7162.66,-6339.76,-7320.89,-7487.07,-6835.73,-6723.9,-5871.42,-4708.86,-2343.35,5753.21
Denmark,6173,5467.78,6706.33,5505.71,4618.84,4697.42,4171.53,4470.44,4429.8,4714.29,4945.46,5229,6282.07,6049.53,5720.99,5640.87,5817.4,3364.65,-1168.37,3001.12,236.79,-1300.43,364.88,1593.99,1256.4,4832.15,5834.46,4152.79,6252.21
Estonia,-1945.12,-1820.85,-1317.59,-2324.23,-1815.57,-2135.15,-2209.07,-2472.08,-3186.82,-2601.92,-3529,-3793.12,-3328.67,-5238.65,-3916.64,-885.52,-1971.33,-2002.14,-2366.18,-3137.58,-4080.16,-4433.12,-3979.85,-3552.37,-1904.2,-2563.81,-2788.25,-2183.52,-2342.12
European Union,-277291.88,-303395.49,-271795.48,-273131.96,-284996.26,-306922.97,-334363.67,-331755.88,-347243.36,-354728.98,-337147.02,-352951.72,-336281.06,-317005.29,-345556.81,-341960.3,-364168.92,-330431.77,-359335.8,-358902.48,-355629.61,-350643.75,-353917.57,-353894.75,-332613.1,-323839.51,-318224.59,-285414.93,-293974.84
Finland,-18430.56,-30825.54,-24705.52,-24837.54,-18165.56,-17648.28,-24951.55,-20875.22,-19100.92,-21362.22,-22394.71,-24247.14,-25283.39,-25741.09,-26873.31,-27768.91,-33850.09,-25833.68,-24508.6,-37005.64,-25546.99,-25752.17,-28414.94,-21961.35,-24214.36,-21689.69,-19529.57,-19968.82,-13057.36
France,-25910.82,-26434.98,-24238.56,-27062.55,-26981.25,-29478.24,-34975.09,-34699.99,-36278.77,-39098.65,-21880.31,-33568.47,-41797.24,-44817.46,-47801.92,-48762.61,-50636.79,-51017.85,-51245.05,-41438,-41269.94,-39460.43,-40302.01,-42409.09,-35835.39,-30599.75,-33151.51,-30734.49,-29749.68
Germany,-30464.21,-27843.55,-28572.76,-28458.97,-31602.55,-32150.37,-32186.65,-33242.95,-33519.3,-34666.49,-36916.93,-35271.74,-7863.22,-9759.39,-12622.74,-15219.6,-18707.38,-18358.22,-22814.73,-23284.69,-21686.73,-20935.95,-30924.25,-29548.95,-30221.43,-29769.92,-29779.42,-28868.86,-29314.79
Greece,-2177.04,-2341.11,-2491.25,-2941.45,-2673.77,-2924.45,-2329.34,-2015.59,-1936.32,-2560.11,-2175.92,-2453.21,-2787.65,-2522.61,-2489.12,-3308.21,-3338.38,-1826.78,-3019.05,-3103.8,-3076.99,-3166,-3149.19,-1614.72,-150.8,-3745.52,-3521.9,-3243.38,-3013
Hungary,-2679.49,-2111.32,-2788.6,-5257.99,-6081.84,-5863.93,-2148.51,-2510.05,-3741.51,-1554.29,-764.15,-2395.89,-1808.01,-4281.14,-3334.36,-5758.33,-3504.02,-3850.07,-5564.49,-4050.86,-4379.79,-3998.18,-4761.98,-3754.9,-5221.22,-5798.17,-4581.97,-5243.04,-4711.31
Iceland,5623.6,5610.2,5592.8,5586.11,5554.13,5540.8,5529.47,5521.52,5518.28,5523.56,5534.77,5540.84,5561.25,5551.75,5553.04,5559.26,5617.25,5644.34,5663.41,5633.36,5607.11,5577.51,5568.11,5550.21,5522.94,5494.91,5466.45,5410.3,5411.55
Ireland,4326.85,4110.55,3878.15,3710.57,3794.89,4611.79,4175.35,3558.99,3409.27,3510.34,4835.87,5211.51,5535.85,5570.74,4476.49,4999.33,5111.34,4369.24,3875.72,3361.97,4428.37,3790.71,3288.5,3602.81,3068.93,3655.16,2576.92,4206.43,3433.26
Italy,-5661.99,-20350.56,-18416.74,-6371.99,-18751.2,-24856.61,-26257.89,-18371.66,-16196.21,-24780.16,-22322.25,-32439.57,-36554.08,-28974.21,-35048.98,-36042.74,-36904.3,-15552.01,-32535.91,-36739.13,-42713.09,-34901.06,-26571.5,-40451,-41709.8,-44204.23,-40959.81,-23229.35,-36909.4
Japan,-62536.65,-70567.78,-73619.06,-76708.01,-76446.41,-77382.23,-82030.74,-84429.67,-85832.94,-86029.17,-88048.51,-88557.64,-90016.06,-100265.92,-96694.82,-91471.19,-86054.63,-81452.32,-71206.57,-67158.43,-70710.48,-69923.14,-72984.6,-66284.84,-64621.43,-59636.44,-54535.51,-58824.52,-57654.61
Kazakhstan,-15630.78,-15063.77,-14491.03,-13956.07,-11828.67,-9739.4,-975.7,7763.8,16507.99,28576.17,40654.17,37712.4,34764.4,31822.63,22915.57,14226.67,5420.43,-3364.9,-12171.13,-18184.47,-17764.3,-16354.03,-13313.45,-12471.43,-8363.67,-5327.63,-2437.78,547.29,5130.47
Latvia,-11214.16,-11674.58,-12148.78,-11993.95,-14918.7,-13815.21,-13987.27,-12251.47,-11331.68,-7707.74,-10957.81,-11385.92,-9709.8,-9312.4,-5621.05,-5069.14,-5899.54,-5476.76,-5885.14,-2993.51,-1257.57,-1674.9,-3049.06,-1810.1,1900.18,576.86,-1321,-2551.98,96.77
Liechtenstein,6.64,-9.42,1.7,-1.64,18,4.31,-4.16,7.44,-0.48,-1.65,24.47,0.89,1.8,5.87,8.07,8.09,12.97,22.25,24.39,21.34,19.84,23.63,23.88,16.2,16.08,10.64,8.78,10.13,21.52
Lithuania,-5709.82,-5769.38,-5385.82,-6342.54,-5872.51,-4590.74,858.58,-393.46,-7988.85,-7326.31,-9599.88,-7385.59,-6370.51,-5748.01,-5241.27,-4625.74,-4070.16,-5941.97,-6621.68,-7451.73,-10443.87,-10711.1,-10852.92,-9523.7,-8760.61,-5690.05,-4426.7,-3911.53,-4038.54
Luxembourg,79.92,-215.53,-565.92,-669.87,-470.22,-590.26,-636.37,-728.36,-611.29,-705.29,-738.54,-721.77,-719.62,-675.66,-696.69,-643.14,-548.22,-457.29,-468.3,-449.12,-136.19,-306.96,-397.07,-573.86,-486.11,-434.61,-521.61,-413.93,-224.08
Malta,2.96,4.75,4.36,3.27,3.68,3.07,3,2.93,2.55,1.92,3.15,2.11,1.26,1.39,1.54,1.71,1.88,2.01,2.11,2.25,2,2.23,2.47,2.71,2.94,3.18,3.41,3.65,3.88
Monaco,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.04,-0.04,-0.04,-0.05,-0.05,-0.05,-0.05,-0.05,-0.04,-0.06,-0.06,-0.07,-0.07,-0.07,-0.06,-0.05,-0.04,-0.05,-0.04,0.05,-0.02,-0.01,-0.03
Netherlands,6484.67,6561.85,6536.4,6599.73,6607.36,6396.16,6327.16,6228.39,6219.8,6135.82,5997.09,6006.74,5950.96,5987.41,5723.67,5531.42,5422.97,5350.97,5141.78,5266.04,5169.28,5145.55,5053.32,5199.54,5057.92,5001.76,4847.48,4950.17,4814.92
New Zealand,-28606.82,-30577.02,-30702.39,-31023.81,-30674.54,-28646.08,-27820.88,-28036.49,-28182.36,-29636.4,-28435.7,-28262.83,-25630.53,-26696.31,-26528.46,-25670.02,-23648.34,-22297.49,-29346.65,-27796.11,-28200.88,-23606.5,-22648.49,-20369.64,-22550.18,-23410.35,-22768.93,-22912.73,-23568.61
