Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,4299.14,4032.32,3704.44,3561.83,3532.2,3547.79,3885.68,3759.74,3650.23,4087.69,4324.34,4269.96,4327.96,4588.53,4020.86,4265.14,4331.82,4532.95,4413.19,4485.96,4696.79,4985.85,4600.23,4304.23,4525.43,4127.59,3756.37,3818.48,3449.96
Austria,143.9,146.02,148.57,150.97,148.95,145.98,143.04,140.08,137.28,136.32,135.55,134.71,134.49,134.06,132.88,132.27,132.52,132.67,133.95,134.6,134.68,134.36,134.83,134.25,134.21,136.06,135.99,135.48,134.63
Belarus,16.95,14.03,127.62,18.51,20.67,29.27,34.36,15.53,15.72,25.19,19.82,13.97,60.59,28.98,16.97,16.87,22.95,17.73,17.3,21.87,16.47,15.8,15.4,15.35,16.45,57.39,16.3,15.85,61.65
Belgium,10.8,14.93,18.33,23.11,26.47,27.01,254.04,37.5,42.95,44.33,47.9,52.39,58.62,62.11,65.14,69.52,73.93,78.63,82.73,87.18,92.5,168.14,100.17,100.99,101.83,102.7,102.08,101.51,100.98
Bulgaria,236.74,233.36,238.12,255.59,253.23,225.26,226.74,226.01,237.05,253.58,332.61,276.49,257.96,258.33,254.63,261.84,272.33,341.85,303.23,309.85,352.06,381.96,427.02,477.46,476.05,501.29,504.6,502.43,496.64
Canada,439.5,386.94,507.01,570.7,518.08,579,553.47,490.83,501.17,510.8,506.08,441.05,430.63,453.06,454.41,475.35,418.23,408.94,384.05,330.98,359.76,355.57,362.55,384.23,350.88,357.91,341.73,334.01,321.16
Croatia,48.09,48.32,55.7,67.34,50.83,47,52.22,51.83,70.55,42.06,104.45,55.94,52.49,81.39,61.9,67.4,75.4,100.96,93.72,98.38,104.06,125.63,147.73,122.37,121.14,130.81,127.44,169.87,122.05
Cyprus,0.02,0.06,0.02,0.14,0.37,0.14,0.24,0.35,1.18,0.01,2.53,0.85,0.02,0.11,0.21,0.07,0.18,1.7,0.06,0.1,0.39,0.33,0.37,0.13,0.14,0.05,4.21,0.13,0.26
Czechia,40.03,32.27,35.01,37.7,37.12,33.88,43.59,47.96,40.59,36.06,33.77,33.97,36.04,45.66,40.61,38.84,46.98,58.85,47.41,41.26,43.35,23.24,25.22,22.67,25.37,26.98,13.53,14.39,18.04
Denmark,27.56,27.36,27.57,27.76,27.95,28.11,28.26,28.4,28.54,28.63,28.73,28.81,28.88,28.93,29.41,29.73,30.04,30.32,30.61,30.88,31.75,32.62,34.33,35.04,35.99,40.99,40.7,37.95,41.27
Estonia,256.4,256.5,257,257.04,257.32,257.59,258.01,258.49,258.68,259.39,260.08,260.65,261.88,262.66,263.78,265.35,268.4,270.09,272.71,275.04,276.91,278.24,279.74,280.96,282.12,283.34,284.33,284.63,285.15
European Union,15237.14,15437.93,15321.78,15400.58,15808.55,15405.21,15284.51,15196.19,15406.13,15142.32,15539.25,15163.16,15127.41,15577.77,15179.62,15416.94,15221.92,15420.88,15078.88,15218.13,15103.2,15192.89,15473.37,14970.36,15109.95,15228.24,16310.21,15785.72,15460.22
Finland,2130.82,2128.25,2123.99,2122.84,2133.83,2133.69,2138.42,2145.99,2149.61,2149.32,2149.35,2152,2147.17,2142.51,2136.98,2132.21,2133.43,2127.62,2133.92,2117.1,2106.85,2097.19,2074.95,2059.4,2041.56,2021,2007.08,2017.36,2020.1
France,3271.36,3225.58,3255.57,3256.46,3247.51,3233.09,3201.92,3217.14,3212.23,3181.17,3233.48,3161.98,3145.96,3187.9,3093.88,3104.79,3091.26,3107.71,3125.18,3158.25,3178.32,3175.97,3159.81,3121.03,3132.13,3138.71,3147,3163.51,3138.95
Germany,783.7,847.41,829.73,803.56,790.22,778.86,772.76,763.41,756.57,751.1,746.6,794.62,844.76,899.19,948.05,1000.31,1025.7,1051.36,1079.87,1118.07,1156.56,1202.01,1250.65,1271.05,1292.91,1317.43,1341.45,1375.29,1417.07
