Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Greece,6.46,4.92,10.66,10.73,10.84,8.7,8.07,11.5,20.4,9.2,26.54,13.16,11.95,12.86,14.47,14.76,16.44,42.11,20.12,20.8,17.5,16.93,19.36,16.55,15.63,15.52,16.96,15.73,15.69
Hungary,39.7,34.59,40.61,52.23,58.93,51.86,51.01,55.33,57.47,52.37,63.94,60.79,62.31,62.66,59.19,66.99,53.98,62.93,53.7,62.11,48.78,59.5,75.12,51.08,56.24,55.28,44.74,50.03,41.8
Iceland,0.24,0.34,0.45,0.5,0.56,0.65,0.7,0.77,0.87,0.93,1.11,1.17,1.27,1.35,1.42,1.49,7.07,1.66,1.78,1.77,1.78,1.81,1.78,1.81,1.79,2.01,1.73,2.13,1.84
Ireland,143.25,164.32,129.38,142.33,151.63,190.4,183.23,201.07,191.06,183.71,202.23,236.96,260.32,310.78,288.43,298.22,296.09,299.94,326.04,353.89,453.89,406.33,395.23,428.49,425.53,426,400.42,462.97,404.55
Italy,924.59,986,989.43,1107.37,1055.78,928.8,747.6,784.97,835.94,695.76,735.15,684.84,637.26,695.2,659.55,658.12,643.74,881.23,681.95,641.46,429.18,457.15,540.49,334.55,359.72,327.37,432.38,521.85,473
Japan,218.69,216.55,214.71,214.5,212.57,208.84,207.36,205.23,201.65,200.31,199.25,198.39,197.67,193.89,192.21,189.77,187.21,186,186.36,183.69,181.79,181.62,182.84,183.19,185.53,184.95,185.5,189.13,190.12
Kazakhstan,5.48,8.76,5.63,5.16,18.24,86.75,28.31,290.25,51.2,86.93,53.88,78.43,61.42,143.4,79,53.58,96.46,91.13,15.88,9.54,20.17,10.1,7.57,1.4,14.07,32.96,3.75,89.52,79.21
Latvia,542.92,564.86,574.81,567.06,567.33,568.98,570.83,571.9,573.81,577.84,576.89,574.19,579,577.94,578.23,576.05,584.04,578.28,578.99,580.71,585.04,583.51,588.65,594.04,585.55,594.28,603.4,612.61,626.31
Liechtenstein,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.39,0.4,0.4,0.41,0.41,0.41,0.41,0.42,0.42,0.42,0.42,0.43,0.42,0.41
Lithuania,128.58,128.77,133.63,130.99,144.55,135.36,133.9,131.78,128.72,136.38,129.41,125.68,123.16,128.34,136.65,127.46,145.8,133.56,142.95,161.68,157.63,155.82,150.51,156.99,158.55,159.01,169.19,176.81,171.21
Luxembourg,21.32,21.32,21.32,21.32,21.32,21.32,21.32,21.32,21.32,21.32,21.01,20.69,20.37,20.06,19.74,19.42,19.11,18.79,18.08,17.36,16.7,16.01,15.32,14.58,13.81,13.04,12.24,11.52,10.8
Malta,0.83,0.86,0.84,0.77,0.79,0.75,0.76,0.75,0.74,0.71,0.69,0.61,0.54,0.54,0.53,0.53,0.52,0.52,0.51,0.5,0.45,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
Monaco,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Netherlands,6.83,12.38,17.93,23.48,29.02,34.57,40.12,45.67,51.21,56.76,62.31,67.85,73.4,78.94,82.51,86.19,90,93.93,97.99,103.51,105.2,107.51,110.44,106.05,102.09,98.58,95.52,97.44,99.66
New Zealand,215.43,209.6,211.61,220.89,235.29,238.25,246.89,254.65,250.01,237.74,241.58,236.72,230.89,227.03,222.84,226.52,226.44,245.62,202.14,199.82,195.55,190.65,187.76,177.03,154.97,146.49,130.47,110.34,99.2
Norway,252.04,259.32,263.95,266.83,270.25,273.39,276.6,281.89,284,287.85,291.07,294.06,298.33,301.3,301.25,304.47,309.47,309.01,316.12,319.28,323.74,323.4,324.33,324.06,322.49,322.83,330.23,330.83,329.75
Poland,523.68,507.26,597.91,522.86,527.3,520.05,501.48,466.46,456.26,452.72,411.84,404.74,380.44,394.19,352.62,343.22,339.08,338.51,337.08,342.35,349.59,346.75,387.67,377.9,554.98,570.26,1414.14,613.85,688.73
Portugal,576.7,577.04,503.91,481.58,480.91,517.49,479.04,453.09,522.99,463.24,492.89,474.98,476.11,597.77,463.68,563.06,420.93,378.43,351.24,376.21,397.93,376.07,400.22,413.55,357.34,366.94,395.04,568.11,331.84
Romania,1331.76,1382.81,1431.37,1477.03,1520,1560.31,1597.97,1632.89,1665.19,1694.85,1722.76,1746.15,1768.47,1786.42,1802.36,1815.82,1826.82,1835.42,1840.13,1842.97,1842.73,1843.27,1844.29,1842.88,1842.82,1843.15,1842.92,1843.32,1832.16
Russian Federation,10615.41,15618.09,15710.93,15743.65,15145.62,14788.9,16602.02,14831.1,18969.95,15190.91,16089.79,15685.68,16602.68,17917.82,15031.4,17412.46,19592.67,18992.36,19586.42,23211.29,12006.74,12360.7,12635.54,11947.54,13788.13,16588.86,14670.45,15615.28,20059.05
Slovakia,96.54,84.11,84.58,89.82,75.24,66.42,64.17,57.41,53.28,78.11,54.67,42.21,43.48,52.58,36.24,41.22,33.68,38.49,30.46,34.3,29.78,32.11,45.97,28.3,33.68,37.71,35.37,36.74,37.18
Slovenia,57.41,57.29,56.87,58.46,57.77,56.34,56.04,55.84,56.14,54.71,53.72,53.5,52.57,56.05,51.43,51.05,53.05,48.99,47.41,46.23,44.62,43.62,43.68,39.69,37.35,35.21,34.1,32.11,29.79
Spain,371.26,469.27,284.89,266.69,701.24,393.78,284.95,366.34,420.72,364.69,538.17,394.63,419.76,473.46,466.09,543.42,502.75,369.03,336.8,429.56,328.22,385.46,526.08,293.34,265.25,342.16,443.28,303.94,288.55
Sweden,1275.86,1261.62,1257.37,1263.2,1265.06,1274.16,1273.19,1275.33,1278.31,1289.51,1298.61,1300.59,1298.68,1303.54,1298.24,1314.4,1304.84,1298.5,1273.81,1240.82,1256.83,1202.38,1154.59,1160.41,1179.85,1210.03,1237.72,1237.8,1251.88
Switzerland,54.35,45.56,45.15,45.02,47.1,48.39,47.21,57.02,46.69,45.04,45.31,44.81,48.31,48.97,44.59,44.88,45.66,46.84,45.51,45.63,45.35,46.67,45.47,47.79,47.93,47.5,48.94,46.37,45.3
Turkey,50.21,29.98,46.79,60.25,147.74,34.92,63.87,32.85,35.09,34.02,116.07,39.74,48.83,42.96,35.99,27.13,51.49,73.88,156.91,47.3,42.26,47.1,77.05,84.06,45.43,49.34,74.77,73.8,117.11
Ukraine,193.06,191.04,200.17,220.87,242.56,257.75,278.35,257.39,278.66,284.54,277.96,295.08,296.11,293.37,292.7,300.13,306.67,367.62,327.1,325.3,196.32,182.3,194.43,167.03,181.46,150.4,127.17,138.57,170.17
United Kingdom of Great Britain and Northern Ireland,2450.52,2431.27,2407.43,2393.08,2377.94,2376.23,2362.56,2358.42,2348.53,2339.7,2284.73,2220.76,2163.06,2135.48,2054.25,2006.89,1954.21,1914.27,1852.34,1807.4,1776.4,1755.05,1755.52,1701.26,1693.08,1649.71,1639.91,1613.9,1597.49
United States of America,2974.11,3102.79,3012.83,3125.84,3629.17,3315.02,4074.23,3244.1,3291.69,4218.31,4971.17,4204.13,9119.74,7467.38,8708.06,7462.95,5989.64,10071.5,5623.94,6944.95,4906.8,5506.59,9072.06,4824.8,7007.42,11248.83,5485.14,10827.54,10879.52
