Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,18460.37,18834.5,16636.99,16685.66,16147.16,15860.45,16779.5,16808.29,15927.77,17645.62,18764.37,18449.11,18650.84,18092.32,18236.87,17624.96,18105.81,19106.24,18225.96,18701.56,17012.78,18350.06,14881.18,17171.67,18469.13,17562.26,16233.53,17387.9,15768.14
Austria,24.25,23.91,24.09,24.05,23.92,23.86,23.85,23.83,24,23.81,23.88,23.84,24.23,24.21,23.83,23.86,23.96,23.87,23.9,23.92,23.9,23.89,23.91,24,23.92,24.11,23.83,23.87,23.95
Belarus,7.92,3.66,142.83,8.34,10.8,21.15,27.02,4.18,4.76,15.86,9.17,3.68,59.26,19.58,4.8,4.08,11.5,5.41,5.23,10.42,5.39,4.98,5.18,5.37,6.84,56.21,4.67,4.75,12.47
Belgium,0.57,0.58,0.49,0.57,0.47,0.03,27.22,0.29,0.44,0.09,0,0.03,0.26,0.16,"NO,NA",0,0,0.04,"NO,NA","NO,NA","NO,NA",8.76,"NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA","NO,NA"
Bulgaria,2.42,1.19,12.2,42.26,42.11,1.28,5,1.81,16.21,19.29,134.74,46.93,15.15,11.88,2.65,3.36,8.62,101.05,12.65,5.28,15.19,16.67,30.35,7.72,2.15,12.77,14.75,10.63,3.38
Canada,855.94,772.56,977.95,1104.53,997.78,1132.37,1060.1,936.2,948.94,964.24,951.67,823.62,795.82,852.04,841.92,887.2,771.69,751.56,702.29,607.11,675.64,646.11,676.35,691.74,629.83,649.61,612.27,619.09,584.31
Croatia,1.23,3.18,15.15,34.39,11.51,7.54,16.53,17.63,45.11,5.91,96.91,19,6.39,39.55,2.92,2.74,6.06,31.76,9.58,5.1,1.76,18.63,38.88,1.93,0.32,13.96,8.92,69.23,1.3
Cyprus,0.05,0.16,0.05,0.41,1.06,0.41,0.69,0.99,3.35,0.02,7.2,2.42,0.07,0.31,0.6,0.2,0.51,4.85,0.17,0.29,1.13,0.94,1.05,0.36,0.41,0.14,12.01,0.38,0.75
Czechia,44.15,32.78,37.76,42.7,42.98,39.34,56.15,64.38,50.8,44.8,41.33,42.08,45.55,60.19,52.64,49.95,62.26,80.26,62.89,53.46,56.5,25.83,28.63,24.88,29.12,31.66,11.79,13.68,22.9
Denmark,256.27,256.7,257.77,258.84,259.91,260.98,262.04,263.11,264.19,265.22,266.28,267.33,268.39,269.44,271.15,271.88,273.28,274.64,276.03,277.41,277.57,281.48,284.18,289.26,291.06,286.19,291.75,295.98,301.27
Estonia,62.41,62.24,64.82,63.23,63.04,62.73,63.41,64.34,62.77,63.71,64.08,63.09,65.77,63.5,64,63.51,69.71,63.63,64.48,63.74,63.75,63.82,63.86,63.93,64.05,64.45,64.64,64.26,66.8
European Union,7149.49,6668.4,6547.71,6976.91,9401.39,8866.05,7919.15,7690.69,8021.55,6737.77,7636.02,6594.75,6143.18,7459.1,6146.45,6678.8,5870.59,7047.66,5516.89,5792.8,5767.33,5685.99,6514.32,5258.84,5195.44,5392.49,5722.62,7952.14,5550.24
Finland,1534.08,1516.5,1501.63,1484.21,1469.15,1452.86,1436.12,1420.19,1402.46,1376.13,1347.55,1321.04,1292.64,1263.33,1233.72,1206.24,1178.56,1150.21,1093.02,1035.79,977.75,920.84,890.07,860.44,830.22,799.25,769.03,768.97,769.44
France,1040.51,1079.84,1112.6,1095.4,3533.96,3764.93,3017.96,2545.85,2179.34,1901.9,1793.06,1565.61,1444.92,1442.19,1286.84,1280.28,1229.25,1213.63,1172.8,1197.03,1209.17,1204.26,1188.87,1133.53,1178.87,1192.57,1216.49,1256.61,1229.1
Germany,867.99,865.13,882.01,867.63,866.07,863.89,867.28,864,863.18,863.29,864.03,862.95,863.83,869.81,866.23,866.72,867.36,865.72,866.31,867.5,866.69,865.52,865.98,865.41,864.79,866.45,865.06,864.91,965.99
Greece,62.68,31.09,91.81,81.95,76.42,43.38,26.21,57.79,157.63,12,208.03,27.94,3.81,5.35,13.53,10.54,20.96,321.27,43.55,46.16,16.41,17.81,43.71,16,9.4,10.81,31.67,18.55,19.42
Hungary,22.71,22.09,20.66,18.61,18.66,19.24,20.29,20.14,22.76,12.84,25.73,18.73,20.04,18.25,13.1,23.78,7.39,19.87,12.06,18.08,9.08,23.28,35.53,11.84,17.31,20.01,9.08,18.97,9.57
Iceland,3719.69,3722.39,3721.77,3721.13,3720,3718.41,3718.84,3716.29,3712.54,3708.16,3702.25,3698.52,3693.34,3690.15,3686.61,3681.67,3678.72,3664.23,3656.04,3654.55,3652.86,3651.2,3649.39,3647.65,3645.79,3644.08,3642.24,3640.72,3596.37
Ireland,450.54,427.71,399.73,458.87,435.66,444.35,472.85,405.9,385.7,363.92,426.58,509.84,378.99,565.54,510.65,490.2,424.46,407.39,383.55,389.47,650.26,458.95,371.32,439.93,452.25,439.47,405.58,668.77,459.88
Italy,1181.48,559.13,617.74,1256.3,756.02,280.56,322.42,699.56,914.23,432.2,683.15,455.92,243.52,558.21,339.46,280.86,227.76,1351.29,446.36,516.52,309.28,498.01,1012.9,141.76,262.93,267.09,296.21,1347.26,170.52
Japan,99.33,96,92.96,115.44,107.13,95.7,118.49,124.79,96.08,89.09,91.48,96.24,105.29,85.12,94.26,90.23,81.34,80.58,103.31,87.64,81.08,82.22,77.19,78.45,97.13,80,73.87,95.47,74.41
Kazakhstan,5.75,10.75,6,5.25,19.5,91.75,39,375.75,54.75,92,57,83.25,65.5,152,99.25,57.5,101.5,123.75,18,10,22.25,10.5,9.5,1.93,13.75,33.33,3.48,83.58,105.75
Latvia,462.52,458.61,536.08,461.13,458.04,466.57,467.09,468.42,467.77,495.33,477.4,441.7,467.05,445.35,439.43,413.87,454.18,410.97,409.04,424.83,430.99,440.87,452.89,467.46,508.49,542.91,580.31,618.32,694.46
Liechtenstein,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Lithuania,3,2.75,6.06,3.81,3.81,3.81,3.81,3.81,2.71,3.77,3.71,2.92,5.24,4.11,3.95,0.99,12.1,0.87,1.61,3.96,1.4,2.39,1.08,0.89,2.88,1.29,0.69,0.31,0.61
Luxembourg,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Malta,"NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NE,NO","NE,NO","NO,NE","NO,NE","NO,NE"
Monaco,"NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE"
Netherlands,0.24,0.25,0.25,0.26,0.26,0.26,0.27,0.27,0.28,0.28,0.28,0.29,0.29,0.3,0.3,0.3,0.3,0.3,0.31,0.31,0.31,0.31,0.31,0.32,0.32,0.32,0.32,0.32,0.32
New Zealand,94.35,78.23,78.88,98.77,102.21,94.66,107.23,106.96,133.74,87.34,80.61,81.26,83.47,87.79,79.59,114.82,118.19,159.94,87.97,100.08,97.91,69.95,77.2,76.63,68.02,76.57,104.16,92.28,75.34
Norway,145.15,146.33,146.7,146.15,146.5,146.58,147.58,148.38,148.71,149.25,150.01,150.67,150.97,151.27,151.2,151.65,153.41,151.14,154.77,151.44,151.75,151.4,151.2,151.13,151.64,151.33,151.33,151.51,152.88
Poland,35.09,17.01,177.9,37.08,38.99,28.76,54.19,28.23,16.76,33.67,26.27,13.9,21.53,79.29,16.56,23.29,27.31,13.19,14.54,16.12,8.8,11.26,27.71,6.98,12.57,25.47,10.11,5.45,16.7
Portugal,299.91,400.49,125.12,109.65,169.7,372.24,190.81,73.35,446.35,161.32,333.68,262.64,289.03,932.2,266.58,838.69,174.87,66.06,35.59,159.14,266.07,150.94,271.26,336.26,45.43,139.46,328.17,1258.74,94.69
Romania,0.42,0.27,0.7,0.5,0.3,0.2,0.22,0.07,0.13,0.36,3.46,0.96,3.41,0.73,0.12,0.17,0.91,2.53,0.48,0.93,0.2,1.85,4.96,0.65,0.46,1.48,0.78,1.99,2.12
Russian Federation,21189.59,20112.17,20155.94,20145.66,19357.77,18740.36,21427.6,18702.36,24634.19,19015.89,20285.04,19727.84,21138.77,22879.45,18834.84,22324.48,25331.98,24554.83,25437.5,25513.26,22745.27,22729.08,22550.2,20900.81,22892.77,22816.2,22856.77,23742.92,30067.58
Slovakia,10.08,8.34,11.61,21.75,5.86,7.02,9.77,7.59,7.45,48.94,24.59,11.4,19.09,37.24,12.9,23.91,15.09,24.84,15.6,23.01,18.21,21.84,41.73,13.8,20.54,23.05,19.06,21.19,20.92
Slovenia,1.56,1.49,0.96,3.48,2.53,0.47,0.8,1.3,2.55,1.17,0.47,0.93,0.31,6.46,0.32,0.61,4.51,0.48,0.22,0.55,0.25,0.77,2.89,0.24,0.07,0.25,1.23,0.91,0.08
Spain,313.69,423.35,181.33,140.08,650.97,235.67,97.04,167.47,211.46,133.23,292.45,141.69,170.35,241.54,235.5,306.06,285.78,124.03,80.91,187.02,87.62,160.2,346.7,100.3,78.52,180.38,292.29,165.01,164.71
Sweden,472.22,471.88,471.86,471.21,471.8,472.67,471.76,481.01,470.18,475.39,475.86,476.46,478.17,476.98,472.93,472.59,477.53,465.87,472.96,455.28,452.21,446.19,435.67,438.35,468.04,442.5,446.26,442.96,494.63
Switzerland,29.57,16.41,15.71,15.45,18.13,19.55,17.73,32.42,17.02,14.48,14.79,14.2,19.34,20.49,13.9,13.98,14.72,16.23,13.51,13.49,13.04,14.89,13.01,12.96,13.18,13.15,15.97,13.9,38.26
Turkey,76.15,44.87,68.45,86.85,217.42,44.17,86.66,37.08,40.18,34.69,159.85,45.3,58.51,45.75,33.6,19.24,53.4,80.28,205.22,32.31,23.16,25.26,72.58,78.02,20.96,21.15,60.18,57.64,16.99
Ukraine,37.73,34.78,42.02,47.89,72.97,41.18,60.51,26.79,28.5,31.38,16.25,25.08,20.8,16.4,11.62,15.15,20.07,108.43,41.4,34.27,37.51,11.13,31.37,8.73,41.58,58.12,11.93,28.62,16.69
United Kingdom of Great Britain and Northern Ireland,18.01,20.35,15.94,17.15,16.81,31.6,23.97,27.98,22.35,17.8,33.89,33.7,33.73,61.61,35.17,42.82,36.47,47.6,36.83,40.43,41.39,39.22,68.37,31.1,49.85,24.95,41.08,33.39,35.26
United States of America,4402.28,4593.95,3918.69,3798.81,4539.16,3985.09,4655.38,3719.11,4294.81,5212.61,5721.2,4747.38,12589.59,9881.76,10805.4,8807.39,6156.09,12465.32,5998.78,8191.72,6536.8,6764.31,12675.05,6359.11,9547.24,16136.38,7302.66,15247.22,15245.64
