country,code,emission
Australia,AUS,497942.11
Austria,AUT,66244.58
Belarus,BLR,53568.91
Belgium,BEL,151968.67
Bulgaria,BGR,55621.14
Canada,CAN,613088.47
Croatia,HRV,13784.87
Cyprus,CYP,6905.09
Czechia,CZE,149128.03
Denmark,DNK,83718.47
Estonia,EST,18294.27
Finland,FIN,57594.82
France,FRA,524186.64
Germany,DEU,1090862.61
Greece,GRC,106460.57
Hungary,HUN,69559.53
Iceland,ISL,12810.9
Ireland,IRL,64410.8
Italy,ITA,505788.23
Japan,JPN,1297427.4
Kazakhstan,KAZ,246247.75
Latvia,LVA,174.9
Liechtenstein,LIE,238.14
Lithuania,LTU,17881.04
Luxembourg,LUX,9522.87
Malta,MLT,2664.56
Monaco,MCO,105.56
Netherlands,NLD,237368.8
New Zealand,NZL,39113.08
Norway,NOR,37668.07
Poland,POL,426837.39
Portugal,PRT,63870.38
Romania,ROU,167396.23
Russian Federation,RUS,1879003.23
Slovakia,SVK,43514.0
Slovenia,SVN,15553.15
Spain,ESP,294297.71
Sweden,SWE,38593.83
Switzerland,CHE,49330.59
Turkey,TUR,190378.83
Ukraine,UKR,507854.14
United Kingdom of Great Britain and Northern Ireland,GBR,749628.97
United States of America,USA,5957608.57
