country,code,emission
Australia,AUS,617215.61
Austria,AUT,81805.13
Belarus,BLR,58344.42
Belgium,BEL,144751.4
Bulgaria,BGR,51613.24
Canada,CAN,717041.01
Croatia,HRV,22114.17
Cyprus,CYP,9087.33
Czechia,CZE,140573.09
Denmark,DNK,73483.82
Estonia,EST,18455.57
Finland,FIN,45406.62
France,FRA,515183.83
Germany,DEU,979846.18
Greece,GRC,133163.59
Hungary,HUN,69719.13
Iceland,ISL,13301.88
Ireland,IRL,75489.85
Italy,ITA,551425.71
Japan,JPN,1287579.62
Kazakhstan,KAZ,276454.0
Latvia,LVA,7372.21
Liechtenstein,LIE,272.99
Lithuania,LTU,18304.55
Luxembourg,LUX,12385.4
Malta,MLT,2974.42
Monaco,MCO,98.64
Netherlands,NLD,219844.51
New Zealand,NZL,55945.74
Norway,NOR,30140.49
Poland,POL,353413.21
Portugal,PRT,86990.17
Romania,ROU,130480.85
Russian Federation,RUS,1455571.18
Slovakia,SVK,45555.73
Slovenia,SVN,13335.85
Spain,ESP,405333.22
Sweden,SWE,34495.1
Switzerland,CHE,53269.63
Turkey,TUR,262481.87
Ukraine,UKR,411779.35
United Kingdom of Great Britain and Northern Ireland,GBR,688454.88
United States of America,USA,6577089.62
