country,code,emission
Australia,AUS,538821.14
Austria,AUT,74070.77
Belarus,BLR,61819.04
Belgium,BEL,118225.17
Bulgaria,BGR,53239.29
Canada,CAN,702226.15
Croatia,HRV,19003.17
Cyprus,CYP,7913.6
Czechia,CZE,122490.97
Denmark,DNK,54901.41
Estonia,EST,15893.72
Finland,FIN,36216.82
France,FRA,437780.59
Germany,DEU,878734.01
Greece,GRC,91762.95
Hungary,HUN,55074.47
Iceland,ISL,13940.8
Ireland,IRL,63936.55
Italy,ITA,395821.99
Japan,JPN,1260428.71
Kazakhstan,KAZ,354319.34
Latvia,LVA,12928.05
Liechtenstein,LIE,208.85
Lithuania,LTU,14870.68
Luxembourg,LUX,9868.52
Malta,MLT,2258.93
Monaco,MCO,85.83
Netherlands,NLD,200523.04
New Zealand,NZL,56306.43
Norway,NOR,33123.29
Poland,POL,359690.4
Portugal,PRT,59045.97
Romania,ROU,94488.55
Russian Federation,RUS,1511857.37
Slovakia,SVK,35214.02
Slovenia,SVN,16741.62
Spain,ESP,299712.24
Sweden,SWE,11746.49
Switzerland,CHE,46340.84
Turkey,TUR,375329.53
Ukraine,UKR,312763.64
United Kingdom of Great Britain and Northern Ireland,GBR,502473.27
United States of America,USA,5900827.78
