country,code,emission
Australia,AUS,506334.19
Austria,AUT,64323.18
Belarus,BLR,61425.94
Belgium,BEL,152075.89
Bulgaria,BGR,48747.59
Canada,CAN,637059.93
Croatia,HRV,17081.77
Cyprus,CYP,7727.82
Czechia,CZE,141928.78
Denmark,DNK,83209.42
Estonia,EST,16051.01
Finland,FIN,57077.5
France,FRA,539819.76
Germany,DEU,1047010.7
Greece,GRC,121218.27
Hungary,HUN,71898.81
Iceland,ISL,13153.69
Ireland,IRL,69017.51
Italy,ITA,529035.16
Japan,JPN,1245244.76
Kazakhstan,KAZ,245540.59
Latvia,LVA,1666.88
Liechtenstein,LIE,259.34
Lithuania,LTU,16061.46
Luxembourg,LUX,8032.21
Malta,MLT,2769.26
Monaco,MCO,107.21
Netherlands,NLD,240432.44
New Zealand,NZL,42422.77
Norway,NOR,34987.69
Poland,POL,376461.85
Portugal,PRT,67038.31
Romania,ROU,145489.6
Russian Federation,RUS,1439618.15
Slovakia,SVK,41924.88
Slovenia,SVN,15458.29
Spain,ESP,310470.34
Sweden,SWE,34318.29
Switzerland,CHE,51031.76
Turkey,TUR,217619.18
Ukraine,UKR,429980.22
United Kingdom of Great Britain and Northern Ireland,GBR,743104.34
United States of America,USA,6260037.62
