country,code,emission
Australia,AUS,541653.06
Austria,AUT,63861.46
Belarus,BLR,96347.51
Belgium,BEL,146209.35
Bulgaria,BGR,58967.59
Canada,CAN,554711.82
Croatia,HRV,15228.57
Cyprus,CYP,6444.32
Czechia,CZE,162948.65
Denmark,DNK,82635.21
Estonia,EST,26162.13
Finland,FIN,46336.71
France,FRA,547055.03
Germany,DEU,1125372.1
Greece,GRC,102220.27
Hungary,HUN,74508.87
Iceland,ISL,12743.23
Ireland,IRL,60420.62
Italy,ITA,499307.74
Japan,JPN,1223353.13
Kazakhstan,KAZ,345662.91
Latvia,LVA,8614.73
Liechtenstein,LIE,238.09
Lithuania,LTU,25558.34
Luxembourg,LUX,12602.2
Malta,MLT,2498.49
Monaco,MCO,109.17
Netherlands,NLD,235665.21
New Zealand,NZL,35256.88
Norway,NOR,33650.23
Poland,POL,447435.67
Portugal,PRT,61192.71
Romania,ROU,171426.08
Russian Federation,RUS,2490316.79
Slovakia,SVK,47461.7
Slovenia,SVN,14478.93
Spain,ESP,272291.85
Sweden,SWE,37527.35
Switzerland,CHE,50777.41
Turkey,TUR,176150.47
Ukraine,UKR,740211.73
United Kingdom of Great Britain and Northern Ireland,GBR,785222.44
United States of America,USA,5637586.55
