country,code,emission
Australia,AUS,616191.52
Austria,AUT,75714.32
Belarus,BLR,52469.98
Belgium,BEL,126006.95
Bulgaria,BGR,44829.0
Canada,CAN,638859.45
Croatia,HRV,21360.83
Cyprus,CYP,9420.18
Czechia,CZE,130151.28
Denmark,DNK,67664.2
Estonia,EST,13720.8
Finland,FIN,33981.95
France,FRA,473139.59
Germany,DEU,887961.03
Greece,GRC,121603.3
Hungary,HUN,60510.93
Iceland,ISL,14295.28
Ireland,IRL,65841.77
Italy,ITA,467022.61
Japan,JPN,1181535.18
Kazakhstan,KAZ,271031.49
Latvia,LVA,9233.38
Liechtenstein,LIE,265.66
Lithuania,LTU,12782.38
Luxembourg,LUX,11155.83
Malta,MLT,2902.73
Monaco,MCO,90.99
Netherlands,NLD,206751.94
New Zealand,NZL,49274.98
Norway,NOR,22788.72
Poland,POL,357002.32
Portugal,PRT,59500.28
Romania,ROU,107968.87
Russian Federation,RUS,1324058.12
Slovakia,SVK,38736.65
Slovenia,SVN,13343.28
Spain,ESP,338399.71
Sweden,SWE,16686.56
Switzerland,CHE,50188.84
Turkey,TUR,322824.19
Ukraine,UKR,365712.75
United Kingdom of Great Britain and Northern Ireland,GBR,591506.25
United States of America,USA,5992914.6
