country,code,emission
Australia,AUS,540628.0
Austria,AUT,75575.74
Belarus,BLR,59508.57
Belgium,BEL,119793.69
Bulgaria,BGR,47764.77
Canada,CAN,695629.59
Croatia,HRV,18403.46
Cyprus,CYP,7476.14
Czechia,CZE,122196.08
Denmark,DNK,58479.9
Estonia,EST,18640.57
Finland,FIN,43814.86
France,FRA,452186.14
Germany,DEU,914157.78
Greece,GRC,101122.94
Hungary,HUN,53071.18
Iceland,ISL,13888.21
Ireland,IRL,62060.97
Italy,ITA,407098.03
Japan,JPN,1341785.87
Kazakhstan,KAZ,314517.88
Latvia,LVA,10515.46
Liechtenstein,LIE,248.38
Lithuania,LTU,10801.81
Luxembourg,LUX,10675.2
Malta,MLT,2897.34
Monaco,MCO,90.26
Netherlands,NLD,200184.04
New Zealand,NZL,58688.94
Norway,NOR,28690.37
Poland,POL,357969.88
Portugal,PRT,55596.92
Romania,ROU,94683.2
Russian Federation,RUS,1478724.36
Slovakia,SVK,34759.29
Slovenia,SVN,10980.73
Spain,ESP,290421.02
Sweden,SWE,13100.37
Switzerland,CHE,51071.25
Turkey,TUR,362834.19
Ukraine,UKR,402599.65
United Kingdom of Great Britain and Northern Ireland,GBR,560867.97
United States of America,USA,5992026.49
