country,code,emission
Australia,AUS,537446.39
Austria,AUT,73797.67
Belarus,BLR,69361.36
Belgium,BEL,117507.87
Bulgaria,BGR,49354.98
Canada,CAN,716488.59
Croatia,HRV,18698.57
Cyprus,CYP,8412.39
Czechia,CZE,133243.75
Denmark,DNK,56289.23
Estonia,EST,17983.96
Finland,FIN,46091.24
France,FRA,426828.06
Germany,DEU,831436.95
Greece,GRC,89243.77
Hungary,HUN,58559.63
Iceland,ISL,13866.71
Ireland,IRL,65232.23
Italy,ITA,391263.13
Japan,JPN,1180952.64
Kazakhstan,KAZ,401885.9
Latvia,LVA,13162.8
Liechtenstein,LIE,203.0
Lithuania,LTU,16400.11
Luxembourg,LUX,10333.88
Malta,MLT,2190.45
Monaco,MCO,86.91
Netherlands,NLD,192671.29
New Zealand,NZL,55468.22
Norway,NOR,28354.94
Poland,POL,376405.33
Portugal,PRT,60992.88
Romania,ROU,91656.49
Russian Federation,RUS,1629549.85
Slovakia,SVK,37677.97
Slovenia,SVN,17745.28
Spain,ESP,296158.86
Sweden,SWE,9785.28
Switzerland,CHE,45041.48
Turkey,TUR,426371.9
Ukraine,UKR,341888.57
United Kingdom of Great Britain and Northern Ireland,GBR,455963.87
United States of America,USA,5903153.26
