country,code,emission
Australia,AUS,586675.69
Austria,AUT,81987.78
Belarus,BLR,59216.74
Belgium,BEL,147757.42
Bulgaria,BGR,52609.31
Canada,CAN,724247.32
Croatia,HRV,21878.36
Cyprus,CYP,8951.76
Czechia,CZE,143123.43
Denmark,DNK,77969.29
Estonia,EST,15716.84
Finland,FIN,58336.4
France,FRA,514585.56
Germany,DEU,1007867.77
Greece,GRC,129521.78
Hungary,HUN,72368.91
Iceland,ISL,13452.41
Ireland,IRL,73265.78
Italy,ITA,551325.69
Japan,JPN,1275280.51
Kazakhstan,KAZ,272057.79
Latvia,LVA,6672.9
Liechtenstein,LIE,272.41
Lithuania,LTU,16601.73
Luxembourg,LUX,12090.03
Malta,MLT,3141.34
Monaco,MCO,100.08
Netherlands,NLD,225700.32
New Zealand,NZL,53068.81
Norway,NOR,28234.83
Poland,POL,351908.11
Portugal,PRT,76131.16
Romania,ROU,132706.15
Russian Federation,RUS,1431488.47
Slovakia,SVK,42035.83
Slovenia,SVN,13074.41
Spain,ESP,390135.96
Sweden,SWE,37584.22
Switzerland,CHE,51674.83
Turkey,TUR,241023.32
Ukraine,UKR,409605.22
United Kingdom of Great Britain and Northern Ireland,GBR,696693.03
United States of America,USA,6632491.61
