country,code,emission
Australia,AUS,513392.85
Austria,AUT,64186.68
Belarus,BLR,61158.6
Belgium,BEL,150068.4
Bulgaria,BGR,54127.8
Canada,CAN,583387.17
Croatia,HRV,13741.31
Cyprus,CYP,6982.07
Czechia,CZE,150453.99
Denmark,DNK,86591.42
Estonia,EST,20405.56
Finland,FIN,60652.79
France,FRA,518771.49
Germany,DEU,1094322.98
Greece,GRC,104409.65
Hungary,HUN,70969.09
Iceland,ISL,12709.22
Ireland,IRL,62143.01
Italy,ITA,486429.15
Japan,JPN,1277314.12
Kazakhstan,KAZ,262415.53
Latvia,LVA,419.06
Liechtenstein,LIE,247.99
Lithuania,LTU,17589.13
Luxembourg,LUX,12019.64
Malta,MLT,2868.47
Monaco,MCO,108.85
Netherlands,NLD,237387.18
New Zealand,NZL,36342.14
Norway,NOR,36394.37
Poland,POL,435200.11
Portugal,PRT,58748.35
Romania,ROU,159816.02
Russian Federation,RUS,2005480.94
Slovakia,SVK,42421.71
Slovenia,SVN,14932.88
Spain,ESP,280189.75
Sweden,SWE,42132.3
Switzerland,CHE,49071.29
Turkey,TUR,176858.65
Ukraine,UKR,545711.23
United Kingdom of Great Britain and Northern Ireland,GBR,756172.76
United States of America,USA,5841283.84
