country,code,emission
Australia,AUS,582724.35
Austria,AUT,86710.98
Belarus,BLR,56078.37
Belgium,BEL,146811.36
Bulgaria,BGR,54322.32
Canada,CAN,700255.35
Croatia,HRV,22175.61
Cyprus,CYP,8738.86
Czechia,CZE,142515.92
Denmark,DNK,84408.06
Estonia,EST,14059.36
Finland,FIN,63196.83
France,FRA,519705.18
Germany,DEU,1026955.34
Greece,GRC,128796.43
Hungary,HUN,72287.89
Iceland,ISL,13355.95
Ireland,IRL,74997.08
Italy,ITA,551697.21
Japan,JPN,1279130.01
Kazakhstan,KAZ,270098.31
Latvia,LVA,3018.97
Liechtenstein,LIE,269.53
Lithuania,LTU,15229.41
Luxembourg,LUX,10720.7
Malta,MLT,3251.98
Monaco,MCO,104.5
Netherlands,NLD,224357.93
New Zealand,NZL,53262.12
Norway,NOR,27224.5
Poland,POL,357591.47
Portugal,PRT,82714.39
Romania,ROU,133657.97
Russian Federation,RUS,1375791.74
Slovakia,SVK,41229.22
Slovenia,SVN,12936.91
Spain,ESP,374278.06
Sweden,SWE,31954.38
Switzerland,CHE,50754.34
Turkey,TUR,230725.55
Ukraine,UKR,394606.73
United Kingdom of Great Britain and Northern Ireland,GBR,700908.93
United States of America,USA,6552885.21
