country,code,emission
Australia,AUS,617651.01
Austria,AUT,66504.17
Belarus,BLR,117201.41
Belgium,BEL,143236.76
Bulgaria,BGR,82470.44
Canada,CAN,543595.16
Croatia,HRV,25454.4
Cyprus,CYP,5471.47
Czechia,CZE,191515.91
Denmark,DNK,77456.85
Estonia,EST,38650.99
Finland,FIN,56299.6
France,FRA,529805.82
Germany,DEU,1220646.04
Greece,GRC,101201.0
Hungary,HUN,91333.81
Iceland,ISL,13076.41
Ireland,IRL,60388.94
Italy,ITA,512495.82
Japan,JPN,1207821.34
Kazakhstan,KAZ,386251.88
Latvia,LVA,16079.86
Liechtenstein,LIE,235.34
Lithuania,LTU,42438.19
Luxembourg,LUX,12842.31
Malta,MLT,2574.17
Monaco,MCO,102.74
Netherlands,NLD,227232.61
New Zealand,NZL,35293.89
Norway,NOR,41367.37
Poland,POL,442646.59
Portugal,PRT,59707.07
Romania,ROU,229076.81
Russian Federation,RUS,3109544.28
Slovakia,SVK,63841.08
Slovenia,SVN,14249.31
Spain,ESP,253435.42
Sweden,SWE,36697.11
Switzerland,CHE,51844.22
Turkey,TUR,163590.81
Ukraine,UKR,882880.8
United Kingdom of Great Britain and Northern Ireland,GBR,797944.51
United States of America,USA,5583629.72
