country,code,emission
Australia,AUS,545376.96
Austria,AUT,63870.54
Belarus,BLR,47037.06
Belgium,BEL,148008.0
Bulgaria,BGR,41258.07
Canada,CAN,698890.37
Croatia,HRV,18758.46
Cyprus,CYP,8422.54
Czechia,CZE,141415.19
Denmark,DNK,77013.87
Estonia,EST,14041.71
Finland,FIN,51247.53
France,FRA,539836.04
Germany,DEU,1008120.1
Greece,GRC,124551.58
Hungary,HUN,72560.08
Iceland,ISL,13409.18
Ireland,IRL,73778.95
Italy,ITA,531570.48
Japan,JPN,1287016.25
Kazakhstan,KAZ,279744.38
Latvia,LVA,657.99
Liechtenstein,LIE,271.94
Lithuania,LTU,10056.41
Luxembourg,LUX,8951.57
Malta,MLT,2793.61
Monaco,MCO,109.04
Netherlands,NLD,225298.75
New Zealand,NZL,45989.57
Norway,NOR,30573.27
Poland,POL,358883.51
Portugal,PRT,75845.95
Romania,ROU,122242.45
Russian Federation,RUS,1420148.64
Slovakia,SVK,39431.01
Slovenia,SVN,14976.57
Spain,ESP,349186.49
Sweden,SWE,28382.47
Switzerland,CHE,58938.92
Turkey,TUR,237207.15
Ukraine,UKR,381714.64
United Kingdom of Great Britain and Northern Ireland,GBR,712394.25
United States of America,USA,6463810.39
