country,code,emission
Australia,AUS,523798.09
Austria,AUT,63813.98
Belarus,BLR,87833.55
Belgium,BEL,145194.99
Bulgaria,BGR,57795.53
Canada,CAN,563910.48
Croatia,HRV,14928.9
Cyprus,CYP,6711.42
Czechia,CZE,155685.36
Denmark,DNK,83596.43
Estonia,EST,19202.18
Finland,FIN,48453.57
France,FRA,521700.79
Germany,DEU,1116533.3
Greece,GRC,101361.75
Hungary,HUN,72931.87
Iceland,ISL,12823.86
Ireland,IRL,60728.08
Italy,ITA,505096.59
Japan,JPN,1212727.53
Kazakhstan,KAZ,308532.91
Latvia,LVA,5273.56
Liechtenstein,LIE,241.89
Lithuania,LTU,18525.32
Luxembourg,LUX,12644.9
Malta,MLT,3083.77
Monaco,MCO,108.12
Netherlands,NLD,236491.06
New Zealand,NZL,34729.26
Norway,NOR,36648.88
Poland,POL,441914.21
Portugal,PRT,58605.12
Romania,ROU,160956.83
Russian Federation,RUS,2357273.57
Slovakia,SVK,44280.15
Slovenia,SVN,14705.28
Spain,ESP,261528.66
Sweden,SWE,41916.22
Switzerland,CHE,48960.18
Turkey,TUR,184268.4
Ukraine,UKR,657076.05
United Kingdom of Great Britain and Northern Ireland,GBR,765309.34
United States of America,USA,5768227.16
