country,code,emission
Australia,AUS,634603.3
Austria,AUT,81939.91
Belarus,BLR,57924.55
Belgium,BEL,138513.32
Bulgaria,BGR,53630.24
Canada,CAN,717804.03
Croatia,HRV,24934.19
Cyprus,CYP,9704.11
Czechia,CZE,148181.68
Denmark,DNK,74366.44
Estonia,EST,20354.68
Finland,FIN,56988.94
France,FRA,490224.41
Germany,DEU,957397.6
Greece,GRC,133707.34
Hungary,HUN,68689.53
Iceland,ISL,14257.28
Ireland,IRL,73118.61
Italy,ITA,556370.28
Japan,JPN,1312004.72
Kazakhstan,KAZ,289054.6
Latvia,LVA,7893.2
Liechtenstein,LIE,261.2
Lithuania,LTU,19475.43
Luxembourg,LUX,11815.43
Malta,MLT,3133.01
Monaco,MCO,92.57
Netherlands,NLD,213121.99
New Zealand,NZL,57523.65
Norway,NOR,29988.38
Poland,POL,381407.22
Portugal,PRT,66245.65
Romania,ROU,134993.24
Russian Federation,RUS,1507385.92
Slovakia,SVK,41261.91
Slovenia,SVN,13383.96
Spain,ESP,407848.63
Sweden,SWE,24661.75
Switzerland,CHE,53153.59
Turkey,TUR,317067.41
Ukraine,UKR,425290.96
United Kingdom of Great Britain and Northern Ireland,GBR,668754.67
United States of America,USA,6638989.88
