country,code,emission
Australia,AUS,600167.62
Austria,AUT,65467.12
Belarus,BLR,105310.7
Belgium,BEL,146429.49
Bulgaria,BGR,64028.44
Canada,CAN,529595.35
Croatia,HRV,17361.95
Cyprus,CYP,5995.62
Czechia,CZE,170075.59
Denmark,DNK,87382.5
Estonia,EST,35654.01
Finland,FIN,41673.38
France,FRA,556569.92
Germany,DEU,1176277.47
Greece,GRC,101058.7
Hungary,HUN,85231.96
Iceland,ISL,12849.7
Ireland,IRL,60849.51
Italy,ITA,498301.58
Japan,JPN,1213745.94
Kazakhstan,KAZ,373937.68
Latvia,LVA,13757.75
Liechtenstein,LIE,226.78
Lithuania,LTU,44376.84
Luxembourg,LUX,13188.57
Malta,MLT,2429.89
Monaco,MCO,103.56
Netherlands,NLD,234960.04
New Zealand,NZL,34164.32
Norway,NOR,36272.73
Poland,POL,437884.02
Portugal,PRT,61574.1
Romania,ROU,185607.79
Russian Federation,RUS,2983732.2
Slovakia,SVK,53699.47
Slovenia,SVN,14360.83
Spain,ESP,261835.24
Sweden,SWE,37829.5
Switzerland,CHE,49778.4
Turkey,TUR,170038.28
Ukraine,UKR,792241.55
United Kingdom of Great Britain and Northern Ireland,GBR,806803.46
United States of America,USA,5515006.29
