country,code,emission
Australia,AUS,506901.91
Austria,AUT,72056.17
Belarus,BLR,56089.2
Belgium,BEL,155700.37
Bulgaria,BGR,56229.57
Canada,CAN,626626.57
Croatia,HRV,14668.8
Cyprus,CYP,7245.89
Czechia,CZE,151793.43
Denmark,DNK,96384.8
Estonia,EST,18909.61
Finland,FIN,56256.32
France,FRA,535479.64
Germany,DEU,1108763.19
Greece,GRC,110183.77
Hungary,HUN,75491.82
Iceland,ISL,12858.57
Ireland,IRL,66065.58
Italy,ITA,498350.36
Japan,JPN,1305264.63
Kazakhstan,KAZ,236618.97
Latvia,LVA,55.64
Liechtenstein,LIE,232.04
Lithuania,LTU,24380.48
Luxembourg,LUX,9540.21
Malta,MLT,2786.97
Monaco,MCO,109.89
Netherlands,NLD,248131.1
New Zealand,NZL,42082.59
Norway,NOR,37822.94
Poland,POL,422764.26
Portugal,PRT,58114.47
Romania,ROU,170761.95
Russian Federation,RUS,1761830.12
Slovakia,SVK,43459.78
Slovenia,SVN,15418.79
Spain,ESP,286028.3
Sweden,SWE,40156.24
Switzerland,CHE,47244.95
Turkey,TUR,209694.01
Ukraine,UKR,465822.64
United Kingdom of Great Britain and Northern Ireland,GBR,770782.35
United States of America,USA,6135196.24
