country,code,emission
Australia,AUS,623356.95
Austria,AUT,82590.02
Belarus,BLR,62083.55
Belgium,BEL,138677.69
Bulgaria,BGR,53896.37
Canada,CAN,692864.93
Croatia,HRV,23668.7
Cyprus,CYP,9677.21
Czechia,CZE,140092.99
Denmark,DNK,66247.08
Estonia,EST,17843.68
Finland,FIN,50170.72
France,FRA,482184.43
Germany,DEU,955803.6
Greece,GRC,128890.71
Hungary,HUN,65021.21
Iceland,ISL,14664.15
Ireland,IRL,72075.95
Italy,ITA,525694.2
Japan,JPN,1250287.39
Kazakhstan,KAZ,283458.35
Latvia,LVA,7009.41
Liechtenstein,LIE,283.35
Lithuania,LTU,17899.15
Luxembourg,LUX,11684.88
Malta,MLT,3081.05
Monaco,MCO,93.3
Netherlands,NLD,212280.36
New Zealand,NZL,50469.79
Norway,NOR,27812.34
Poland,POL,375604.89
Portugal,PRT,62415.94
Romania,ROU,129828.91
Russian Federation,RUS,1516169.97
Slovakia,SVK,42787.94
Slovenia,SVN,15267.29
Spain,ESP,375481.88
Sweden,SWE,21350.85
Switzerland,CHE,52459.98
Turkey,TUR,318434.61
Ukraine,UKR,429598.57
United Kingdom of Great Britain and Northern Ireland,GBR,647627.04
United States of America,USA,6472610.34
