country,code,emission
Australia,AUS,529486.52
Austria,AUT,77171.5
Belarus,BLR,78036.34
Belgium,BEL,117048.77
Bulgaria,BGR,53286.09
Canada,CAN,697424.49
Croatia,HRV,20542.48
Cyprus,CYP,8555.18
Czechia,CZE,126743.71
Denmark,DNK,54164.74
Estonia,EST,19088.86
Finland,FIN,38154.24
France,FRA,444278.82
Germany,DEU,867667.61
Greece,GRC,92376.88
Hungary,HUN,58607.31
Iceland,ISL,13888.66
Ireland,IRL,66343.05
Italy,ITA,409964.22
Japan,JPN,1230699.6
Kazakhstan,KAZ,382651.9
Latvia,LVA,9927.1
Liechtenstein,LIE,204.54
Lithuania,LTU,16883.2
Luxembourg,LUX,9833.28
Malta,MLT,2160.29
Monaco,MCO,85.52
Netherlands,NLD,197924.39
New Zealand,NZL,56930.75
Norway,NOR,29365.45
Poland,POL,377808.91
Portugal,PRT,80280.33
Romania,ROU,95195.44
Russian Federation,RUS,1564095.33
Slovakia,SVK,36890.91
Slovenia,SVN,17191.66
Spain,ESP,301362.04
Sweden,SWE,9647.15
Switzerland,CHE,46550.65
Turkey,TUR,423870.49
Ukraine,UKR,312529.84
United Kingdom of Great Britain and Northern Ireland,GBR,465471.9
United States of America,USA,5724290.81
