country,code,emission
Australia,AUS,512169.15
Austria,AUT,63114.93
Belarus,BLR,58886.39
Belgium,BEL,147453.34
Bulgaria,BGR,53373.7
Canada,CAN,636971.81
Croatia,HRV,16426.18
Cyprus,CYP,7356.39
Czechia,CZE,148179.27
Denmark,DNK,87226.88
Estonia,EST,18274.75
Finland,FIN,59012.07
France,FRA,528089.93
Germany,DEU,1072584.6
Greece,GRC,115432.78
Hungary,HUN,73594.14
Iceland,ISL,13015.4
Ireland,IRL,66731.11
Italy,ITA,514373.25
Japan,JPN,1295202.0
Kazakhstan,KAZ,239063.66
Latvia,LVA,1242.91
Liechtenstein,LIE,256.23
Lithuania,LTU,22677.95
Luxembourg,LUX,8796.1
Malta,MLT,2802.41
Monaco,MCO,108.0
Netherlands,NLD,239877.41
New Zealand,NZL,44584.4
Norway,NOR,37965.27
Poland,POL,412848.08
Portugal,PRT,60417.38
Romania,ROU,164919.73
Russian Federation,RUS,1563674.25
Slovakia,SVK,43548.97
Slovenia,SVN,15809.61
Spain,ESP,300976.04
Sweden,SWE,34462.33
Switzerland,CHE,48377.63
Turkey,TUR,216934.99
Ukraine,UKR,453665.65
United Kingdom of Great Britain and Northern Ireland,GBR,745039.3
United States of America,USA,6213486.75
