country,code,emission
Australia,AUS,567392.57
Austria,AUT,71680.04
Belarus,BLR,50121.23
Belgium,BEL,146502.84
Bulgaria,BGR,49402.59
Canada,CAN,689952.39
Croatia,HRV,19885.91
Cyprus,CYP,8357.34
Czechia,CZE,137820.57
Denmark,DNK,79553.62
Estonia,EST,14066.9
Finland,FIN,56065.66
France,FRA,517809.65
Germany,DEU,1031138.57
Greece,GRC,124790.1
Hungary,HUN,71809.41
Iceland,ISL,13408.98
Ireland,IRL,74419.39
Italy,ITA,524540.23
Japan,JPN,1283454.36
Kazakhstan,KAZ,250933.82
Latvia,LVA,2455.22
Liechtenstein,LIE,255.18
Lithuania,LTU,14438.14
Luxembourg,LUX,10235.63
Malta,MLT,2971.19
Monaco,MCO,107.21
Netherlands,NLD,223633.2
New Zealand,NZL,52158.79
Norway,NOR,28165.75
Poland,POL,346735.17
Portugal,PRT,77435.34
Romania,ROU,129146.75
Russian Federation,RUS,1359445.87
Slovakia,SVK,40527.27
Slovenia,SVN,14914.23
Spain,ESP,365756.62
Sweden,SWE,29122.89
Switzerland,CHE,50596.59
Turkey,TUR,213544.96
Ukraine,UKR,391589.03
United Kingdom of Great Britain and Northern Ireland,GBR,694099.93
United States of America,USA,6425179.21
