country,code,emission
Australia,AUS,523390.83
Austria,AUT,60437.86
Belarus,BLR,48256.66
Belgium,BEL,146584.75
Bulgaria,BGR,42668.94
Canada,CAN,662079.77
Croatia,HRV,17521.1
Cyprus,CYP,7894.7
Czechia,CZE,132132.56
Denmark,DNK,81054.78
Estonia,EST,15306.51
Finland,FIN,54180.01
France,FRA,528808.66
Germany,DEU,1012088.51
Greece,GRC,120594.96
Hungary,HUN,74621.33
Iceland,ISL,13380.61
Ireland,IRL,70232.51
Italy,ITA,525088.08
Japan,JPN,1268630.23
Kazakhstan,KAZ,232490.27
Latvia,LVA,4542.94
Liechtenstein,LIE,255.19
Lithuania,LTU,13873.7
Luxembourg,LUX,8404.01
Malta,MLT,2855.73
Monaco,MCO,108.17
Netherlands,NLD,227021.29
New Zealand,NZL,42748.62
Norway,NOR,33486.71
Poland,POL,368576.21
Portugal,PRT,73833.27
Romania,ROU,127054.44
Russian Federation,RUS,1446722.4
Slovakia,SVK,41334.49
Slovenia,SVN,14810.63
Spain,ESP,334849.09
Sweden,SWE,31895.44
Switzerland,CHE,50525.5
Turkey,TUR,213620.32
Ukraine,UKR,396450.6
United Kingdom of Great Britain and Northern Ireland,GBR,713145.75
United States of America,USA,6314506.29
