country,code,emission
Australia,AUS,575947.69
Austria,AUT,64917.44
Belarus,BLR,48168.78
Belgium,BEL,146468.25
Bulgaria,BGR,52468.41
Canada,CAN,671941.15
Croatia,HRV,19064.67
Cyprus,CYP,8214.28
Czechia,CZE,141165.1
Denmark,DNK,79033.38
Estonia,EST,14149.65
Finland,FIN,54701.48
France,FRA,532792.09
Germany,DEU,1025013.72
Greece,GRC,125134.61
Hungary,HUN,72902.16
Iceland,ISL,13302.05
Ireland,IRL,76179.52
Italy,ITA,522730.73
Japan,JPN,1261070.26
Kazakhstan,KAZ,236214.68
Latvia,LVA,772.84
Liechtenstein,LIE,247.96
Lithuania,LTU,13060.6
Luxembourg,LUX,9457.1
Malta,MLT,2920.17
Monaco,MCO,106.9
Netherlands,NLD,225788.92
New Zealand,NZL,49160.51
Norway,NOR,29937.11
Poland,POL,366097.45
Portugal,PRT,72499.25
Romania,ROU,124377.23
Russian Federation,RUS,1405869.31
Slovakia,SVK,42394.75
Slovenia,SVN,14854.12
Spain,ESP,345926.95
Sweden,SWE,28003.66
Switzerland,CHE,54055.4
Turkey,TUR,215596.3
Ukraine,UKR,404681.89
United Kingdom of Great Britain and Northern Ireland,GBR,714521.28
United States of America,USA,6389704.07
