country,code,emission
Australia,AUS,526148.36
Austria,AUT,75196.41
Belarus,BLR,69576.58
Belgium,BEL,117213.35
Bulgaria,BGR,50702.97
Canada,CAN,687668.62
Croatia,HRV,19095.63
Cyprus,CYP,8744.32
Czechia,CZE,125450.67
Denmark,DNK,57965.18
Estonia,EST,17201.14
Finland,FIN,41286.18
France,FRA,436879.5
Germany,DEU,881479.57
Greece,GRC,88366.33
Hungary,HUN,56729.19
Iceland,ISL,13865.02
Ireland,IRL,64874.36
Italy,ITA,395857.23
Japan,JPN,1248565.94
Kazakhstan,KAZ,358090.15
Latvia,LVA,11065.84
Liechtenstein,LIE,197.2
Lithuania,LTU,16163.52
Luxembourg,LUX,9541.33
Malta,MLT,1947.92
Monaco,MCO,86.53
Netherlands,NLD,199934.92
New Zealand,NZL,55089.01
Norway,NOR,31658.43
Poland,POL,369425.88
Portugal,PRT,61092.63
Romania,ROU,91182.74
Russian Federation,RUS,1496958.01
Slovakia,SVK,35625.68
Slovenia,SVN,17750.33
Spain,ESP,288984.21
Sweden,SWE,8497.46
Switzerland,CHE,46646.31
Turkey,TUR,401803.27
Ukraine,UKR,335671.78
United Kingdom of Great Britain and Northern Ireland,GBR,476819.39
United States of America,USA,5735133.84
