country,code,emission
Australia,AUS,539739.53
Austria,AUT,71743.12
Belarus,BLR,63692.38
Belgium,BEL,114076.77
Bulgaria,BGR,49506.46
Canada,CAN,696633.14
Croatia,HRV,17611.01
Cyprus,CYP,7855.59
Czechia,CZE,120187.28
Denmark,DNK,53944.81
Estonia,EST,19498.76
Finland,FIN,37357.49
France,FRA,428656.17
Germany,DEU,874325.02
Greece,GRC,99151.11
Hungary,HUN,52243.5
Iceland,ISL,13892.62
Ireland,IRL,61272.03
Italy,ITA,385404.56
Japan,JPN,1294005.77
Kazakhstan,KAZ,342777.88
Latvia,LVA,14160.22
Liechtenstein,LIE,216.24
Lithuania,LTU,11511.51
Luxembourg,LUX,10304.55
Malta,MLT,2936.64
Monaco,MCO,84.79
Netherlands,NLD,192344.94
New Zealand,NZL,57122.65
Norway,NOR,31809.54
Poland,POL,353915.03
Portugal,PRT,53910.27
Romania,ROU,93878.21
Russian Federation,RUS,1424882.68
Slovakia,SVK,34672.54
Slovenia,SVN,16611.92
Spain,ESP,290516.93
Sweden,SWE,12827.01
Switzerland,CHE,48601.89
Turkey,TUR,380860.38
Ukraine,UKR,358704.3
United Kingdom of Great Britain and Northern Ireland,GBR,520618.27
United States of America,USA,6106006.37
