country,code,emission
Australia,AUS,614851.49
Austria,AUT,84864.13
Belarus,BLR,59025.51
Belgium,BEL,141906.32
Bulgaria,BGR,50755.21
Canada,CAN,698870.13
Croatia,HRV,22711.15
Cyprus,CYP,9218.65
Czechia,CZE,144078.76
Denmark,DNK,81389.05
Estonia,EST,16662.58
Finland,FIN,50669.8
France,FRA,501034.64
Germany,DEU,983705.58
Greece,GRC,129239.12
Hungary,HUN,70696.5
Iceland,ISL,13951.33
Ireland,IRL,74657.48
Italy,ITA,540569.87
Japan,JPN,1271376.13
Kazakhstan,KAZ,289925.92
Latvia,LVA,7071.39
Liechtenstein,LIE,281.21
Lithuania,LTU,19183.43
Luxembourg,LUX,12308.96
Malta,MLT,3034.72
Monaco,MCO,92.67
Netherlands,NLD,214689.83
New Zealand,NZL,58151.5
Norway,NOR,28094.59
Poland,POL,375354.98
Portugal,PRT,72330.9
Romania,ROU,131661.66
Russian Federation,RUS,1516213.63
Slovakia,SVK,42594.43
Slovenia,SVN,13516.88
Spain,ESP,396217.32
Sweden,SWE,23959.01
Switzerland,CHE,53688.69
Turkey,TUR,283630.83
Ukraine,UKR,425505.38
United Kingdom of Great Britain and Northern Ireland,GBR,680698.1
United States of America,USA,6498188.48
