country,code,emission
Australia,AUS,555333.35
Austria,AUT,74181.27
Belarus,BLR,61530.55
Belgium,BEL,120288.66
Bulgaria,BGR,51743.63
Canada,CAN,682044.68
Croatia,HRV,20609.98
Cyprus,CYP,8210.1
Czechia,CZE,126769.01
Denmark,DNK,55521.11
Estonia,EST,16330.69
Finland,FIN,36969.32
France,FRA,453090.87
Germany,DEU,895339.8
Greece,GRC,109240.72
Hungary,HUN,54918.4
Iceland,ISL,13902.81
Ireland,IRL,61807.76
Italy,ITA,457343.52
Japan,JPN,1323599.2
Kazakhstan,KAZ,304292.8
Latvia,LVA,9329.11
Liechtenstein,LIE,249.5
Lithuania,LTU,10695.15
Luxembourg,LUX,11391.5
Malta,MLT,3210.45
Monaco,MCO,87.52
Netherlands,NLD,200436.11
New Zealand,NZL,57018.05
Norway,NOR,29584.55
Poland,POL,363506.76
Portugal,PRT,56633.11
Romania,ROU,104815.28
Russian Federation,RUS,1467528.82
Slovakia,SVK,35761.97
Slovenia,SVN,13028.71
Spain,ESP,315632.22
Sweden,SWE,12845.03
Switzerland,CHE,50464.12
Turkey,TUR,372783.11
Ukraine,UKR,397959.23
United Kingdom of Great Britain and Northern Ireland,GBR,574710.9
United States of America,USA,5799209.48
