country,code,emission
Australia,AUS,573028.92
Austria,AUT,76282.06
Belarus,BLR,55037.84
Belgium,BEL,123247.44
Bulgaria,BGR,56217.53
Canada,CAN,677026.21
Croatia,HRV,21984.34
Cyprus,CYP,8732.47
Czechia,CZE,131087.25
Denmark,DNK,58435.17
Estonia,EST,16967.22
Finland,FIN,45165.26
France,FRA,453545.88
Germany,DEU,900566.23
Greece,GRC,112462.11
Hungary,HUN,59324.07
Iceland,ISL,13911.48
Ireland,IRL,61812.85
Italy,ITA,467342.14
Japan,JPN,1283944.63
Kazakhstan,KAZ,295104.39
Latvia,LVA,10869.09
Liechtenstein,LIE,240.02
Lithuania,LTU,10909.8
Luxembourg,LUX,11755.3
Malta,MLT,2995.03
Monaco,MCO,85.53
Netherlands,NLD,204428.84
New Zealand,NZL,53629.59
Norway,NOR,26668.12
Poland,POL,370677.19
Portugal,PRT,56291.24
Romania,ROU,109533.32
Russian Federation,RUS,1431583.93
Slovakia,SVK,39243.34
Slovenia,SVN,13523.84
Spain,ESP,320958.42
Sweden,SWE,16293.57
Switzerland,CHE,49570.96
Turkey,TUR,350750.19
Ukraine,UKR,412784.42
United Kingdom of Great Britain and Northern Ireland,GBR,557884.4
United States of America,USA,6027571.69
