Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,422.99,446.46,497.86,504.37,563.82,696.51,781.89,821.25,708.9,632.6,634.93,638.92,590.79,560.71,582.91,623.33,654.97,827.65,847.4,834.38,889.3,898.71,872.23,911.82,1026.41,945.76,1124.33,927.66,827.89
Austria,35.87,37.99,34.53,40.38,42.56,33.39,39.85,37.98,43.37,42.52,41.8,42.37,42.93,43.49,44.04,44.58,45.07,45.62,46.17,46.7,47.26,47.83,48.39,48.96,49.52,50.08,50.66,51.25,51.82
Belarus,5661.23,5641.67,6135.39,5502.74,4510.51,4245.4,4434.62,4839.23,4795.65,4532.36,2423.03,1972.05,1833.89,1754.59,2319.09,2234.37,2166.39,2204.59,2059.71,1904.66,1701.88,1787.4,1805.29,1760.87,1963.41,1837.97,1257.59,431.29,434.95
Belgium,173.61,208.54,206.27,201.58,213.55,209.76,223.91,232.38,215.73,231.18,221.97,231.22,227.69,226.55,206.53,204.94,203.98,168.82,161.92,154.83,131.35,128.03,111.13,104.43,100.76,107.43,110.29,105.94,107.32
Bulgaria,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Canada,197.82,180.24,179.11,157.9,161.85,161.53,167.79,173,139.79,116.71,164.33,114.15,120.62,112.46,109.54,117.07,135.41,159.82,146.2,112.86,108.2,118.45,161.95,176.66,172.57,196.7,210.66,202.96,209.83
Croatia,"NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE"
Cyprus,11.06,12.3,14.9,15.46,15.91,17.27,18.17,19.07,20.31,20.88,21.55,21.78,20.88,21.44,20.59,19.23,14.16,20.53,42.96,20.49,20.49,26.87,20.49,23.66,35.19,22.4,22.4,21.61,24.01
Czechia,194.26,155.99,200.66,188.04,213.7,216.88,210.7,198.14,172.55,166.74,179.95,161.32,241.57,244.67,273.25,273.47,259.24,346.58,376.55,364.46,329.14,387.35,315.89,309.43,319,380.81,406.97,464.84,322.28
Denmark,178.72,351.11,207.13,307.4,325.54,329.49,256.93,255.81,293.45,275.93,207.64,198,194.17,201.69,355.1,386.09,241.61,287.51,221.12,279.22,233.23,316.2,231.96,246.11,234.68,207.94,213.98,310.28,222.75
