Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Estonia,44.2,54.16,34.71,10.97,11.14,29.27,16.55,13.93,17.5,17.49,17.16,18.81,14.93,19.3,28.17,35.33,32.09,31.07,10.94,29.57,41.51,20.11,21.85,32.79,33.17,27.26,26.18,56.5,50.36
European Union,23738.26,19761.44,17127.27,15021.84,14688.9,14013.21,12483.96,12592.4,11792.37,10622.15,9869.91,9083.23,9095.01,9743.5,10779.67,11263.63,10748.52,11062.82,10157.42,8998.52,8669.03,8453.72,7505.6,7281.7,6965.2,6732.79,6633.38,6796.78,6202.44
Finland,1143.07,1011.69,1047.38,954.26,1207.32,1300.88,1350.66,1287.42,1407.45,1279.38,1384.52,1472.24,1432.96,1481.25,1354.7,1464.4,1380.36,1328.26,1179.79,1093.68,1201.57,1065.14,1089.16,1032.77,1003.97,1014.78,1006.57,1127.21,954.99
France,"NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE"
Germany,12138.26,8667.39,6583.14,5271.3,4854.41,4045.95,3169.01,3060.97,3070.1,2622.28,2351.01,1927.96,1963.58,1982.49,1699.8,1739.8,1583.34,1318.05,1336.89,1361.93,1316.59,1221.07,1007.45,1046.72,988.48,984.27,1022.78,845.32,752.16
Greece,"NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE",527.03,654.1,551.81,702.13,251.81,244.55,217.37,212.72,237.29,190.18,208.08,200.74,183.85,124.22
Hungary,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,14.62,10.9,10.9,10.93,10.9,10.87,18.38,18.31,18.31,18.31,18.32,22.22,25.4,28.58
Iceland,"NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE",7.34,45.69,29.01,26.9,6.86,7.14,4.86,13.95,6.92,0.92,2.54,2.67,5.67,0.48,0.17,0.69
Ireland,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE
Italy,1142.57,1306.22,1397.49,1580.99,1591.21,1565.55,1284.47,1336.82,1131.56,1204.03,880.94,379.79,336.36,723.87,1208.38,1323.45,1085.17,992.07,820.32,941.42,692.47,545.52,362.86,626.06,599.34,478.33,532.88,339.6,351.3
Japan,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Kazakhstan,8933.67,5913.78,1460.49,1466.06,1439.55,1413.99,1418.68,1475.64,9671.82,9868.92,19521.79,6797.79,13985.3,16046.35,16888.21,20979.3,26201.23,26913.05,38672.75,32545.68,48548.83,32097.74,33100.02,39294.56,45322.68,58843.39,54069.39,60260.17,63423.58
Latvia,"NO,NE","NO,NE","NO,NE","NO,NE","NO,NE",6.23,3.31,12.56,3.31,9.5,0.14,0.17,6.95,6.41,11.62,7.7,8.99,2.87,3.44,5.39,7.95,7.29,7.4,6.51,9.54,9.67,11.51,13.31,20.05
Liechtenstein,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Lithuania,0.36,0.44,0.51,0.58,0.73,0.87,1.09,1.24,1.53,1.82,3.5,0.73,1.09,3.5,9.4,12.53,12.16,15.95,12.38,11.36,16.03,12.89,9.03,17.41,35.19,36.32,25.18,25.88,20.45
Luxembourg,3.12,3.12,26.87,23.72,22.14,10.82,18.61,23.1,34.21,63.29,12.21,24.24,13.54,3.27,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Malta,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.54,2.51,2.54,2.58,2.42,2.42,2.45,2.45,2.5,2.73,2.57,2.31,3.03,2.76,3.27,3.67,4.2,3.48,3.7,3.31
Monaco,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Netherlands,320.37,323.53,312.88,312.88,284.15,310.14,310.42,233.89,222.34,271.3,260.33,238.01,244.22,223.77,199.06,200.42,174.9,171.07,172.1,183.92,262.01,197.7,152.99,178.72,183.33,164.14,165.39,151.05,154.32
New Zealand,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Norway,355.15,320.39,320.18,249.7,404.73,474.18,452.2,428,374.87,413.85,190.36,303.22,491.71,200.29,357.82,280.59,262.37,197.83,155.57,212.21,242.51,202.92,220.65,118.15,100.53,156.75,208.65,220.46,150.58
Poland,"NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE"
Portugal,96.93,108.48,81.24,76.78,85.66,82.82,106.09,101.92,106.26,81.26,96.5,96.5,67.74,53.99,41.09,73.92,76.75,73.98,86.52,86.88,87.11,78.34,49.22,59.25,69.32,76.82,44.24,44.16,59.18
Romania,1220.44,1348.2,1002.2,322.12,450.6,579.68,302.98,867.53,710.85,122.75,251.67,437.31,326.45,434.59,1358.56,1236.03,567.83,1006.43,862.82,314.56,313.71,563.29,583.4,426.64,404.02,493.21,473.59,685.55,619.26
Russian Federation,317736.08,300167.44,71895.49,69723.59,33943.11,39376.74,28199.84,29592.64,25294.96,37820.14,10720.88,14504.25,19426.97,23757.67,27509.26,32723.93,39196.97,40445.21,46339.2,38019.7,40046.85,43551.55,46300,33757.73,34232.28,33982.71,32494.8,27896.15,19597.7
Slovakia,479.2,412.44,351.45,314.81,255.01,279.55,269.8,220.48,204.56,168.24,147.85,154.16,112.84,116.31,102.62,95.7,132.12,110.41,75.72,82.53,69.85,82.76,80.07,67.65,65.2,63.88,65.71,66.16,88.56
Slovenia,32.02,6.91,1.38,1.38,1.38,1.38,1.38,1.38,2.7,2.89,3.08,3.27,3.27,3.27,3.42,3.33,3.33,3.48,3.56,3.34,2.89,3.37,3.38,3.02,3.75,3.7,3.64,4.14,3.91
Spain,300.63,305.98,334.08,303.86,307.43,334.26,381.26,406.28,412.54,425.52,426.28,432.85,416.63,438.18,479.74,505.49,524.45,539.03,595.3,510.87,559.48,564.53,476.77,333.51,411.44,521.43,490.31,486.35,451.4
Sweden,861.55,1086.73,1138.85,889.78,784.04,711.1,652.75,592.22,477.1,414.24,396.83,272.53,321.75,302.71,281.28,224.69,243.09,250.72,152.52,242.67,174.77,184.52,164.43,149.24,164.4,188.66,176.07,184.28,169.52
Switzerland,219.61,202.22,193.99,185.71,180.22,162.81,151.94,161.9,160.94,146.78,151.16,148.41,154.55,140.14,128.87,138.72,142.77,135.64,130.57,132.59,137.4,124.65,132.45,133.39,138.7,135.18,139.39,127.62,126.58
Turkey,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE,IE
Ukraine,105.93,95.51,84.76,74.44,65.1,57.27,48.91,44.94,51.51,45.69,59,50.75,51.73,58.09,59.37,84.44,95.57,72.37,75.9,26.33,31.6,66.21,119.24,78.01,397.74,405.88,529.75,533.77,475.64
United Kingdom of Great Britain and Northern Ireland,5353.12,4351.11,4142.26,4195.46,4011.59,3937.41,3855.5,3678.77,3234.44,3190.4,2954.5,2959.47,3094.91,3202.36,3092.63,2875.66,3501.98,3792.72,3290.55,3015.34,2928.23,2783.42,2551.52,2314.74,2045.05,1680.72,1564.46,1605,1627.71
United States of America,204607.78,215947.55,208329,198143.42,207758.63,206322.88,200644.58,209471.47,226346.68,239281.23,217487.74,221832.96,219857.06,222920.82,244882.67,230278.5,228474.24,209312.09,204179.28,184221.77,190192.35,180222.68,182267.51,193711.56,192711.01,199373.48,184805.81,194131.18,204980.59
