Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,84780.35,84005.62,81258.32,79273.43,79386.8,75937.6,78125.06,79349.95,79283.65,79367.97,82534.72,81546.54,81434.99,75926.22,79425.6,80056.08,78547.34,74650.89,72145.69,72468.52,70140.86,74728.11,76173.56,76369.14,76841.54,74037.09,73122.7,77018.06,75587.64
Austria,8088.51,7993.48,7679.92,7662.77,7643.04,7767.56,7653.9,7615.6,7585.2,7475.73,7386.87,7334.33,7225.95,7078.44,7061.03,6995.75,6990.95,7050.17,7184.9,7219.47,7079.65,7150.42,7099.92,7090.96,7232.82,7246.14,7360.92,7313.78,7224.35
Belarus,30549.74,29058.52,26180.96,25580.63,22365.91,20904.77,21255.41,21772.28,24412.69,20142.82,19829.23,19253.14,18621.26,19415.32,19972.28,20805.99,21476.09,21331.97,22220.87,22676.22,22648.36,23385.65,23440.43,22874.53,22718.45,22381.94,22525.6,23102.31,22510.94
Belgium,12242.95,12119.93,12110.2,12238.79,12106.22,12320.99,12222.35,12220.91,12020.97,12211.39,11346.97,11122.28,10993.74,10612.56,10566.48,10358.89,10123.15,10280.72,10149.75,10265.92,10215.88,10104.64,9884.87,9900.54,10108.29,10110.27,9979.47,10104.92,9960.88
Bulgaria,12461.57,10801.3,9397.81,8048.87,7011.98,5933.28,5642.25,5685.18,5139.25,5479.39,5205.33,5004.38,5148.55,5044.13,5493.06,5170.04,5053.6,4904.91,5149.06,4978.85,5454.64,5105.53,5236.18,5717.59,6187.48,6236.25,6585.68,6555.36,6415.69
Canada,46939.07,46769.21,48496.98,49765.04,51889.21,53949.12,55292.48,55297.27,55841.16,56239.51,57021.47,56476.86,56083.99,57952.02,59472.75,59852.38,58581.16,58390.53,58514.65,56175.3,55035.3,54871.69,56847.57,59291.58,57646.15,58231.93,59333.19,58382.05,59381.63
Croatia,4423.45,4273.38,3579.22,3369.08,3204.76,3075.44,2992.07,3148.58,2923.68,3078.84,3042.36,3178.46,3127.04,3113.46,3282.65,3298.28,3365.32,3289.17,3498.98,2982.33,3056.27,3109.89,2989.72,2723.67,2650.31,2722.28,2678.79,2805.05,2720.3
Cyprus,471.41,475.42,509.94,540.73,530.09,580.26,562.35,548.51,562.8,545.6,552.17,601.53,620.83,602.56,583.21,532.83,547.99,539.87,515.55,508.93,531.37,520.55,497.06,462.29,447.69,456.87,481.13,494.24,499.4
Czechia,15648.71,13536.24,11684.25,10404.53,9430.26,9442.46,9145.66,8779.71,8430.37,8465.09,8553.86,8888.2,8559.86,8036.65,8463.99,8186.82,8130.78,8378.73,8445.9,7587.69,7483.8,8086.15,8018.54,7989.49,8049.32,8629.03,8859.25,8789.24,8606.5
Denmark,13198.44,13036.97,12861.26,12767.32,12590.12,12572.98,12169.62,12166.98,12160.56,11775.83,11704.68,11725.66,11755.28,11525.43,11487.39,11307.38,11005.8,11228.12,11228.93,11015.98,10947.78,10938.39,10933.78,10935.45,11060.56,10948.6,11126.35,11186.15,11076.84
Estonia,2706.5,2587.03,2182.01,1700.04,1548.62,1383.09,1280.88,1290.79,1312.78,1141.11,1141.12,1152.83,1092.53,1145.78,1187.97,1194.08,1193.28,1251.2,1309.12,1252.28,1278.4,1293.84,1374.66,1406.71,1446.12,1446.24,1402.04,1443.21,1437.79
European Union,545611.41,514579.55,491411.32,479045.21,473137.29,473941.82,475884.38,472999.53,470449.74,468638.83,463319.06,457784.7,450122.43,446055.43,447413.3,440630.12,436515.86,439304.33,436635.25,430087.85,425622.95,426127.91,424190.2,427583.58,435105.91,436814.17,437221.04,440800.16,435262.69
Finland,7498.69,6978.38,6445.97,6731.52,6772.89,6692.66,6780.63,6877.05,6670.21,6614.77,6604.16,6591.62,6641.39,6520.33,6498.09,6542.82,6494.22,6474.03,6592,6577.38,6673.92,6489.78,6464.9,6564.72,6614.35,6584.7,6685.01,6634.65,6562.49
France,82706.68,82243.9,80784.15,79789.3,79374.94,80116.3,80541.68,80897.86,80807.78,81263.08,83050.6,82539.31,81178.65,78401.34,78771.44,77648.88,77215.67,78121.32,78809.83,77982.37,76757.75,76059.4,75942.71,75452.41,77485.97,77269.38,76017.13,76451.12,75028.74
Germany,79305.2,71545.19,69340.81,68469.07,66828.82,68157.61,68548.26,67514.76,67841.5,68318.45,68264.19,67956.85,65711.11,64752.91,64639.82,64189.46,63401.96,62926.82,65071.08,64275.87,63626.16,65264.77,64886.41,66106.19,67472.48,67965.9,66491.11,66070.32,63564.89
Greece,10140.24,10163.65,9889.26,9336.93,9140.39,9487.9,9549.51,9464.91,9440.49,9367.1,9146.79,9131.1,9154.64,9120.27,9161.25,8959.22,8862.51,8994.31,8736.96,8518.45,8838.65,8596.46,8468.43,8404.56,7989.56,7846.02,7855.69,7887.69,7781.5
Hungary,9978.41,8454.57,7236.86,6384.86,6278.01,5997.53,6018.62,5994.19,6186.98,6255.65,6132.92,6327.57,6359.24,6188.12,6465.41,6134.55,6103.79,6073.49,6111.26,5753.24,5672.76,5888,5923.22,6326.31,6574.49,6790.56,7098.81,7110.19,7145.64
Iceland,678.27,659.76,642.59,645.31,650.72,628.61,640.82,634.13,644.79,648.97,631.57,632.44,616.56,609.05,600.31,604.69,630.15,647.9,661.27,646.63,631.25,630.79,633.29,622.61,670.65,658.97,662.89,666.48,634.97
Ireland,19584.98,19629.62,19612.59,19779.41,19828.71,20292.81,20686.83,20719.4,21126.01,20741.89,19777.21,19418.42,19081.97,19290.73,19025.97,18731.03,18379.27,18088.89,17871.71,17617.15,17765.62,17176.34,17568.04,18477.16,18318.42,18581,19084.68,19621.92,19953.07
Italy,34708.7,35460.45,34949.53,35268.52,34950.03,34846.37,34692.57,35291.75,34645.47,35022.42,34106.71,33465.69,32895.84,32818.85,32606.05,32039.84,31822.88,32476.73,31498.73,30803.39,30147.3,30680.93,31198.66,30511.51,30154.12,30299.24,30830.79,30625.21,30186.58
