Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,61394.56,60799.77,61812.43,63393.8,64920.61,68268.83,70152.43,71456.34,71652.78,72525.61,74127.58,74092.4,75623.85,78104.58,81175.76,82209.53,83501.81,85455.05,86516.89,87357.43,88811.05,91426.05,91959.94,92168.37,93257.2,95386.2,96545.47,98847.95,100795.81
Austria,13976.5,15457,15426.34,15557.15,15604.73,15884.54,17438.16,16452.07,18561.94,18025.25,18822.45,20315.03,22230.14,24084.86,24601.54,24955.29,23685.17,23903.48,22422.92,21763.01,22577.14,21922.83,21743.05,22925.72,22224.37,22700.5,23553.59,24312.05,24425.87
Belarus,9567.11,9983.79,8761.24,7495.78,5131.13,5035.73,5476.69,5418.91,5507.67,5050.86,4866.71,2003.07,2493.9,2170.3,2274.65,2264.62,2755.41,3631.82,3838.97,3286.23,3171.23,3425.12,3224.96,4210.7,4356.65,3918.22,3789.94,3938.82,4040.27
Belgium,20931.2,21109.57,21863.45,22364.96,22869.33,22954.79,23384.89,23602.71,24265.81,24587.76,25007.51,25565.26,25877.7,26469.4,27553.97,26758.14,27358.5,28214.29,28296.93,27487.56,26688.4,26302.72,25513.28,24997.33,25244.55,26929.69,26645.52,26067.34,26251.18
Bulgaria,6604.56,3633.21,3970.91,4491.97,4107.87,4384.33,4293.07,4351.07,5506.75,5743.26,5510.01,5671.51,5904.55,6496.68,7032.62,7842.44,8341.04,8175.38,8572.08,8246.2,8013.46,8195.75,8527.46,7463.14,8437.07,9233.65,9358.25,9495.52,9700.62
Canada,124333.67,119161.31,122287.3,124225.57,129015.54,130921.28,134833.25,140128.71,145628.51,151252.25,151472.25,151890.05,153257.19,155296.09,158794.73,164244.8,164811.04,166689.16,165761.69,161372.65,166321.95,166931.91,169211.78,173612.34,172289.47,173350.88,175219.05,178878.96,186713.48
Croatia,3882.81,2942.86,2843.25,2993.72,3175.37,3367.41,3701.88,4052.59,4188.23,4422.43,4443.27,4502.24,4813.26,5211.41,5345.38,5549.21,5910.02,6337.59,6174.22,6185.61,5954.67,5812.39,5631.01,5717.8,5664.73,5973.06,6194.88,6662.2,6428.25
Cyprus,1244.95,1246.83,1397.01,1413.15,1471.31,1562.78,1615.47,1684.93,1764.63,1812.55,1840.5,1903.22,1886.79,1999.01,2075.63,2114.96,2102.74,2240.49,2285.22,2280.9,2329.58,2256.12,2080.95,1873.43,1824.25,1894.17,2025.24,2098.67,2067.41
Czechia,11484.85,10306.14,10721.19,10252.54,11163.4,10468.51,10658.51,10532.38,11687.19,11995.93,12119.26,12902.28,13478.67,15267.98,16025.48,17357.81,17699.95,18616.24,18463.91,17852.92,16832.27,16662.02,16384.24,16254.09,16768.69,17531.63,18205.97,18706.61,19055.34
Denmark,10954.56,11464.28,11674.21,11703.34,12114.96,12263.07,12523.54,12735.43,12741.32,12777.88,12676.25,12731.69,12899.38,13366.4,13611.37,13825.09,14155.32,14707.05,14547.26,13761.36,13632.33,13338.94,12756.67,12563.02,12680.51,12950.72,13256.44,13445.83,13714.43
Estonia,2468.5,2250.47,1161.69,1288.24,1603.16,1575.74,1641.12,1748.78,1811.93,1688.31,1672.42,1986.49,2119.38,2033.51,2079.63,2154.57,2319.13,2441.65,2320.95,2141.64,2267.96,2278.1,2303.63,2251.95,2278,2340.23,2385.81,2427.47,2404.7
