Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,143099.58,146325.4,149649.86,151415.81,152237.52,158063.56,162661.87,169332.62,181993.33,189175.48,192159.28,199435.62,201652.52,205016.47,214117.8,216461.87,220963.94,224025.96,225794.99,232370.06,226451.68,220522.52,222276.41,210976.23,204798.67,211563.31,218948.22,218204.99,213835.41
Austria,14034.43,14824.96,11558.07,11634.29,11918.29,13119.99,14054.48,14084.83,13145.28,12677.26,12369.85,13706.74,13391.39,16104.08,15940.69,16250.75,15048.08,13898.14,13712.06,12691.44,13844.48,13532.37,12030.14,11066.36,9423.08,10563.82,10331.74,10967.87,10097.52
Belarus,55758.63,50888.97,46134.96,39482.72,34039.96,30439.99,30509.27,29997.94,28896.8,28017.03,29657.62,30112.44,29817.01,29715.2,31763.45,31284.92,31739.77,29834.07,30835.35,29557.23,31098.39,28497.95,28080.3,27597.2,27683.47,26035.02,26310.73,26753.51,28503.33
Belgium,30059.89,30707.93,29502.06,28976.15,30081.16,29588.21,28877.97,27835.04,30574.23,26780.16,28670.55,26622.62,28069.81,29222.7,29699.02,29424.89,28306.61,27615.2,25512.37,25962.71,26547.03,23128.33,23007.19,21507.97,20477.14,21211.36,19937.37,20056.27,20025.7
Bulgaria,36539.6,29773.09,28705.85,28958.44,26691.25,27209.65,27037.95,29245.61,28022,24188.53,24029.36,27892.24,25215.57,27112.39,26885.09,27099.94,27394.74,30731.27,32249.61,29440.19,31334.57,36106.86,31325.3,26991.65,28721.2,29793.44,26387.52,27671.99,23539.63
Canada,147087.82,144405.21,153598.35,148131.36,150885.12,155496.56,157801.48,167664.13,183562.64,192283.71,207802.34,212871.06,212211.48,220882.11,213766.96,208149.84,205977.2,219373.04,206334.79,191659.64,195257.75,193167.44,197066.89,197639.46,197739.17,202593.09,197693.87,196974.43,192321.35
Croatia,7071.49,4738.53,5402.09,5925.57,4630.13,5233.67,5058.63,5557.62,6214.08,6443.35,5805.92,6369.27,7255.33,7932.07,6812.38,6837.5,6658.79,7847.84,6800.63,6391.2,5903.4,6275.88,5875.87,5263.15,4765.09,4742.57,4875.27,4493.22,3937.87
Cyprus,1767.39,1830.3,2127.96,2250.56,2379.46,2173.9,2289.17,2419.33,2652.48,2836.63,2964.66,2847.11,3008.83,3235.74,3294.77,3483.62,3665.46,3814.47,3980.44,4005.65,3880.76,3722.37,3557.56,2839.15,2950.11,3032.96,3311.05,3298.95,3353.52
Czechia,56855.14,55476.21,54649.67,54321.36,54842.34,61762.46,66517.8,62808.68,60678.33,58225.09,62061.95,64244.83,62799.21,62449.02,62567.98,63165.65,62614.74,66264.46,61533.35,57461.97,62122.33,61884.38,58755.49,55168.35,53789.69,53690.07,54456.02,51771.1,51071.61
Denmark,26532.09,35426.3,30494.95,32093.99,36159.82,32761.15,45201.39,36034.4,32416.14,29326.39,26304.1,27660.91,27836.74,32580.35,26666.61,23402.38,31335.59,26644.69,24574.45,24468.27,24495.83,20469.38,17168.14,19324.78,15775.76,13094.17,14271.21,11781.73,11696.63
Estonia,29130.38,26590.33,20090.69,15781.78,16052.05,14502.31,15020.54,14598.62,13069.8,12507.23,12027.1,11825.2,11534.07,13365.06,13331.1,12993.93,12154.2,14988.95,13011.38,10868.75,15194.4,14940.29,13461.68,15311.12,14767.56,12148.7,13690.45,14709.39,13797.84
European Union,1675378.47,1640234.2,1582614.69,1515674.07,1521512.95,1522404.49,1552270.57,1507457.64,1515182.31,1468073.16,1505544.55,1542365.68,1564100.9,1618474.58,1620342.94,1600485.06,1613150.08,1623575.44,1548982.24,1424231.76,1451265.02,1425434.14,1418104.76,1343028.05,1258582.62,1245113.23,1197969.23,1180737.3,1110143.1
Finland,18969.25,18787.99,18607.58,21353.52,26343.19,24031.16,29781.9,27397.2,24148.96,23601.8,22137.73,27573.54,30389.65,37464.32,33400.37,22149.49,33035.49,31040.19,24510.76,25616.03,30947.43,24940.34,20894.1,22172.72,20949.35,17762.07,19149.54,17531.02,18679.44
France,66453.52,67928.05,69026.78,56807.5,53298.58,56047.87,60760.95,57202.34,69798.46,63291.06,62961.97,56475.24,59797.8,63270.52,62152.7,67540.73,63528.18,63135.53,61857.8,59970.93,60364.35,51995.11,52979.14,53021.29,40393.5,42570.12,45899.11,50362.97,42201.15
Germany,427353.07,413164.02,390616.68,379765.26,376975.01,367537.27,374561.05,353660.29,356296.11,344689.94,358029.3,371290.2,372572.19,386864.07,384314.48,379395.14,381146.98,388452.61,368463.28,344015.21,356029.76,353696.46,363828.92,366782.7,347932.62,335719.16,332573.16,311543.12,295191.76
Greece,43252.76,42086.81,44375.84,44274.6,46259.01,45022.01,44198.66,47647.17,50176.93,50474.98,54932.09,55450.42,54871.17,56117.93,57438.93,58261.11,56086.6,59571.77,58214.86,54667.6,52211.41,54015.92,54688.04,49367.8,45937.66,40911.69,37021.08,39940.59,38266.5
Hungary,20916.74,21790.19,22550.8,23113.63,22308.92,22778.56,23142.78,25151.81,26776.96,26504.01,23875.68,24194.89,22549.46,23809.09,21998.87,20093.11,20415.31,21558.98,20629.89,17405.33,17971.65,17301.74,16718.69,14059.81,13399.95,13763.06,13533.52,13848.53,13088.41
Iceland,13.83,15.44,13.87,17.43,17.1,22.12,15.65,12.15,15.14,12.21,11.19,10.5,12.48,9.79,8.04,7.96,17.43,34.87,17.96,13.14,14.02,11.46,11.53,4.57,5.15,4.22,2.38,2.34,2.38
Ireland,11223.13,11684.22,12345.63,12361.5,12698.96,13383.63,14103.62,14761.01,15141.54,15800.05,16116.3,17334.22,16420.34,15726.02,15335.43,15828.51,15076.62,14583,14710.48,13119.11,13380.24,11979.97,12809.98,11434.06,11252.07,11875.45,12589.33,11819.84,10550.4
Italy,137501.88,131869.75,131086.72,125241.1,127700.68,140484.89,135126.56,137461.17,138679.56,133197.26,144473.93,143031.52,154023.46,159088.13,172306.75,159088.43,161572.79,158600.12,155754.32,133575.35,137044.68,133911.72,129267.22,109895.22,101008.73,105803.26,104641.66,104759.42,95805.32
Japan,369877.43,370780.64,375646.27,358393.02,392856.78,380657.53,383006.07,379229.07,366735.28,388808.44,397371.8,388560.05,415478.04,434629.21,432346.76,452026.61,443071.7,493370.22,474125.26,443773.63,476191.11,537348.42,584072.69,585964.58,555454.4,529882.65,525142.03,511306.28,474853.98
Kazakhstan,142368.62,140085.44,117445.55,108204.45,95768.51,96572.9,88457.2,82086.94,78212.65,53400.02,60805.05,63296.51,67701.07,76408.42,87896.33,92263.48,99443.09,94847.99,89713.17,96061.92,103753.04,104898.39,110894.25,115522.53,114552.39,108151.65,111270.65,118473.96,125236.58
Latvia,6243.84,5734.24,4894.99,3965.88,3748.27,3419.67,3550.35,3312.79,3376.51,2951.6,2499.83,2445.02,2341.67,2272.84,2080.86,2069,2096.67,1966.25,1938.15,1888.21,2273.41,2093.35,1877.72,1951.88,1695.24,1773.53,1856,1548.97,1933.15
Liechtenstein,0.18,0.85,1.9,1.96,1.84,2.08,2.6,2.54,2.93,2.93,2.77,2.93,2.52,2.83,2.96,3.14,2.86,2.6,2.93,2.98,3.26,3.06,2.82,3.04,2.51,2.05,2.17,2.12,2.18
Lithuania,13552.63,14625.4,8605.07,7284.17,7235.41,6373.98,7055.83,6498.19,7308.07,5915.99,5055.97,5532.75,5350.47,5223.86,5399.42,5655.86,5202.95,4736.99,4804.58,4782.67,5329.66,4461.86,4411.34,3851.99,3177.99,3155.1,2955.86,2573.03,2447.8
Luxembourg,35.64,37.29,37.19,35.38,34.61,93.54,82.36,89.73,155.94,173.47,119.03,280.47,1027.93,1035.52,1255.94,1241.8,1304.18,1180.55,994.81,1190.01,1204.97,1003.04,1042.04,685.47,668.59,457.37,252.08,242.78,223.6
Malta,1765.51,1605.29,1542.13,2109.94,1815.89,1595.91,1652.39,1616.92,1641.78,1715.14,1607.62,1950.33,1963.32,2166.8,2072.34,1979.97,2001.44,2035.34,1992.3,1870.7,1868.14,1913.82,2025.65,1645.33,1604.59,852.91,559.38,718.69,698.06
Monaco,17.78,17.29,19.04,21.1,22.81,22.76,24.44,27.54,25.94,26.36,27.13,28.7,25.7,21.35,19.02,18.93,15.05,19.84,18.91,18.37,18.06,20.15,20.69,21.55,22.02,23.06,22.77,22.29,22.73
Netherlands,53365.21,54094.79,54068.07,56448.5,60428.72,62729.77,63767.08,64341.49,66723.95,63014.53,64654.27,68561.71,67824.06,69276.54,70976.07,68238.71,63325.51,66016.48,66260.81,65071.6,67565.06,63416,60050.39,60428.18,64550.73,69829.72,67873.06,63462.51,60136.76
New Zealand,6003.9,6103.51,7596.19,6656.38,5541.5,4812.43,5562.05,7171.54,5584.13,6805.69,6462.11,7968.64,7191.85,8531.82,8158.72,10229.73,10127.68,8474.49,9678.85,7458.24,6811.79,6328.27,7726.9,6411.45,5448.71,5298.3,4186.53,4767.74,4355.41
Norway,7281.65,7645.5,8197.78,8473.23,9185.83,9092.56,9971.73,10342.61,10028.24,9993.66,10956.81,12182.37,12445.52,13162.64,13257.36,13505.92,13431.29,13795.1,13819.51,14759.13,15014.71,14642.11,14324.94,14367.97,15116.9,15583.63,15124.76,15492.38,15345.44
Poland,235394.54,229516.83,221204.62,208016.22,206283.04,191341.1,198639.52,191970.72,184829.79,179040.77,176706.12,178106.18,172005.44,180610.13,179961.87,178493.37,184245.03,180455.69,174940.29,167414.66,173696.68,175028.93,169946.45,170522.91,161126.72,163883.49,163696.46,165402.41,163363.77
Portugal,16411.38,17139.74,20139.85,18173.3,17385.46,20042.15,16024.84,16774.17,19383.56,25517.23,21686.44,22102.01,25515,20989.91,22487.75,25524.22,22542.89,19883.85,19288.59,19439.81,14530.89,16517.66,17476.74,15240.53,14560.31,18396.07,17396.33,20806.43,17869.46
Romania,70944.12,65624.82,60172.42,59240.94,61138.32,63433.3,65129.13,60610.4,51171.84,42657.43,45508.63,47454.52,46154.98,48510.78,43192.08,43263.53,44761.98,49486.78,47727.71,39122.17,37114.33,40231.81,36616.28,30006.16,30063.92,29251.87,26878.89,26963.32,24277.16
Russian Federation,1171194.98,1098169.87,1070490.81,1050290.5,959231.28,909584.43,903858.22,851552.28,856320.74,841062.55,842615.26,854478.74,850411.53,862102.81,850473.97,861908.76,892928.44,879357.27,898704.44,838351.46,878937.43,888435.26,911080.8,853376.27,848749.09,820625.09,808954.74,806696.99,825088.89
Slovakia,18965.53,15947.08,13921.47,12723.52,11952.29,11744.86,11782.43,11626.56,11616.35,11808.63,12111.24,13249.11,12453.73,13019.82,12678.07,11764.74,11245.58,10482.28,10534.27,9457.27,9179.14,9300.06,8883.93,8351.21,7207.64,7713.1,7640.54,7616.15,7430.52
Slovenia,6374.89,5431.41,5964.57,5754.25,5536.86,5725.08,5327.36,5749.27,5988.41,5289.14,5594.44,6311.78,6564.32,6289.38,6421.87,6448.2,6504.66,6725.75,6498.68,6210.67,6339.7,6359.33,6052.79,5773.73,4447.9,4561.54,4929.2,4915.34,4799.91
Spain,78918.07,79335.16,87144.66,81283.31,81258.45,87056.08,73961.54,86576.81,85943.97,101286.46,105769.17,100192.72,114214.9,107004.29,116847.82,126592.65,121614.16,127454.42,109806.61,92272.37,75194.18,87988.22,93180.29,72999.09,76258.29,86412.37,71034.43,81290.59,72236.1
Sweden,9928.14,10924.02,11527.81,11677.65,12163.22,11332.38,15812.5,11082.38,12160.56,10424.19,8927.84,10466.28,11413.57,12551.17,11668.58,10809.9,10849.2,10320.17,10233.32,10625.58,13101.15,10744.17,10359.89,9863.7,8924.09,8897.51,9292.48,9234.61,9423.26
Switzerland,2519.49,2801.91,2894.8,2563.36,2605.11,2642.56,2860.65,2860.99,3223.62,3248.84,3171.92,3313.52,3390.12,3387.13,3682.4,3815.9,4031.74,3718.85,3837.05,3673.68,3845.73,3598.15,3640.66,3735.83,3607.12,3293.58,3379.19,3297.77,3360.33
Turkey,37253.19,38791,43324.16,42752.42,49059.2,50465.48,54436.64,59580.72,65163.66,70360.49,77742.54,80022.15,74138.37,74370.92,75538.69,90458.2,96128.97,113570.23,118938.96,119280.32,113324.26,124974.81,125944.34,120772.56,131473.83,134701.71,143962.93,154971.47,158490.44
