Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,26031.43,25281.05,25901.14,25612.92,25548.78,25201.91,24939.14,25095.53,26373.54,26842.56,26683.68,27870.15,28563.5,31167.48,32622.56,31875.6,31951.48,34210.65,34424.16,32781.92,35707.17,36242.14,33402.12,31495.76,31709.12,33067.53,32992.49,33133.28,34197.45
Austria,13662.34,13695.98,12053.42,12004,12738.74,13604.92,13057.12,14219.02,13864.92,13647.4,14610.27,14487.84,15129.51,15270.72,14809.73,15630.52,16286.79,16964.02,17290.89,13918.24,15923.56,15965.62,15565.42,15884.9,16008.92,16585.23,16383.29,17209.27,15613.09
Belarus,6141.7,5915.85,5425.07,4297.92,3559.64,3813.72,3829.85,3962.17,4410.45,4639.96,4496.99,4462.89,4729.99,5027.77,5204.59,5490.9,5837.58,6070,6170.19,6141.27,6378.79,6379,6425.15,6611.82,6958.26,6508.36,6101.49,6132.07,6162.96
Belgium,26039.67,25069.12,26178.53,25352.78,28311.64,29937.92,29471.73,26772.74,27904.68,27034.1,28224.51,26833.57,26652.34,26507.28,27547.98,27061.83,26210.14,24635.1,25229.85,19318.55,22057.62,21437.21,19689.87,20371.63,20605.13,20759.69,21291.08,21263.93,21554.76
Bulgaria,10084.04,7876.68,6629.67,6920.97,8442.82,10485.91,10347.01,9560.74,7159.79,6282.96,7230.48,7186.49,6464.14,7131.12,7240.12,7712.06,7504.14,8018.06,7191.8,4156.86,4441.44,5016.99,4780.17,4754.73,5115.24,5764.4,6051.32,6407.65,6525.73
Canada,56911.75,58355.78,56116.89,55819.45,57714.2,58333.56,60605.36,60121.92,56942.23,54457.12,54004.66,51988.62,53993.35,56058.63,60156.7,56553.91,56981.88,55570.69,55189.43,48171.46,51435.9,55111.76,59280.21,56815.34,54735.99,54339.91,55227.84,54017.1,56319.99
Croatia,4669.7,3532.58,2918.47,2395.86,2645.65,2461.83,2450.29,2676.19,2420.39,2838.5,3132.26,3123.47,3098.4,3127.49,3490.06,3520.26,3663.38,3833.51,3801.07,3072.35,3317.09,3156.62,2879.42,2626.15,2751.94,2823.19,2488.96,2738.02,2590.9
Cyprus,853.25,828.32,911.33,975.58,1021.15,992.65,1055.38,1027.88,989.74,1011.33,1053.93,1044.36,1092.02,1105.82,1197.75,1218.04,1231.32,1258.23,1259.59,1094.86,969.23,925.44,885.96,1113.3,1329.63,1243.39,1262.44,1316.63,1255.77
Czechia,17113.01,13847.99,14609.67,13451.41,14690.24,14188.95,14886.38,15802.86,15927.05,13406.17,14890.03,14158.91,13956.6,15013.31,15955.68,14827.22,15870.6,16652.13,16607.65,14085.79,15063.17,15298.82,15064.47,14907.93,15696.9,15350.06,15525.91,15610.65,16262.9
Denmark,2343.82,2471.75,2526.39,2604.36,2722.96,2900.59,3047.14,3133.63,3265.81,3542.96,3706.07,3558.21,3488.04,3493.85,3319.61,2789.91,2847.7,2883.77,2578.09,2154.58,1934.35,2076.38,2114.42,2085.18,2049.64,1884.5,2102.67,2091.89,2142.45
