Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,192652.63,174152.41,111436.68,93185.53,82739.52,58937.21,60220.06,53327.54,33704.52,45190.98,56003.12,78965.38,66584.68,80422.58,66360.51,91008.63,84063.5,97714.7,82687.95,71906.06,52966.14,30517,10600.59,5621.19,9328.51,202.36,-22714.19,-27125.75,-20600.83
Austria,-11988.44,-16690.02,-11662.54,-11957.08,-11830.15,-13138.41,-10549.32,-19061.03,-17188.78,-19493.22,-16391.44,-19234.07,-14226.87,-4834.26,-9152.02,-10622.14,-5158.7,-5397.86,-4157.73,-4448.81,-5777.06,-6004.82,-5347.52,-4396.24,-4602.89,-4439.01,-4270.88,-4851.86,-5152.67
Belarus,-20565,-23875.16,-21874.41,-17447.06,-27220.67,-28282.31,-27354.51,-25529.48,-24472.62,-31399.3,-32551.88,-31454.66,-28224.21,-24417.74,-26059.64,-28349.64,-31583.64,-32250.63,-31905.04,-37621.86,-39365.51,-36858.17,-31296.24,-34382.61,-29344.74,-26626.22,-20467.01,-13076.16,-22631.25
Belgium,-3237.68,-2771.1,-2591.14,-2608.5,-2354.5,-2588.46,-2545.13,-2327.21,-2881.03,-2121.42,-1754.72,-1700.26,-1711.55,-1668.38,-1580.06,-1567.43,-1556.1,-1350.95,-1099.92,-1126.34,-701.85,-617.4,-713.24,-1231.53,-1211.53,-1262.35,-1024.94,-1022.23,-1014.62
Bulgaria,-19323.9,-19321.44,-18759.48,-18946.72,-18979.61,-18993.4,-18553.33,-18594.08,-19208.38,-18040.37,-18321.96,-10172.24,-10561.25,-10187.72,-10983.1,-12504.49,-13923.14,-14925.56,-13246.2,-13325.08,-12660.04,-9778.27,-9197.32,-7902.22,-9172.79,-8681.39,-8642.06,-8396.67,-8460.61
Canada,-59626.7,-65277.64,-57758.69,-51138.02,-52987.17,-39969.51,-47948.64,-49142.82,-55999.14,-45284,-31791.23,-47756.01,-33995.96,-39990.46,-17337.16,-12706.15,-21645.98,-24509.63,-29703.04,-41634.13,-25243.52,-25386.77,-28063.62,-25247.86,-24720.6,-18154.03,-18527.79,-16413.71,-12860.68
Croatia,-6421.45,-7672.47,-7809.03,-8080.88,-8374.88,-8954.56,-8619.43,-8108.22,-7841.74,-8532.14,-6950.36,-7829.48,-8121.88,-7292.52,-7587.13,-7806.21,-7588.72,-6792.64,-7154.15,-7107.59,-6926,-5723.58,-5277.48,-6060.32,-6086.28,-5122.14,-5179.72,-4489.61,-5094.23
Cyprus,-218.97,-212.04,-218.38,-233.56,-222.81,-238.77,-244.44,-225.59,-181.67,-292.4,-35.02,-186.76,-276.67,-284.99,-283.64,-303.27,-381.73,-239.88,-417.75,-429.02,-398.11,-434.67,-421.38,-439.78,-435.67,-431.89,-49.78,-419.22,-399.22
Czechia,-5686.64,-8910.93,-9585.28,-9213.6,-6952.68,-7398,-7765.62,-6814.9,-6915.71,-7149.2,-8042.42,-8332.18,-7956.23,-6451.43,-6924.79,-7332.82,-5002.13,-2736.49,-5991.39,-7067.94,-6239.91,-7271.82,-7433.22,-6788.18,-6669.41,-5812.77,-4683.55,-2315.29,5794.15
Denmark,6456.83,5751.83,6991.67,5792.31,4906.7,4986.51,4461.83,4761.95,4722.53,5008.15,5240.46,5525.14,6579.34,6347.89,6021.54,5942.48,6120.72,3669.62,-861.73,3309.41,546.11,-986.33,683.4,1918.29,1583.44,5159.32,6166.91,4486.72,6594.75
Estonia,-1626.32,-1502.12,-995.77,-2003.96,-1495.21,-1814.83,-1887.64,-2149.24,-2865.38,-2278.82,-3204.83,-3469.38,-3001.02,-4912.5,-3588.86,-556.66,-1633.22,-1668.42,-2028.98,-2798.8,-3739.5,-4091.07,-3636.26,-3207.48,-1558.03,-2216.02,-2439.28,-1834.63,-1990.18
European Union,-254905.24,-281289.16,-249926,-250754.47,-259786.31,-282651.71,-311160.01,-308868.99,-323815.69,-332848.89,-313971.75,-331193.81,-315010.47,-293968.42,-324230.74,-319864.56,-343076.41,-307963.23,-338740.02,-337891.55,-334759.08,-329764.87,-331929.88,-333665.55,-312307.71,-303218.77,-296191.76,-261677.06,-272964.37
Finland,-14765.66,-27180.79,-21079.9,-21230.49,-14562.58,-14061.74,-21377,-17309.04,-15548.85,-17836.77,-18897.82,-20774.1,-21843.58,-22335.25,-23502.6,-24430.46,-30538.1,-22555.85,-21281.66,-33852.75,-22462.39,-22734.14,-25449.92,-19041.5,-21342.58,-18869.43,-16753.46,-17182.48,-10267.82
