Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,37382.88,37590.53,39782.95,38220.64,35835.4,37163.35,37604,40350.06,40724.29,37438.3,40396.76,40018.65,38693.53,37258.06,37704.9,38930.47,40110.17,42203.18,42489.18,42427.96,42676.92,41847.45,42260.74,42384.05,41192.65,45792.7,48448.81,51081.02,54449.83
Austria,701.81,569.1,612.01,580.42,470.33,464.03,391.64,436.27,463.6,496.35,496.47,514.6,498.84,515.39,465.79,437.13,465.43,471.64,432.4,480.19,467.83,461.06,474.46,471.5,438.11,424.36,391.83,427.08,370.34
Belarus,983.42,915.74,1020.53,980.07,938.87,918.4,1010.12,1060.34,1008.69,949.09,1049.65,1040.86,1055.06,1091.38,1145.86,1077.72,1153.68,1340.45,1218.51,1063.33,1159.16,1080.51,1095.03,1094.37,1089.52,1055.61,1043.32,1053.5,1092.55
Belgium,1237.43,1087.38,942.23,984.81,867.09,873.85,860.34,825.54,807.64,816.78,855.98,829.57,805.74,740.61,724.21,743.07,765.21,746.4,719.33,720.45,761.3,705.61,676.59,670.69,645,668.05,643.43,654.63,659.9
Bulgaria,2229.75,1895.17,2119.99,2151.82,2031.72,2123.22,2074.85,1886.78,1600.44,1333.5,1419.55,1309.13,1562.24,1708.57,1293.89,1316.46,1193.95,1322.82,1341.76,1493.6,1601.4,1854.9,1684.82,1552.55,1545.7,1886.85,2001.45,2163.11,1849.15
Canada,48955.44,50517.55,54740.6,57260.26,60676.62,63742.05,68268.63,70415.56,72558.65,69902.76,69425.75,67279.4,64893.6,63245.24,62930.08,60907.54,61286.07,60830.74,59382.07,55165.74,54630.84,55397.13,58567.39,60674.07,62801.49,60302.33,54875.95,55343.46,55464.88
Croatia,1029.98,944.21,1055.34,1139.69,1024.07,1153.41,1114.66,1059.94,957.27,923.15,964.89,1034.9,1055.36,1009.79,1057.22,1037.62,1069.43,1043.71,939.55,868.3,836.96,830.69,707.27,674.57,646.85,458.05,425.71,496.69,450.27
Cyprus,0.4,0.49,0.46,0.5,0.58,0.53,0.48,0.66,0.69,0.75,0.75,0.74,0.69,0.62,0.18,"NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE"
Czechia,11861.51,10628.49,10089.97,9933.16,9443.89,9305.01,9154.53,8991.38,8636.07,7880.77,7126.06,6752.45,6304.75,6214.92,5947.45,6409.12,6635.19,6183.33,6136.42,5728.65,5791.51,5756.46,5539.99,4571.22,4513.8,4387.76,4030.88,3636.91,3321.92
Denmark,516.56,923.56,957.67,845.52,844.73,699.38,761.44,1035.08,816.37,1566.31,1089.53,1154.36,1026.4,1017.77,1133.99,876.53,849.67,849.87,646.82,463.64,567.53,420.58,366.99,391.89,397.58,391.49,419.11,383.11,363.59
Estonia,50.27,50.41,29.45,14.61,20.98,23.93,26.39,25.64,24.34,23.69,27.23,29.24,24.49,26.99,31.85,32.85,33.26,33.08,31.7,21.53,23.11,20.84,21.68,22.35,17.47,15.53,17.08,16.22,16.48
European Union,193577.44,181015.06,176701.28,173482.52,162750.34,164381.24,159288.33,160192.33,150285.28,145166.71,129819.76,125834.08,124285.55,122916.45,115177.33,113287.18,109563.42,105239.09,103162.5,96711.04,96221.07,95436.22,93996.28,92333.94,89687.14,88907.02,85563.63,85816.62,82640.46
Finland,123.03,151.76,175.87,240.56,159.62,167.58,159.5,185.21,148.03,122.13,121.42,131.05,125.96,126.24,118.18,143.14,120.92,137.94,152.26,127.08,141.7,127.46,143.11,119.2,116.51,145.75,138.23,178.3,120.95
France,10999.43,10756.12,10905.92,10876.29,11222.32,10996.28,9922.43,9281.15,9111.15,8624.98,7862.36,7598.83,6757.22,6634.55,6180.45,5860.59,6066.6,6155.99,6429.73,6144.96,5795.06,5471.01,4845,4526.45,4292.38,4168.63,4203.7,4052.91,4108.12
Germany,37696.69,36673.04,34392.15,35425.8,32344.27,31038.79,30079.17,29519.95,26848.57,27818.68,25887.35,23509.19,22306.42,20529.84,17801.97,16052.82,14359.76,13084.2,12661.49,11038.56,10904.42,10833.72,11633.7,11180.42,10200.15,10310.58,9739.79,9667.9,8525.69
Greece,1209.31,1225.87,1267.11,1248.71,1282.54,1299.78,1351.64,1331.9,1382.98,1392.57,1462.22,1508.96,1601.36,1556.64,1599.61,1589.46,1492.72,1543.22,1531.36,1508.49,1335.4,1400.1,1486.18,1279.34,1199.28,1105.82,826.58,957.12,926.05
Hungary,2894.85,2839.03,2456.69,2324.02,2419.44,1701.73,1733.17,1598.83,1519.58,1441.06,1395.71,1286.05,1319.05,1336.43,1132.99,1010.26,996.15,927.17,974.08,918.35,937.12,876.98,780.9,742.87,703.55,688.26,733.44,819.92,808.66
Iceland,62.04,70.54,68.27,86.03,70.79,82.93,82.04,67.65,84.73,112.64,154.66,145.3,148.95,137.84,124.53,119.9,129.84,150.46,189.06,172.96,194.71,183.52,175.33,177.13,187.5,167.69,152.49,149.81,159.78
Ireland,104.42,95.01,90.29,93.87,92.51,92.87,92.97,90.73,77.35,116.58,80.69,149.99,71.49,739.02,79.66,70.93,82.41,90.62,85.08,80.46,86.96,79.6,78.06,76.18,71.84,72.65,73.49,78.97,80.41
Italy,12926.96,12757.42,12802.24,12861.48,12552.68,12170.76,11857.18,11987.09,11925.08,10891.8,10868.85,10271.29,10105.28,10514.13,9521.65,9420.62,8800.7,8608.32,8695.08,8191.14,8641.81,8792.05,8666.94,8597.71,8127.53,7635.97,7017.91,7179.22,6799.32
Japan,5164.84,4684.17,4213.15,3577.24,3168.16,3168.66,2884.25,2776.68,2506.62,2493.04,2347.45,2148.54,1582.61,1523.49,1454.37,1484.32,1535.62,1590.84,1512.14,1417.39,1359.39,1344.73,1340.91,1254.54,1255.24,1212.33,1251.43,1236.5,1154.83
