Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Kazakhstan,84748.01,82665.54,77368.59,70117.54,64215.29,57696.96,57357.68,60842.47,63591.91,62052.64,71355.3,36414.3,35388.03,39151.75,40012.43,39053.08,41078.99,42152.31,44817.25,42305.68,45852.34,47410.52,47420.07,48134.11,46108.44,43439.6,44571.63,45234.44,47736.02
Latvia,247.59,238.49,217.43,207.94,203.2,197.89,190.68,177.96,170.75,162.79,150.64,146.09,152.57,119.08,117.87,133.19,95.53,98.07,100.7,95.13,91.61,63.03,79.61,101.01,135.33,102.81,116.59,152.7,91.07
Liechtenstein,0.36,0.43,0.48,0.52,0.55,0.6,0.66,0.68,0.74,0.79,0.83,0.89,0.94,0.99,1.04,1.09,1.12,1.13,1.16,1.1,1.13,1.11,1.13,1.15,1.12,1.15,1.15,1.18,1.17
Lithuania,288.94,284.48,279.09,283.72,278.25,285.13,292.56,314.62,316.12,269.65,303.64,313.99,317.88,303.1,344.26,376.74,354.19,314.86,368.63,440.83,497.45,431.38,475.58,506.44,532.68,501.72,555.05,525.26,522.74
Luxembourg,19.39,20.11,20.99,21.79,21.94,25.01,27.36,27.98,28.2,29.2,29.98,33.32,47.72,48.36,53.67,52.87,55.48,51.91,49.64,50.18,53.96,46.78,47.85,40.74,38.47,34.6,31.8,31.32,30.98
Malta,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Monaco,1.78,1.58,1.38,1.1,0.83,0.69,0.69,0.69,0.69,0.69,0.66,0.62,0.62,0.62,0.62,0.65,0.65,0.64,0.61,0.59,0.59,0.59,0.59,0.58,0.57,0.57,0.57,0.55,0.55
Netherlands,2828.34,2759.05,2688.92,2618.54,2552.77,2482.03,2281.96,1783.63,1604.17,1319.96,1287.32,1174.89,2080.61,1997.33,1899.54,2026.93,1936.53,2073.11,1902.45,1891.93,1976.58,1833.89,1669.8,1859.72,1788.37,1686.36,1712.19,1661.24,1580.45
New Zealand,1337.12,1323.56,1336.67,1295.45,1344.85,1318.82,1720.02,1670.34,1677.74,1668.73,1640.49,1698.03,1633.69,1511.64,1700.52,1759.26,1918.18,1854.62,2193.23,2390.16,2644.87,2410.32,2098.32,1878.14,2049.92,2189.16,2011.25,1940.09,1779.6
Norway,3410.47,2811.95,3225.85,3493.76,3652.34,3559.87,3980.4,3878.11,4020.8,4613.24,4898.09,4600.14,3990.16,3822.4,3640.32,3512.39,3361.97,4681.11,3863.08,3237.01,3379.65,3362.6,3357,3335.62,2927.42,3203.56,3067.17,2855.8,2745.63
Poland,26485.75,22187.03,22263.54,21242.22,20670.52,21666.92,21218.95,22123,20744,21302.56,21503.88,23527.51,22558.08,23551.95,22909.07,23718.93,24170.35,23322.03,23328.81,21690.42,21940.23,22281.51,22539,23560.72,23528.45,24523.07,24366.66,24295.39,24008.87
Portugal,266.78,257.11,258.55,283.21,508.44,587.2,531.42,632.25,619.1,554.11,507.67,606.31,605.93,668.51,684.57,668.83,657.05,663.1,640.5,592.9,694.88,641.25,741.31,1305.74,1123.79,1244.27,1176.68,1258.02,1202.57
Romania,31232.78,26537.39,24648.42,23548.26,24099.9,24979.53,24523.61,29769.71,28115.5,27386.47,17791.55,16611.05,18489.75,19192.93,17672.25,18107.01,17372.67,15685.63,15449.37,13903.28,13280.83,12860.86,12317.77,11444.18,11149.69,10560.35,10126.3,10100.69,9878.62
Russian Federation,276892.03,259227.06,243020.19,225771.98,207219.99,203227.05,201053.14,198487.32,194715.54,201729.22,206711.49,211196.21,218796.76,231278.12,242723.38,249252.93,256796.26,263492.7,253845.78,231955.16,254159.63,262814.42,264667.26,259223.99,247539.17,240746.89,246652.8,264157.81,279193.45
Slovakia,2412.6,2430.07,2454.4,2417.56,2448.84,2465.43,2482.06,2423.65,2551.63,2565.17,2345.69,2236.95,2188.44,2130.29,2223.74,2167.86,2002.89,1943.05,2077.69,1851.21,1896.68,1965.02,1496.82,1661.89,1482.49,1602.89,1688.53,1736.53,1590.98
Slovenia,511.65,476.22,523.14,479.78,460.65,487.31,469.42,502.32,498.99,477.75,472.3,466.58,510.03,538.41,538.59,526.28,537.54,544.89,527.06,519.28,521.75,531.38,517.58,458.84,358.94,370.4,397.06,408.4,389.69
Spain,3548.47,3220.72,3476.32,3346.64,3517.6,3195.39,3099.74,3117.86,3062.26,3104.67,3183.57,3077.11,3116.21,2863.44,3125.33,3142.32,3297.35,3430.7,3170.59,3013.93,2956.99,3310.62,3863.2,4325.6,4486.28,4001.2,4035.31,4062.39,4048.32
Sweden,429.57,388.65,417.15,451.57,403.55,443.08,435.4,470.3,481.34,488.48,486.01,490.04,478.6,492.9,496.63,464.68,909.49,945.84,948.84,946.74,902.31,907.48,919.97,770.09,838.77,886.19,702.85,861.6,882.91
Switzerland,362.6,399.8,412.66,427.43,433.23,429.99,429.81,414.38,397.51,379.73,358.64,345.71,331.33,315.6,309.24,312.09,290.69,279.26,274.27,267.81,278.87,283.08,259.2,235.45,226.08,217.99,219.23,220.21,218.77
Turkey,4509.85,4299.64,4244.58,4133.49,3998.86,4022.56,4059.72,4364.36,4744.85,5720.49,6145.39,5702.4,5417.51,5190.18,5134.4,5752.07,6085.51,7948.98,8409.62,8128.12,8226.06,9064.72,9381.28,8523.65,10216.36,5496.14,8595.77,6698.73,7661.85
Ukraine,127473.81,122515.83,116777.96,110432.59,103352.43,96024.28,95720.28,94416.08,93473.75,96291.8,89215.65,87642.59,79398.33,80909.23,78572.86,75703.76,73838.14,74520.18,70289.38,63529.82,62682.79,62989.89,57688.35,53411.33,47980.22,41139.9,45958.65,43000.23,45706.65
United Kingdom of Great Britain and Northern Ireland,41723.05,41618.52,41555.79,39859.9,32807.77,35454.99,34154.59,30592.73,27773.85,24056.61,22098.25,21069.66,20174.22,18338.42,18022.51,16900.74,15242.72,14967.35,13820.93,13929.6,13515.45,12931.73,12221.88,11421.83,11307.95,11033.21,9991.79,10010.79,10012.21
United States of America,381503.25,380816.54,375824.21,361489.94,363523.91,353709.46,350084.26,347482.65,337268.05,325795.19,323714.83,324199.62,316394.54,315501.53,316736.37,312097.2,320605.62,317007.58,331694.27,322352.33,322882.41,316552.48,311140.12,320404.4,322766.26,319203.19,295451.11,301099.06,313994.49
