Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,20026.01,20004.84,19754.05,19593.47,18901.65,18854.43,17235.5,16967.65,16145.53,16234.64,15661.82,15873.62,15988.21,14909.94,14519.5,14388.93,14177.03,14516.3,14991.83,14902.72,15221.54,14581.6,13083.34,12469.74,12554.12,12062.09,12588.73,12654.38,12691.19
Austria,3926.27,3995.61,3947.77,3922.41,3824.65,3652.69,3464.28,3316.56,3196.66,3077.13,2965.02,2868.39,2866.09,2869.66,2933.14,2794.34,2674.62,2546.74,2434.52,2287.96,2161.3,2045.91,1945.67,1827.34,1724.25,1640.63,1560.15,1487.22,1419.52
Belarus,3164.24,3077.51,2777.24,2596.36,2524.28,2524.73,2852.8,2954.15,3091.13,3253.72,3390.05,3412.53,3492.9,3728.61,4331.38,3844.85,4080.13,4148.64,5021.58,5029.63,5425.41,5348.03,5414.23,5898.22,6081.61,6187.64,6059.94,6130.66,6306.21
Belgium,4398.75,4549.3,4670.51,4499.83,4583.72,4562.61,4471.27,4524.48,4379.83,4121.23,4007.57,3571.05,3588.9,3257.14,3298.56,3121.98,3106.99,3063.84,2858.41,2683.94,2586.7,2371.77,2287.29,1908.1,1728.07,1669.7,1551.25,1560.12,1446.96
Bulgaria,7977.03,7667.84,7645.88,7437.04,6555.22,6999.15,7025.84,6983.05,6725.78,6495.01,6380.58,6034.83,5761.79,5911.74,5797.28,5389.7,5220.36,5088.47,4919.85,4763.83,4611.06,4579.36,4428.22,4475.96,4320.8,4225.9,4085.61,3780.74,3676.96
Canada,20711.04,20838.73,20862.21,21117.55,21386.38,21226.7,21068.66,17915.62,17595.7,19072.2,19627.61,18961.18,19599.12,19499.57,19846.85,19897.84,19952.98,19795.92,18798.22,17756.01,17159.89,17178.25,17223.49,17467.26,17481.17,17953.46,17956.79,17933.82,17652.42
Croatia,1051.44,1071.23,1093.58,1114.71,1143.7,1168.98,1186.01,1221.54,1246.85,1293.24,1339.39,1364.28,1411.37,1456.87,1516.13,1518.4,1616.13,1707.21,1801.22,1852.63,1910.88,1941.87,1941.11,1790.9,1908.79,1954.64,2098.1,2100.93,2038.55
Cyprus,393.34,397.88,406.63,415.82,427.43,435.53,440.35,448.65,455.42,463.03,471.54,480.64,487.46,489.66,492.7,500.16,499.33,501.06,508.94,513.41,515.65,519.16,529.52,540.84,551.2,559.24,565.09,571.54,576.71
Czechia,3124.51,3266.79,3275.76,3356.73,3503.45,3510.88,3549.21,3665.98,3792.03,3806.09,3853.46,3993.32,4126.98,4285.11,4234.83,4294.58,4371.05,4314.32,4511.55,4621.05,4861.48,4917.13,5077.39,5373.05,5403.39,5511.01,5567.02,5645.77,5704.49
Denmark,1779.34,1787.02,1767.67,1766.75,1699.92,1615.79,1567.22,1492.19,1444.23,1506.54,1504.87,1539.21,1568.69,1579.03,1274.06,1263.98,1322.22,1310.81,1288.03,1244.24,1167.39,1154.17,1115.97,1092.66,1091.72,1073.55,1110.17,1136.16,1154.4
Estonia,369.93,382.78,394.21,411.91,410.4,397.97,435.64,491.47,508.51,515.44,562.45,570.03,557.94,546.46,540.18,515.19,499.77,494.43,478.62,500.59,494.31,456.56,441.41,407.72,363.8,356.69,340.4,328.7,320.99
European Union,240731.69,244303.87,246408.48,247342.33,246896.24,247696.58,247204.02,244340.52,240705.98,235312.62,232218.16,228151.06,224161.01,218365.33,209807.21,202964.63,196625.78,189924.03,181988.26,176069.73,168601.13,162845.27,158683.05,152403.38,146656.98,144159.86,140974.84,139781.12,137988.26
Finland,4669.16,4724.01,4736.6,4731.18,4667.27,4596.02,4490.98,4364.13,4166.32,4064.46,3817.15,3657.7,3404.29,3204,3049.73,2812.15,2887.36,2785.31,2665.02,2561.24,2563.1,2475.15,2417.6,2293.73,2159.97,2092.65,1955.49,1856.98,1819.81
France,17562.2,18232.5,19036.12,19821.31,20364.81,20798.79,21065.13,21218.79,21668.45,21927.86,22309.61,22489.56,22625.08,22659.54,22379.83,22185.36,22029.97,21668.73,21487.04,20872.18,21018.94,20536.19,19813.09,19359.48,19130.79,18090.27,17812.65,18159.67,17631.9
Germany,38301.93,39678.09,40252.98,40063.97,39266.93,38287.73,36833.5,33878.11,31739.25,30096.03,28527.79,26858.68,25472.57,23960.49,22653.03,21299.26,19489.91,18179.73,16948.8,15726.39,14597.71,13818.03,13045.98,12286.8,11687.73,11183.22,10735.36,10222.23,9728.43
Greece,4864.81,4840.61,4938.99,4990.99,5143.76,5151,5250.38,5212.48,5390.82,5344.85,5355.96,4574.03,4528.64,4653.92,4660.76,4758.33,4929.16,4752.61,4766.73,4487.82,4769.11,4537.2,4309.69,4408.57,4468.55,4450.91,4514.66,4645.55,4745.89
Hungary,3679.82,3755,3796.88,3842.9,3877.97,3920.16,3930.45,3977.97,4022.15,4083.24,4150.4,4149.5,4219.71,4264.29,4228,4203.41,4146.61,4174.12,4160.69,4186.54,4148.98,4017.37,4015.9,3799.06,3704.04,3580.28,3456.37,3481.77,3443.39
Iceland,227.47,235.68,250.76,266.33,273.93,287.81,302.95,311.44,304.45,312.78,324.93,334.39,346.69,341.38,345.51,330.27,358.04,361.23,343.48,330.47,323.74,303.13,282.13,293.25,282.72,283.17,269.6,265.48,276.37
Ireland,1552.05,1632.81,1698.23,1748.28,1792.85,1829.18,1708.48,1432.63,1475.58,1480.7,1492.77,1605.35,1710.23,1765.47,1485.1,1291.97,1328.18,848.84,693.8,521.65,506.19,592.43,517.29,672.62,855.01,936.3,941.61,919.16,890.1
Italy,17304.42,17968.1,18354.1,18825.08,19468.61,19996.08,20665.43,21313.02,21056.9,21055.97,21890.21,23189.23,22452.67,22319.87,21728.78,21883.42,21348.84,20981.99,20439.12,20573.25,20404.19,19758.77,19857.79,18628.2,18472.58,18579.29,18288.19,18251.86,18290.07
Japan,29731.99,29715.82,30871.12,30421.24,32895.35,33056.87,33305.26,33664.92,33264.61,32720.29,32482.5,30800.17,29705.62,29364.91,28466.6,27654.87,26284.39,25958.29,26603.52,23544.84,23344.83,22354.59,22668.17,22411.21,21504.12,21303.51,20367.04,19872.79,19266.71
