Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,294160.6,296723.7,303302.86,306132.74,306816.1,319010.96,326382.15,337428.47,350826.96,355754.67,364493.62,371692.01,374821.19,380298.14,393747.53,399886.36,406112.13,413510.77,419107.33,424132.3,419501.84,416960.06,422073.73,414672.17,409306.24,419452.07,430158.62,433806.55,435570.94
Austria,52815.5,56472.07,51842.89,52181.86,51810.39,54357.82,58430.2,57024.77,56865.18,55730.82,55299.82,59460.94,60685.36,66326.42,66335.91,67006.65,64070.48,60776.84,59837.45,56737.46,59448.34,57124.93,54917.78,55168.78,51380.02,53037.79,54162.92,56013.09,54693.38
Belarus,97910.73,91133.99,83838.64,72805.7,59929.44,54608,55505.65,55727.26,53984.28,51619.47,51872.67,52494.87,51501.3,52324.41,55768.14,56552.31,59215.34,58624.56,60575.94,56244.7,57825.59,56783.32,57546.98,58506.61,57278.8,53367.33,55356.55,55747.47,57012.49
Belgium,103793.07,107462.24,105841.26,105712.09,107421.32,107735.61,112080.15,106262.43,110651.43,105339.44,106183.68,106641.62,106979.41,108102.76,107924.48,105776.14,104022.14,101884.62,101539.59,94864.88,99540.94,89951.22,89139.87,88844.95,82846.8,86947.85,85416.49,85142.03,85559.9
Bulgaria,71271.69,57004.07,54053.7,54335.36,51097.39,51196.2,51767.8,49738.81,48931.14,42451.94,40763.64,44414.97,42589.36,46423.06,45061.96,45845.93,46900.26,50544.35,49881.86,44254.54,46219.59,51293.93,46496.37,40718.71,43055.73,45694.13,42622.42,44939.01,41197.21
Canada,478660.01,468909.26,486994.43,488346.48,505384.55,519548.6,537608.71,552779.81,562679.99,577594.93,600027.85,592270.51,594271.9,606735.58,602108.18,593443.04,585000.09,608556.53,590065.68,558390.81,566899.52,575251.28,576757.02,587303.27,591490.45,589854.89,573678.59,583505.24,595995.22
Croatia,21731.26,16157.22,15446.33,16130.13,15122.09,16033.19,16659.86,17488.08,18332.6,18842.65,18194.81,19227.94,20370.97,21770.3,21176.65,21583.44,21655.05,22896.94,21721.58,20561.11,19749.48,19499.55,18077.21,17323.06,16386.24,16625.21,17009.5,17388.08,16443.04
Cyprus,3972.44,4506.04,4834.78,5012.86,5226.2,5135.42,5432.24,5556.95,5901.52,6167.13,6379.92,6274.51,6433.7,6825.81,6961.73,7139.56,7321.72,7644.82,7810.88,7732.01,7501.87,7202,6718.93,5799.49,5962.75,6086,6485.44,6591.98,6479.73
Czechia,161316.31,148335.49,142964.25,137686.29,129782.71,129383.73,131977.81,126745.62,120695.04,113604.42,122160.27,122456.86,119133.36,121632.28,121393.72,120597.29,120708.46,121573,116519.27,110924.69,112491.76,110056.97,106041.83,100713.78,97707.07,98813.64,100182.03,99013.34,96875.7
Denmark,53678.41,64334.93,58488.22,60665.68,64671.71,61642.6,75139,65672.13,61616.29,59221.31,54857.79,56685.17,56162.27,61461.87,55866.7,52180.07,60092.62,55274.13,52013.76,49940,50605.25,45252.56,40673.55,42448.31,38159.44,35835.44,37459.08,35263.83,35320.79
Estonia,36237.6,33220.56,24008.01,18741.48,19342.83,17693.82,18430.7,17940.74,16340.96,15239.31,14848.09,15166.09,14865.15,16679.46,16836.83,16576.28,15837.66,19319.09,17119.09,14290.14,18708.38,18646.21,17243.94,19035.5,18536.35,15791.75,17394.66,18512.8,17590.08
European Union,4346403.88,4313749.31,4180808.74,4100487.07,4052876.74,4086096.15,4196025.01,4102569.81,4090955.71,4028865.66,4018055.65,4092165.42,4074509.17,4158282.73,4151490.52,4129793.76,4128589.41,4072825.14,3992220.98,3709011.98,3807923.93,3657507.31,3614453.49,3521930.57,3337424.99,3377393.82,3356515.12,3362610.74,3279195.41
Finland,53504.41,52162.49,51534.22,53491.7,58770.26,55308.79,61057.52,59473.4,56148,55535.27,53738.11,59172.88,61772.83,69369.98,65498.74,53720.13,64828.07,62833.59,54501.85,52657.8,60255.68,52825.96,47581.04,48148.57,44313.27,40615.47,43396.55,41018.61,42138.7
France,383643.53,410598.47,401619.2,381655.69,375017.61,381576.33,397945.15,389515.51,408359.71,404055.7,397045.91,402370.48,396940.52,403791.23,403162.21,406136.98,395446.83,383999.13,377842.14,365346.06,371656.13,344982.86,348267.05,350361.41,318710.57,324628.75,327922.01,332228.88,318344.48
Germany,1037047.95,1000028.6,951183.96,942071.13,919596.54,918029.11,938904.97,907443.15,897734.57,873130.05,870053.32,890520.98,874058.74,869269.45,852494.84,832076.6,841827.22,815772.41,821431.44,763486.91,801507.8,777889.63,784620.31,801818.98,761972.68,766928.74,769721.18,752375.67,720283.83
Greece,77026.71,77145.94,79136.52,78787.37,81025.24,81090.93,83307.38,87849.36,92575.73,92015.85,96797.04,99249.24,99100.26,102987.53,103470.46,107296.89,106000.22,108238.87,105340.28,100362.64,93154.84,92035.78,88303.55,77926.24,74491.1,71189.97,66966.07,70259.1,67307.35
Hungary,68483.44,67003.97,59859.44,60696.22,58126.29,57176.72,59010.59,58073.63,57751.9,58237.96,54652.91,56527.63,55319.78,58277.91,56439.68,55907.4,55192.03,53698.5,52961.69,48281.09,48580.65,46796.23,43611.13,41183.84,40668.4,43118.63,44247.53,45856.93,45518.85
Iceland,1869.45,1783.9,1926.94,2039.25,1978.97,2070.06,2127.1,2167.51,2161.67,2221.98,2204.98,2090.14,2198.02,2187.41,2287.2,2172.99,2235.6,2382.69,2252.43,2150.5,2063.27,1915.04,1860.99,1825.38,1837.35,1859.44,1835.12,1877.88,1919.91
Ireland,31022.1,31873.07,31764.6,31943.19,32912.37,33824.93,35439.43,36550.49,38763.59,40177.37,42485.77,44593.69,43375.18,44008.83,43808,45711.73,45227.68,45162.46,45270.62,40798.36,40427.94,36925.88,36998.84,35816.79,35114.72,36665.91,37998.08,36840.01,36582.87
Italy,423554.83,423652.5,423392.65,418550.75,413868.06,436218.78,432827.42,438743.35,451238.89,455620.33,457279.71,456240.08,463313.52,481016.19,484667.32,485343.25,479968.24,472617.42,464000.87,415215.27,426135.81,413493.02,396697.44,364302.21,344619.74,357288.61,353492.94,348508.32,344328.09
Japan,1091949.91,1102187.78,1110605.61,1104545.66,1155275.97,1167367.36,1178176.03,1173423.51,1139418.23,1175980.2,1197996.46,1185732.55,1217352.92,1226137.64,1221820.71,1228529.46,1205663.45,1241802.6,1174201.84,1112598.38,1162557.71,1213252.84,1253720.47,1261142.96,1210491.34,1171633.99,1152745.61,1137005.95,1085718.54
Kazakhstan,333240.64,322598.82,295549.28,263886.85,227737.22,212792.33,199943.54,192039.51,190642.18,160545.1,192988.12,152112.54,168466.59,188262.07,198444.89,210378.69,230886.55,237503.69,241408.59,235980.14,265085.25,256358.36,262407.36,268738.4,292205.99,297861.27,297284.71,316946.08,331185.68
Latvia,19338.2,17890.88,14522.18,12426.54,10762.33,9535.07,9606.49,9037.99,8629.54,7995.85,7380.98,7805.43,7809.05,7994.49,8020.65,8133.93,8567.36,8900.69,8439.63,7729.63,8503.42,7634.48,7319.53,7259.55,7079.78,7191.63,7263.66,7245.71,7697.11
Liechtenstein,201.06,208.63,209.41,217.58,203.61,206.79,208.63,221.18,232.07,229.42,219.77,217.46,222.74,232.04,231.85,231.46,233.61,203.22,222.1,207.92,193.34,179.25,187.84,195.05,163.51,162.03,152.16,158.6,146.08
Lithuania,33128.54,35183.32,19923.52,16043.91,15111.43,14168.72,14641.08,14188.8,14912.09,12454.34,10917.63,11588.39,11644.45,11652.62,12307.62,13160.12,13213.31,13455.73,13333.09,12153.56,13136,12285.16,12319.03,11701.95,11318.64,11276.24,11616.64,11545.56,11906.72
Luxembourg,10300.98,11005.6,10845.78,11010.42,10294.83,8259.92,8367.77,7830.49,7110.58,7529.1,8088.16,8644.21,9416.09,9945.22,11262.92,11549.32,11332.65,10736.92,10657.78,10180.03,10738.32,10615.41,10416.93,9884.09,9394.03,8906.86,8628.29,8794.37,9112.19
Malta,2417.35,2263.65,2324.28,2903.18,2680.87,2470.29,2589.25,2596.82,2555.95,2639.59,2557.3,2676.16,2718.57,2991.5,2857.9,2665.35,2676.4,2747.33,2759.41,2542.43,2592.35,2587.69,2771.3,2440.33,2445.05,1737.28,1402.14,1560.44,1538.42
