Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,15604.4,15770.11,16215.67,16671.07,16540.27,17156.23,17486.13,17677.45,17853.94,17837.28,18222.85,19055.64,19131.49,19734.66,19662.46,20076.93,20233.66,20072.38,20421.54,20596.65,20930.86,21346.48,21791.5,22215.29,22642.15,23272.18,24118.52,24669.13,24942.03
Austria,14222.78,15402.98,14818.06,14742.69,13409.57,14612.25,15655.92,14151.42,14175.68,14739.92,13543.54,14781.01,13998.66,14674.51,14156.89,13780.76,13580.79,11578.57,11956.94,11023.33,11175.12,9927.74,9494.39,9709.53,8752.21,9112.24,9408.32,9541.31,8814.56
Belarus,14204.74,12846.25,12267.14,11588.21,8766.51,8039.03,8182.39,8399.55,8106.17,7712.99,8523.49,10349.7,9865.91,10648.88,10559.39,11809.11,13210.55,13042.47,14028.86,12357.04,12651.08,14225.27,13995.46,14106.85,13040.05,12144.6,13439.27,14071.86,14264.21
Belgium,28170.79,31086.93,30902.02,31032.39,30619.07,31245.48,36519.31,32166.98,32488.9,31467.55,29920.6,32215.71,31490.87,32062.13,30625.07,30109.95,28656.36,26334.03,27885,27133.68,29858.51,24498.97,25609.27,27601.52,22833.93,24482.36,24706.95,24744.85,24704.9
Bulgaria,8132.72,5969.17,5819.95,6370.54,5780.91,4393.19,4956.14,3814.57,3909.66,3248.9,2579.06,2360.73,2817.34,2977.43,2507.83,2503.38,2768.55,2463.8,2187.29,1931.44,2112.03,2389.82,2357.21,2078.33,1771.62,1920.84,1964.63,2006.28,1837.83
Canada,86750.47,86163.69,88454.24,92572.72,93702.74,95219.51,100871.06,98229.23,89940.41,92517.57,98626.06,93505.02,97201.07,101326.98,98820.82,96216.06,90368.61,96775.66,95450.87,92699.87,90204.78,95936.92,89420.49,92051.82,95475.53,91324.94,86620.85,90949.44,97360.33
Croatia,4217.93,3592.97,3015.75,3024.97,3076.69,3310.83,3773.2,3777.39,3645.55,4061.51,3865.11,4112.1,4177.63,4466.39,4361.95,4420.06,4145.4,3798.46,3918.63,3944.02,4024.35,3788.46,3441.19,3274.76,2974.62,3219.51,3276.83,3296.57,3205.35
Cyprus,433.83,473.78,565.33,562.06,574.22,607.44,633.78,657.85,684.24,691.5,730.6,733.76,738.09,762.9,686.43,609.71,670.52,642.21,597.85,625.48,571.01,621.8,599.42,520.06,456.79,529.8,523.75,551.97,479.19
Czechia,33807.41,31908.7,23405.6,26238.8,24932.95,23162.56,21182.77,20154.36,17816.02,16829.41,17247.42,17516.72,16310.48,17518.91,17010.33,14546.59,14955.83,13503.53,13811.7,13572.14,15304.12,14228.56,14235.76,14325.34,12755.15,13071.99,13597.77,14122.66,13145.64
Denmark,9979.07,10203.04,9358.81,10006.95,9379.46,9598.38,10244.98,9436.5,9192.31,9040.25,8545.46,8796.57,8408.93,8507.65,8232.8,8123.36,7814.81,7339.08,7094.39,6882.68,7173.32,6265.34,6039.9,5957.24,5107.52,5282.19,5302.83,5227.58,5244.5
Estonia,2037.62,1909.96,1095.32,893.61,596.18,665.29,754.24,664.63,581.8,520.76,523.79,601.21,682.25,675.55,697.26,634.29,579.94,632.71,654.21,635.44,668.59,660.04,661.72,672.92,734.13,762.39,750.77,657.22,632.43
European Union,827498.06,877570.9,820288.89,837091.65,788953.93,792498.81,859303.76,807875.68,794101.12,782606.03,757837.73,804987.51,772789.48,787683.91,784670.27,781335.14,774714.61,697144.31,745588.37,727243.35,772401.35,678811.1,694394.18,699096.26,606869.89,636186.76,646479.46,641712.91,629478.52
Finland,7742.73,7577.36,7687.25,7278.78,6761.43,6272.82,6367.61,6369.58,6451.94,6369.13,6017.73,6256.14,6217.28,6115.51,6014.31,5676.5,5579.91,5435.79,4963.49,4883.63,5211.14,4533.95,4820.72,4421.6,4307.94,4074.46,4198.09,4046.08,3865.1
France,102660.46,116639.07,108657.55,105256.61,99563.78,99439.27,107596.85,101968.99,106736.13,108669.29,104843.98,112896.7,107045.63,111697.88,115787.48,114338.47,108589.9,101543.35,106776.91,110924.09,108229.17,93979.15,98946.45,100938.96,83901.69,87665.21,87396.08,87265.02,82892.91
Germany,208173.02,208274.64,191038.3,199522.97,188942.75,191659.05,216738.2,202425.44,193815.9,177664,171026.2,192031.62,178759.22,171080.96,160622.23,158099.99,166836.99,130331.14,156455.02,143499.29,153282.9,132951.79,135279.53,144846.27,124091.15,129855.84,130600.85,129114.78,122070.3
Greece,8652.81,9054.43,8665.15,8519.45,8574.09,8631.48,10558.09,10826.58,11175.61,10996.16,11610.2,12469.08,13035.99,14978.41,14131.02,14791.24,14694.43,13303.62,12967.67,11105.33,9988.42,11301.17,9653.61,5240.28,5143.93,6614.26,6117.7,6174.6,5416.93
Hungary,22169.36,22755.26,17740.43,18784.88,17701.77,16922.97,18090.75,17047.41,15148.3,15835.68,15636.76,16467.14,16220.58,17736.52,17645.12,18153.31,16557.98,13669.02,13830.28,13721.1,14607.54,14053.96,12349.63,12402.24,11356.41,12229.37,12765.58,13014.98,12325.71
Iceland,794.18,763.54,843.89,905.95,879.76,955.21,986.05,961.61,954.67,938.97,925.99,765.12,861.65,822.24,846.45,764.96,692.79,786.05,719.11,776.81,738.11,670.14,663.17,626.14,622.14,632.21,528.96,545.8,559.76
Ireland,10586.27,10693.8,9804.24,9768.51,9893.17,9720.62,9727.58,9435.39,9894.35,9695.3,9849.74,10189.76,10045.51,10314.19,10263.59,10798.25,10493.6,10290.78,11165.24,10651.11,10938.59,9489.59,9088.48,8988.68,8106.4,8420.91,8501.03,8349.98,8985.94
