Party,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,36256.19,35791.44,35344.09,35927.05,36718.48,37662.47,37695.84,37790.76,37893.71,38145.39,38952.22,38450.77,39129.01,39623.67,40503.71,41584.24,40647.58,40926.55,43037.34,40545.82,39742.04,40918.85,42912.91,46016.41,46389.16,42491.92,40973.28,40075.8,40719.95
Austria,9844.11,10180.05,9393.88,9626.93,10364.91,10243.61,10850.16,11862.21,10475.3,9749.52,10025.71,10101.18,10523.4,10904.09,11126.97,11538.15,11245.95,10879.39,11266.96,10732.79,11336.51,11233.11,11127.35,10946.71,10492.73,10186.78,10426.77,10713.54,10933.26
Belarus,11735.6,10857.56,9519.38,7756.18,6542.46,5929.46,5892.56,6011.3,5669.3,5357.12,5352.16,7016.75,6435.52,6944.06,7705.71,7881.57,8189.54,8571.16,8594.56,8076.23,8043.85,7767.07,9345.94,9736.61,9145.7,8375.91,9515.7,9498.49,8677.18
Belgium,23220.16,23261.87,22425.24,22152.21,22771.13,22863.52,22213.73,21599.78,22299.12,21456,21507.07,21177.23,20507.6,19381.36,19115.68,18535.15,18731.48,18805.88,18964.04,13405.65,15554.36,15187.56,14222.42,13963,13545.43,13548.96,13372.93,13513,13810.89
Bulgaria,17765.06,15733.43,13436.99,12362.6,12485.64,13085.81,13405.79,10440.79,9892.29,7937.74,7225.66,7181.36,7089.65,8127.98,7342.53,7083.71,7201.98,7851.09,5531.12,3143.1,3158.14,2746.6,2601.57,2633.03,2580.15,2859.35,2910.57,3602.11,4269.97
Canada,71334.8,68481.26,67734.83,65998.67,70942.68,74007.66,75666.5,76169.2,70850,71521.93,72537.03,66610.75,66587.86,65872.63,67685.97,63807.65,62421.67,64728.02,62989.97,57379.96,60375.92,63699.34,62328.45,63148.84,63012.11,62086.75,59057.95,61155.72,63925.09
Croatia,5529.04,3938.65,3129.91,3046.18,3215.82,2967.87,3011.48,3040.54,3327.47,2992.21,3115.63,3209.43,3069.38,3150.65,3599.72,3739.05,3871.4,3869.36,3888.55,3171.98,3030.11,2792.12,2421.88,2392.78,2334.97,2232.02,2236.81,2439.39,2421.3
Cyprus,514.8,942.35,729.12,771.14,784.73,773.51,875.17,775.11,779.16,804.82,821.86,767.91,778.42,806.11,884.13,912.04,868.84,927.12,904.41,799.49,700.03,574.84,460.52,543.2,696.41,606.67,602.99,620.79,555.6
Czechia,47113.14,39859.96,43897.16,36752.39,29186.43,24468.3,24253.49,24060.68,21704.88,18506.48,23425.64,20879.26,19998.68,19936.79,19569.24,18844.64,18543.51,16658.86,16197.34,15944.55,12112.38,11138.2,10810.46,10085.36,9560.74,9751.37,9484.42,10311.22,9958.91
Denmark,5517.42,5966.63,5795.46,5708.48,5847.2,5991.14,6150.72,6174.91,6156.7,6234.55,6034.82,6143.64,5796.65,5788.01,5866.83,5566.62,5695.61,5445.92,4929.73,4084.81,4503.01,4442.11,4109.9,3965.27,3963.38,3908.94,3995.5,4115.3,4078.89
